step,mloss,gloss,loss
1.0,0.721,1.2027,1.9237000000000002
2.0,51.2291,21359.9062,21411.1353
3.0,0.8996,6.2773,7.1769
4.0,0.7555,1.0293,1.7848000000000002
5.0,0.7086,1.0193,1.7279
6.0,0.7494,1.0262,1.7755999999999998
7.0,0.753,1.0176,1.7706
8.0,0.7246,1.004,1.7286000000000001
9.0,0.7369,1.0014,1.7383000000000002
10.0,0.7077,1.0064,1.7141
11.0,0.7091,0.9982,1.7073
12.0,0.763,0.9933,1.7563
13.0,0.7441,1.01,1.7541
14.0,0.765,0.9959,1.7609
15.0,0.7548,0.9597,1.7145000000000001
16.0,0.6867,1.0054,1.6921
17.0,0.6867,1.0034,1.6901000000000002
18.0,0.739,1.019,1.758
19.0,0.7313,0.9947,1.726
20.0,0.679,1.0027,1.6817
21.0,0.8522,1.0243,1.8765
22.0,0.827,0.9946,1.8216
23.0,0.7175,1.0107,1.7282
24.0,0.6178,0.9606,1.5784
25.0,0.688,1.0092,1.6972
26.0,0.7223,0.9908,1.7131
27.0,0.6554,1.0307,1.6861
28.0,0.6663,0.9852,1.6515
29.0,0.6995,0.9778,1.6773
30.0,0.6594,1.0408,1.7002
31.0,0.7263,1.0126,1.7389
32.0,0.6606,0.9929,1.6535
33.0,0.6283,0.9882,1.6164999999999998
34.0,0.689,0.9948,1.6838
35.0,0.6839,1.0067,1.6905999999999999
36.0,0.6145,1.0204,1.6349
37.0,0.7057,0.9892,1.6949
38.0,0.6887,1.0078,1.6965
39.0,0.6946,1.0072,1.7018
40.0,0.6883,1.004,1.6923
41.0,0.6962,0.9966,1.6928
42.0,0.7002,1.0072,1.7074000000000003
43.0,0.7254,1.0145,1.7399
44.0,0.7309,1.0083,1.7391999999999999
45.0,0.8952,1.0141,1.9093
46.0,0.7041,0.9978,1.7019
47.0,0.7078,1.0072,1.715
48.0,0.8902,0.9812,1.8714
49.0,0.6836,1.0045,1.6881
50.0,0.6746,0.9864,1.661
51.0,0.7608,1.0034,1.7642000000000002
52.0,0.6772,0.9986,1.6758000000000002
53.0,0.7687,0.9953,1.764
54.0,0.6773,0.9811,1.6583999999999999
55.0,0.7249,1.0073,1.7322000000000002
56.0,0.7172,1.0086,1.7258
57.0,0.6624,0.9825,1.6449
58.0,0.6818,1.0045,1.6863
59.0,0.7386,1.0063,1.7449
60.0,0.7998,0.9962,1.7959999999999998
61.0,0.7198,1.0054,1.7252
62.0,0.6878,0.9971,1.6848999999999998
63.0,0.6752,0.9793,1.6545
64.0,0.7007,1.0007,1.7014
65.0,0.7239,1.0052,1.7291
66.0,0.6719,0.9845,1.6564
67.0,0.6926,0.9989,1.6915
68.0,0.6753,1.0013,1.6766
69.0,0.7324,1.0003,1.7327
70.0,0.6807,0.9938,1.6745
71.0,0.7291,1.0035,1.7326000000000001
72.0,0.7609,1.0102,1.7711000000000001
73.0,0.7052,1.0134,1.7186000000000001
74.0,0.7187,0.993,1.7117
75.0,0.7444,1.0367,1.7811
76.0,0.6709,1.0015,1.6724
