step,mloss,gloss,loss
1.0,2.2433,1.3533,3.5966
2.0,30.1565,91317.6719,91347.8284
3.0,1.4518,2.0329,3.4847
4.0,1.8531,1.6473,3.5004
5.0,1.7076,1.1371,2.8447
6.0,1.6321,1.1008,2.7329
7.0,1.4187,1.5756,2.9943
8.0,1.5378,2.2425,3.7803000000000004
9.0,1.3271,1.1711,2.4981999999999998
10.0,1.5134,1.0634,2.5768
11.0,1.429,5.7562,7.1852
12.0,1.3487,1.5943,2.943
13.0,1.5941,2.2229,3.817
14.0,1.6792,1.7214,3.4006
15.0,1.6486,1.7094,3.358
16.0,1.7091,5.9035,7.6126000000000005
17.0,1.7545,8.8034,10.5579
18.0,1.9085,2.4438,4.3523
19.0,1.9905,5.4792,7.4697
20.0,1.8302,2.0853,3.9155
21.0,1.7176,2.0647,3.7823
22.0,1.6239,2.4837,4.1076
23.0,1.7689,1.4128,3.1817
24.0,1.522,1.5436,3.0656
25.0,1.4887,1.5209,3.0096
26.0,1.4493,1.1307,2.58
27.0,1.3538,1.2283,2.5820999999999996
28.0,1.3111,1.1943,2.5054
29.0,1.3361,1.1144,2.4505
30.0,1.2965,1.047,2.3434999999999997
31.0,1.2546,1.0476,2.3022
32.0,1.3044,1.027,2.3314
33.0,1.2734,1.0708,2.3442
34.0,1.2655,1.0395,2.305
35.0,1.239,1.0219,2.2609000000000004
36.0,1.1796,1.0086,2.1882
37.0,1.2099,0.9983,2.2081999999999997
38.0,1.233,1.0055,2.2385
39.0,1.2328,1.0012,2.234
40.0,1.2417,0.9976,2.2393
41.0,1.2024,0.9921,2.1944999999999997
42.0,1.233,1.0166,2.2496
43.0,1.1627,1.0118,2.1745
44.0,1.1644,0.9751,2.1395
45.0,1.2307,0.9928,2.2235
46.0,1.2411,1.0193,2.2604
47.0,1.2634,1.0093,2.2727000000000004
48.0,1.2227,1.0017,2.2244
49.0,1.2085,1.0067,2.2152
50.0,1.2098,0.9843,2.1940999999999997
51.0,1.2038,1.0008,2.2046
52.0,1.2248,0.986,2.2108
53.0,1.2218,1.0181,2.2399
54.0,1.2087,0.9987,2.2074000000000003
55.0,1.1852,1.0091,2.1943
56.0,1.2327,1.0023,2.235
57.0,1.2007,1.0116,2.2123
58.0,1.2152,0.9948,2.21
59.0,1.1997,0.9983,2.198
60.0,1.2421,0.9935,2.2356
61.0,1.2425,1.0007,2.2432
62.0,1.1864,0.9857,2.1721
63.0,1.1512,1.0084,2.1596
64.0,1.2691,0.9853,2.2544
65.0,1.2462,0.9997,2.2459
66.0,1.2175,1.0107,2.2282
67.0,1.2193,1.0108,2.2301
68.0,1.2021,0.996,2.1981
69.0,1.1887,1.0058,2.1945
70.0,1.178,1.0036,2.1816
71.0,1.1949,1.0055,2.2004
72.0,1.2108,1.0064,2.2172
73.0,1.1931,0.9961,2.1892
74.0,1.1618,1.0136,2.1754
75.0,1.1968,0.9908,2.1876
76.0,1.215,1.0117,2.2267
77.0,1.2413,1.0068,2.2481
78.0,1.2315,0.9992,2.2307
79.0,1.1919,1.0042,2.1961
80.0,1.1918,0.9996,2.1914
81.0,1.1785,1.0169,2.1954000000000002
82.0,1.2082,0.9996,2.2077999999999998
83.0,1.1872,1.0084,2.1955999999999998
84.0,1.1861,1.0023,2.1883999999999997
85.0,1.1682,1.0136,2.1818
86.0,1.1752,1.0066,2.1818
87.0,1.2102,1.0103,2.2205
88.0,1.287,1.007,2.2939999999999996
89.0,1.1919,1.0153,2.2072000000000003
90.0,1.1749,1.0015,2.1764
91.0,1.1538,0.9957,2.1494999999999997
92.0,1.1846,0.9908,2.1754000000000002
93.0,1.2173,0.9949,2.2122
94.0,1.1718,0.9892,2.161
95.0,1.2045,1.0126,2.2171
96.0,1.1627,1.001,2.1637
97.0,1.1708,1.0081,2.1789
98.0,1.2404,0.9776,2.218
99.0,1.2403,1.0029,2.2432
100.0,1.215,1.0054,2.2204
101.0,1.1641,0.9855,2.1496
102.0,1.1568,0.994,2.1508000000000003
103.0,1.1837,1.002,2.1856999999999998
104.0,1.1943,1.0004,2.1947
105.0,1.1677,0.998,2.1657
106.0,1.1747,1.0014,2.1761
107.0,1.1733,1.0033,2.1766
108.0,1.2194,1.0006,2.2199999999999998
109.0,1.1749,0.9967,2.1716
110.0,1.2014,1.0077,2.2091000000000003
111.0,1.196,1.0116,2.2076000000000002
112.0,1.193,1.003,2.1959999999999997
113.0,1.2052,1.0147,2.2199
114.0,1.1917,1.0,2.1917
115.0,1.2158,0.9945,2.2103
116.0,1.1812,0.9966,2.1778
117.0,1.1949,1.0063,2.2012
118.0,1.1995,1.003,2.2024999999999997
119.0,1.1755,1.008,2.1835
120.0,1.3256,0.9885,2.3141
121.0,1.1902,1.0005,2.1906999999999996
122.0,1.2047,0.9978,2.2025
123.0,1.2335,1.0021,2.2356
124.0,1.1929,1.0101,2.2030000000000003
125.0,1.1733,1.0071,2.1804
126.0,1.1795,1.0043,2.1837999999999997
127.0,1.17,0.9875,2.1574999999999998
128.0,1.1543,1.0089,2.1632
129.0,1.2171,0.9985,2.2156000000000002
130.0,1.1713,1.0008,2.1721
131.0,1.1907,0.9949,2.1856
132.0,1.1335,1.0211,2.1546
133.0,1.1652,0.9991,2.1643
134.0,1.167,0.986,2.153
135.0,1.1938,1.002,2.1958
136.0,1.2206,1.0053,2.2259
137.0,1.1955,0.994,2.1895
138.0,1.1625,1.0074,2.1699
139.0,1.1929,1.0044,2.1973000000000003
140.0,1.2566,1.0001,2.2567
141.0,1.1969,0.9867,2.1836
142.0,1.1854,0.9926,2.178
143.0,1.211,0.9629,2.1739
144.0,1.1503,1.0199,2.1702000000000004
145.0,1.1897,0.989,2.1787
146.0,1.1937,1.0033,2.197
147.0,1.2046,1.0029,2.2074999999999996
148.0,1.1568,1.0007,2.1574999999999998
149.0,1.1643,1.0023,2.1666
150.0,1.2602,0.9917,2.2519
151.0,1.2081,0.9883,2.1963999999999997
152.0,1.1624,1.0212,2.1836
153.0,1.1909,0.9957,2.1866000000000003
154.0,1.1766,1.0,2.1766
155.0,1.1687,0.9903,2.159
156.0,1.1784,1.0064,2.1848
157.0,1.2356,1.0,2.2356
158.0,1.1647,0.9985,2.1632000000000002
159.0,1.2009,1.003,2.2039
160.0,1.1707,1.0143,2.185
161.0,1.2237,1.0054,2.2291
162.0,1.1647,0.985,2.1497
163.0,1.2043,1.0089,2.2131999999999996
164.0,1.2016,0.9939,2.1955
165.0,1.2093,1.0061,2.2154
166.0,1.1927,0.9891,2.1818
167.0,1.1725,0.9885,2.161
168.0,1.128,0.9901,2.1181
169.0,1.186,1.0198,2.2058
170.0,1.1694,1.0012,2.1706000000000003
171.0,1.1583,0.9954,2.1537
172.0,1.1817,1.0158,2.1975
173.0,1.1357,1.0015,2.1372
174.0,1.2305,1.0052,2.2357
175.0,1.197,1.0127,2.2096999999999998
176.0,1.1104,0.995,2.1054
177.0,1.218,1.0037,2.2217000000000002
178.0,1.2474,1.0019,2.2493
179.0,1.1512,1.0113,2.1625
180.0,1.2078,0.9982,2.206
181.0,1.1554,1.0006,2.1559999999999997
182.0,1.2002,0.9903,2.1905
183.0,1.2176,1.0074,2.225
184.0,1.2569,0.9867,2.2436
185.0,1.1628,1.0101,2.1729000000000003
186.0,1.2043,1.0032,2.2075
187.0,1.1037,0.9941,2.0978
188.0,1.1633,1.003,2.1662999999999997
189.0,1.183,1.0087,2.1917
190.0,1.1461,1.0216,2.1677
191.0,1.2178,0.9909,2.2087
192.0,1.2002,0.9967,2.1969
193.0,1.2031,1.0019,2.205
194.0,1.177,1.0071,2.1841
195.0,1.1735,0.9983,2.1718
196.0,1.1786,0.9928,2.1714
197.0,1.1551,1.0008,2.1559
198.0,1.1046,0.9912,2.0958
199.0,1.2111,0.9984,2.2095000000000002
200.0,1.1817,0.999,2.1807
201.0,1.1861,0.9938,2.1799
202.0,1.2566,1.0058,2.2624
203.0,1.1506,0.9986,2.1492
204.0,1.1238,0.9997,2.1235
205.0,1.1338,1.0165,2.1502999999999997
206.0,1.1987,1.0062,2.2049000000000003
207.0,1.17,1.0037,2.1737
208.0,1.1553,1.0123,2.1676
209.0,1.1564,0.997,2.1534
210.0,1.1517,0.9806,2.1323
211.0,1.1414,1.0039,2.1452999999999998
212.0,1.1871,1.014,2.2011000000000003
213.0,1.12,0.9927,2.1127000000000002
214.0,1.131,0.9939,2.1249000000000002
215.0,1.2131,1.0091,2.2222
216.0,1.1461,0.9892,2.1353
217.0,1.1507,1.0007,2.1513999999999998
218.0,1.1677,1.0099,2.1776
219.0,1.1937,0.9949,2.1886
220.0,1.1258,0.9897,2.1155
221.0,1.1421,1.0027,2.1448
222.0,1.1733,1.0046,2.1779
223.0,1.1443,0.9912,2.1355
224.0,1.1887,1.0173,2.2060000000000004
225.0,1.1492,0.9868,2.136
226.0,1.163,0.9941,2.1571
227.0,1.1426,0.9857,2.1283000000000003
228.0,1.1463,1.0012,2.1475
229.0,1.186,1.0005,2.1864999999999997
230.0,1.2369,1.0043,2.2412
231.0,1.204,0.9771,2.1811
232.0,1.1574,0.9931,2.1505
233.0,1.176,1.0031,2.1791
234.0,1.1282,1.019,2.1471999999999998
235.0,1.1389,1.0062,2.1451000000000002
236.0,1.1375,1.0004,2.1379
237.0,1.1677,0.9901,2.1578
238.0,1.1141,1.0099,2.124
239.0,1.1728,0.9922,2.165
240.0,1.2955,0.9991,2.2946
241.0,1.1961,1.0029,2.199
242.0,1.2218,0.9678,2.1896
243.0,1.2999,1.0144,2.3143000000000002
244.0,1.237,1.017,2.254
245.0,1.2991,1.007,2.3061
246.0,1.2324,1.0148,2.2472
247.0,1.1711,1.0245,2.1955999999999998
248.0,1.2172,1.0187,2.2359
249.0,1.2158,0.9989,2.2147
250.0,1.1957,1.0063,2.202
251.0,1.1731,1.0037,2.1768
252.0,1.162,1.0105,2.1725
253.0,1.1784,0.9774,2.1558
254.0,1.1437,1.0086,2.1523
255.0,1.1551,0.9955,2.1506
256.0,1.1634,1.0034,2.1668000000000003
257.0,1.1237,0.9937,2.1174
258.0,1.1914,1.0024,2.1938
259.0,1.1419,1.0083,2.1502
260.0,1.1622,1.0131,2.1753
261.0,1.1427,1.0107,2.1534
262.0,1.2157,0.9975,2.2132
263.0,1.107,1.0071,2.1141
264.0,1.152,1.006,2.158
265.0,1.1209,0.9894,2.1103
266.0,1.1283,0.9908,2.1191
267.0,1.1728,1.0125,2.1853
268.0,1.1207,0.9947,2.1154
269.0,1.1768,1.0146,2.1914
270.0,1.1471,0.9967,2.1438
271.0,1.1493,0.9858,2.1351
272.0,1.1494,0.9933,2.1427
273.0,1.1023,0.9871,2.0894
274.0,1.1537,0.9981,2.1517999999999997
275.0,1.1143,0.9783,2.0926
276.0,1.1614,1.0057,2.1671
277.0,1.1403,1.0016,2.1419
278.0,1.16,0.9888,2.1488
279.0,1.139,0.9773,2.1163
280.0,1.1203,1.0103,2.1306000000000003
281.0,1.1645,0.994,2.1585
282.0,1.1092,0.9983,2.1075
283.0,1.166,1.0205,2.1864999999999997
284.0,1.1579,1.0044,2.1623
285.0,1.2052,1.0068,2.2119999999999997
286.0,1.1891,0.9985,2.1876
287.0,1.1809,0.9943,2.1752000000000002
288.0,1.1512,1.0016,2.1528
289.0,1.1531,1.0057,2.1588000000000003
290.0,1.1705,0.9924,2.1629
291.0,1.1589,1.0041,2.1630000000000003
292.0,1.1887,1.0043,2.193
293.0,1.1464,0.9929,2.1393
294.0,1.1583,1.0114,2.1697
295.0,1.1404,1.0038,2.1442
296.0,1.2028,0.9928,2.1956
297.0,1.1542,0.9965,2.1507
298.0,1.1262,1.0024,2.1286
299.0,1.1658,1.005,2.1708
300.0,1.1323,0.9965,2.1288
301.0,1.1347,0.9961,2.1308
302.0,1.1648,1.0059,2.1707
303.0,1.2127,1.01,2.2226999999999997
304.0,1.0941,1.0016,2.0957
305.0,1.1538,0.9971,2.1509
306.0,1.1304,0.986,2.1164
307.0,1.1643,0.9939,2.1582
308.0,1.218,1.0031,2.2211
309.0,1.156,0.9901,2.1460999999999997
310.0,1.1288,0.9914,2.1202
311.0,1.1199,0.9981,2.118
312.0,1.0933,1.0052,2.0985
313.0,1.1756,1.0034,2.1790000000000003
314.0,1.1364,1.0035,2.1399
315.0,1.1532,1.0157,2.1689
316.0,1.1165,1.0093,2.1258
317.0,1.1187,0.9812,2.0999
318.0,1.1231,0.9903,2.1134
319.0,1.1786,1.0146,2.1932
320.0,1.2113,0.996,2.2073
321.0,1.1029,0.9927,2.0956
322.0,1.1492,0.99,2.1391999999999998
323.0,1.0947,1.0005,2.0952
324.0,1.1532,0.9721,2.1253
325.0,1.101,1.0056,2.1066000000000003
326.0,1.1678,0.9849,2.1527
327.0,1.1161,1.0094,2.1255
328.0,1.1209,0.9862,2.1071
329.0,1.1744,1.0029,2.1773
330.0,1.1376,1.0274,2.165
331.0,1.1838,0.9883,2.1721
332.0,1.1498,0.9992,2.149
333.0,1.1584,0.9958,2.1542000000000003
334.0,1.1718,1.0034,2.1752000000000002
335.0,1.1218,1.0028,2.1246
336.0,1.167,1.0028,2.1698
337.0,1.1306,1.0033,2.1339
338.0,1.1507,1.0172,2.1679000000000004
339.0,1.1157,0.9999,2.1155999999999997
340.0,1.193,1.0125,2.2055
341.0,1.2244,1.0043,2.2287
342.0,1.1223,0.9938,2.1161000000000003
343.0,1.1787,0.9838,2.1625
344.0,1.0977,0.9896,2.0873
345.0,1.1234,1.0116,2.135
346.0,1.0955,0.9881,2.0835999999999997
347.0,1.1627,0.9952,2.1579
348.0,1.1617,1.0041,2.1658
349.0,1.1133,1.0066,2.1199
350.0,1.115,0.9941,2.1090999999999998
351.0,1.0998,1.005,2.1048
352.0,1.0578,0.9933,2.0511
353.0,1.1291,1.0097,2.1388
354.0,1.1505,1.0058,2.1563
355.0,1.1174,0.9928,2.1102
356.0,1.1537,0.9951,2.1488
357.0,1.1426,0.9983,2.1409000000000002
358.0,1.1308,0.9995,2.1303
359.0,1.1304,0.9907,2.1211
360.0,1.1131,1.0014,2.1145
361.0,1.1776,0.9893,2.1669
362.0,1.1237,1.0037,2.1273999999999997
363.0,1.1239,1.003,2.1269
364.0,1.1002,0.9809,2.0811
365.0,1.1275,0.9986,2.1261
366.0,1.1182,0.9885,2.1067
367.0,1.0821,0.9924,2.0745
368.0,1.1122,0.9913,2.1035
369.0,1.1416,0.9917,2.1333
370.0,1.1277,0.9986,2.1263
371.0,1.1365,1.0014,2.1379
372.0,1.1237,1.0162,2.1399
373.0,1.152,1.0169,2.1689
374.0,1.1101,0.9958,2.1059
375.0,1.1283,0.9924,2.1207000000000003
376.0,1.1535,0.9979,2.1513999999999998
377.0,1.1192,1.0125,2.1317
378.0,1.0699,1.0114,2.0813
379.0,1.0849,0.996,2.0808999999999997
380.0,1.0944,1.0058,2.1002
381.0,1.1336,1.0004,2.134
382.0,1.1679,1.0021,2.17
383.0,1.0989,0.9868,2.0857
384.0,1.1339,1.0101,2.144
385.0,1.1915,1.0133,2.2048
386.0,1.1108,0.9882,2.099
387.0,1.1148,1.0173,2.1321000000000003
388.0,1.1278,0.9992,2.127
389.0,1.1058,1.0035,2.1093
390.0,1.1364,1.0028,2.1391999999999998
391.0,1.1002,1.0072,2.1074
392.0,1.0881,1.0028,2.0909
393.0,1.1173,1.0018,2.1191
394.0,1.1314,0.9841,2.1155
395.0,1.0747,1.0173,2.092
396.0,1.1389,0.9845,2.1234
397.0,1.133,0.9908,2.1238
398.0,1.1416,0.9845,2.1261
399.0,1.0847,1.0034,2.0881
400.0,1.1141,0.9848,2.0989
401.0,1.1566,1.001,2.1576
402.0,1.0973,1.0068,2.1041
403.0,1.0978,1.0015,2.0993000000000004
404.0,1.1138,0.9885,2.1023
405.0,1.0716,0.99,2.0616000000000003
406.0,1.1111,0.9841,2.0952
407.0,1.0875,0.993,2.0805
408.0,1.0817,0.9903,2.072
409.0,1.1393,0.9948,2.1341
410.0,1.1872,1.0108,2.198
411.0,1.1305,0.9809,2.1114
412.0,1.1077,0.986,2.0937
413.0,1.0915,1.0061,2.0976
414.0,1.0708,0.9814,2.0522
415.0,1.1099,1.0034,2.1133
416.0,1.1748,1.0054,2.1802
417.0,1.1296,0.9944,2.1239999999999997
418.0,1.2261,0.9855,2.2116
419.0,1.1578,0.9947,2.1525
420.0,1.1273,1.0089,2.1361999999999997
421.0,1.1481,1.014,2.1620999999999997
422.0,1.1083,1.0055,2.1138000000000003
423.0,1.113,0.9856,2.0986000000000002
424.0,1.0775,0.9998,2.0773
425.0,1.1067,0.9971,2.1038
426.0,1.0494,0.9939,2.0433000000000003
427.0,1.113,1.0101,2.1231
428.0,1.1228,1.003,2.1258
429.0,1.1206,0.9978,2.1184000000000003
430.0,1.1211,0.9899,2.1109999999999998
431.0,1.1547,0.9939,2.1486
432.0,1.113,0.9864,2.0994
433.0,1.0994,0.9855,2.0849
434.0,1.0938,0.9913,2.0851
435.0,1.119,0.9775,2.0965
436.0,1.0623,0.9985,2.0608
437.0,1.1248,0.9968,2.1216
438.0,1.0733,0.9867,2.06
439.0,1.0707,0.9916,2.0623
440.0,1.0518,1.0221,2.0739
441.0,1.0903,0.996,2.0863
442.0,1.0539,1.0048,2.0587
443.0,1.1184,0.9991,2.1175
444.0,1.0614,1.0065,2.0679
445.0,1.092,0.9933,2.0853
446.0,1.139,0.9975,2.1365
447.0,1.1368,1.0069,2.1437
448.0,1.1464,1.007,2.1534
449.0,1.1402,1.0031,2.1433
450.0,1.1395,1.0025,2.142
451.0,1.1064,1.0039,2.1103
452.0,1.1073,0.9978,2.1051
453.0,1.1443,0.9899,2.1342
454.0,1.1125,0.9748,2.0873
455.0,1.0963,0.9871,2.0834
456.0,1.1397,1.0014,2.1411
457.0,1.1144,0.9955,2.1099
458.0,1.1212,1.0112,2.1324
459.0,1.0851,0.9988,2.0839
460.0,1.1581,0.9964,2.1544999999999996
461.0,1.107,0.9903,2.0972999999999997
462.0,1.1093,0.9906,2.0999
463.0,1.1144,1.0075,2.1219
464.0,1.1055,1.0033,2.1088
465.0,1.1555,0.9763,2.1318
466.0,1.1041,1.0019,2.106
467.0,1.0635,1.0076,2.0711
468.0,1.1023,0.993,2.0953
469.0,1.1168,0.98,2.0968
470.0,1.1373,1.0107,2.1479999999999997
471.0,1.0824,0.9898,2.0722
472.0,1.1046,1.0022,2.1068
473.0,1.1155,1.0086,2.1241
474.0,1.1564,0.9913,2.1477
475.0,1.1303,0.9991,2.1294
476.0,1.1253,0.9905,2.1158
477.0,1.073,1.0065,2.0795
478.0,1.1427,0.9995,2.1422
479.0,1.088,1.0137,2.1017
480.0,1.1674,0.9918,2.1592000000000002
481.0,1.0903,0.9806,2.0709
482.0,1.0943,0.9861,2.0804
483.0,1.1114,0.994,2.1054
484.0,1.1488,1.0128,2.1616
485.0,1.0769,1.0052,2.0821
486.0,1.1163,0.9772,2.0935
487.0,1.1457,1.002,2.1477
488.0,1.0529,0.9913,2.0442
489.0,1.0711,1.0061,2.0772
490.0,1.1087,0.9894,2.0981
491.0,1.0595,0.9979,2.0574000000000003
492.0,1.0887,1.0078,2.0965
493.0,1.0744,0.9897,2.0641
494.0,1.1023,0.9847,2.087
495.0,1.1056,0.9903,2.0959
496.0,1.0874,1.0041,2.0915
497.0,1.104,1.0002,2.1042
498.0,1.0606,0.9902,2.0507999999999997
499.0,1.0902,0.9999,2.0901
500.0,1.1516,1.0052,2.1568
501.0,1.0895,0.9871,2.0766
502.0,1.0469,0.9977,2.0446
503.0,1.1336,0.9948,2.1284
504.0,1.0847,0.9905,2.0752
505.0,1.0993,1.0023,2.1016
506.0,1.0728,0.9881,2.0609
507.0,1.1335,0.9903,2.1238
508.0,1.0835,0.9887,2.0722
509.0,1.1,0.9941,2.0941
510.0,1.0759,1.0076,2.0835
511.0,1.0807,1.0042,2.0849
512.0,1.0801,1.0122,2.0923
513.0,1.1421,1.0015,2.1436
514.0,1.1389,0.9808,2.1197
515.0,1.0839,0.9915,2.0754
516.0,1.1064,0.9991,2.1055
517.0,1.1099,0.981,2.0909
518.0,1.1525,0.9942,2.1467
519.0,1.1139,0.9942,2.1081
520.0,1.126,0.9926,2.1186
521.0,1.0683,1.0005,2.0688
522.0,1.1129,1.0019,2.1148
523.0,1.1044,0.9921,2.0965
524.0,1.0992,0.9944,2.0936
525.0,1.1142,1.0165,2.1307
526.0,1.0763,0.9982,2.0745
527.0,1.0984,1.0025,2.1009
528.0,1.1888,0.9855,2.1743
529.0,1.0995,0.977,2.0765
530.0,1.0568,1.0024,2.0591999999999997
531.0,1.0973,0.9911,2.0884
532.0,1.1109,0.9849,2.0958
533.0,1.0877,0.9906,2.0783
534.0,1.115,0.9955,2.1105
535.0,1.0954,0.9985,2.0939
536.0,1.0719,0.9881,2.06
537.0,1.1087,1.0025,2.1112
538.0,1.113,1.0141,2.1271
539.0,1.1659,0.9996,2.1654999999999998
540.0,1.091,0.995,2.086
541.0,1.0973,0.9939,2.0911999999999997
542.0,1.0614,0.996,2.0574
543.0,1.0809,1.0032,2.0841000000000003
544.0,1.0683,0.9888,2.0571
545.0,1.1167,0.9898,2.1065
546.0,1.104,0.9914,2.0954
547.0,1.0688,1.0068,2.0755999999999997
548.0,1.1453,1.0016,2.1469
