step,mloss,gloss,loss
1.0,2.5307,1.4277,3.9584
2.0,56.0424,80600.6875,80656.7299
3.0,2.9768,4.3032,7.28
4.0,2.4689,1.5048,3.9737
5.0,2.4459,1.0658,3.5117000000000003
6.0,2.34,1.2074,3.5473999999999997
7.0,2.4436,1.0165,3.4600999999999997
8.0,2.4149,1.0263,3.4412
9.0,2.5369,1.0233,3.5602
10.0,2.7615,1.4847,4.2462
11.0,2.4525,1.0554,3.5079000000000002
12.0,2.4194,1.0537,3.4731
13.0,2.453,1.0181,3.4711
14.0,2.2867,1.0406,3.3273
15.0,2.4207,1.0538,3.4745
16.0,2.4686,1.0207,3.4893
17.0,2.7691,1.2678,4.0369
18.0,2.4433,1.1583,3.6016
19.0,2.8478,2.1826,5.0304
20.0,2.5485,1.8514,4.399900000000001
21.0,2.6417,1.5225,4.1642
22.0,2.5871,1.5711,4.1582
23.0,2.475,1.2719,3.7469
24.0,2.3739,1.3013,3.6752
25.0,2.4549,1.1285,3.5834
26.0,2.4299,1.1176,3.5475
27.0,2.4089,1.0301,3.439
28.0,2.3589,1.0716,3.4305000000000003
29.0,2.4458,1.0175,3.4633000000000003
30.0,2.542,0.995,3.537
31.0,2.4544,1.0196,3.474
32.0,2.4043,1.0076,3.4119
33.0,2.38,0.9951,3.3750999999999998
34.0,2.3942,1.005,3.3992
35.0,2.4399,1.0,3.4399
36.0,2.4516,1.0018,3.4534000000000002
37.0,2.3839,0.9986,3.3825000000000003
38.0,2.4113,1.0012,3.4125000000000005
39.0,2.4888,1.0051,3.4939
40.0,2.3056,1.0167,3.3223000000000003
41.0,2.3663,1.0117,3.378
42.0,2.4181,1.0067,3.4248
43.0,2.3578,1.0084,3.3662
44.0,2.3656,1.0045,3.3701
45.0,2.3821,0.9951,3.3771999999999998
46.0,2.5054,1.0022,3.5076
47.0,2.4866,0.9916,3.4782
48.0,2.3879,0.9997,3.3876
49.0,2.3739,1.0018,3.3757
50.0,2.3684,0.998,3.3663999999999996
51.0,2.2936,1.0001,3.2937000000000003
52.0,2.4316,0.9876,3.4192
53.0,2.3709,1.0075,3.3784
54.0,2.3609,0.9886,3.3495
55.0,2.3815,0.9986,3.3801
56.0,2.3455,1.0015,3.347
57.0,2.4184,1.0018,3.4202000000000004
58.0,2.3389,0.9955,3.3344000000000005
59.0,2.348,0.9926,3.3406
60.0,2.5327,1.0045,3.5372000000000003
61.0,2.3526,1.0032,3.3558
62.0,2.4176,0.9927,3.4103000000000003
63.0,2.3819,1.0098,3.3917
64.0,2.3577,0.9818,3.3395
65.0,2.3803,0.9978,3.3781
66.0,2.3205,1.0001,3.3205999999999998
67.0,2.3318,1.0101,3.3419
68.0,2.4643,1.0082,3.4725
69.0,2.3973,0.988,3.3853
70.0,2.4876,1.0076,3.4952
71.0,2.4311,0.9902,3.4212999999999996
72.0,2.486,1.0021,3.4881
73.0,2.3159,1.0028,3.3186999999999998
74.0,2.7041,0.9912,3.6953
75.0,2.3716,0.9936,3.3651999999999997
76.0,2.588,1.0062,3.5942
77.0,2.3285,0.9989,3.3274
78.0,2.3463,0.9943,3.3406
79.0,2.3516,0.9969,3.3485
80.0,2.2937,1.0083,3.3019999999999996
81.0,2.5626,1.001,3.5636
82.0,2.3844,0.9991,3.3834999999999997
83.0,2.304,0.9934,3.2973999999999997
84.0,2.4061,0.9958,3.4019
85.0,2.3684,1.0058,3.3742
86.0,2.4659,0.9964,3.4623
87.0,2.3513,1.0046,3.3559
88.0,2.3997,1.0099,3.4096
89.0,2.3688,0.9906,3.3594
90.0,2.3029,1.0013,3.3042000000000002
91.0,2.2964,1.0009,3.2973
92.0,2.3076,0.9996,3.3072
93.0,2.307,0.9989,3.3059
94.0,2.2826,0.9999,3.2824999999999998
