step,mloss,gloss,loss
1.0,0.7618,1.1031,1.8649
2.0,39.092,39761.1875,39800.2795
3.0,1.8125,2.8555,4.668
4.0,0.6333,1.0846,1.7179
5.0,0.6041,1.4288,2.0329
6.0,0.603,1.0207,1.6237
7.0,0.5351,1.2459,1.7810000000000001
8.0,0.4849,1.0034,1.4883000000000002
9.0,0.5161,1.1105,1.6266
10.0,0.5053,1.0772,1.5825
11.0,0.5015,1.0397,1.5412
12.0,0.5398,1.0014,1.5412
13.0,0.5059,1.007,1.5129
14.0,0.5198,1.02,1.5398
15.0,0.5083,0.9992,1.5074999999999998
16.0,0.4643,1.0091,1.4734
17.0,0.5187,1.0015,1.5202
18.0,0.4893,1.0179,1.5072
19.0,0.5021,0.9999,1.502
20.0,0.5178,1.0045,1.5223
21.0,0.5237,1.0151,1.5388
22.0,0.4973,1.0037,1.5010000000000001
23.0,0.4984,1.0007,1.4990999999999999
24.0,0.5305,1.0065,1.537
25.0,0.5448,0.9962,1.541
26.0,0.4847,1.0111,1.4958
27.0,0.5561,1.0047,1.5608
28.0,0.5235,0.9901,1.5135999999999998
29.0,0.4964,0.9831,1.4795
30.0,0.4928,0.9923,1.4851
31.0,0.4877,1.0128,1.5005
32.0,0.4925,0.9997,1.4922
33.0,0.5088,1.007,1.5158
34.0,0.4918,0.9689,1.4607
35.0,0.5123,1.0009,1.5131999999999999
36.0,0.515,1.0111,1.5261
37.0,0.4884,0.9771,1.4655
38.0,0.5233,0.9878,1.5110999999999999
39.0,0.4955,0.9813,1.4768
40.0,0.5043,0.9893,1.4935999999999998
41.0,0.5147,0.9927,1.5074
42.0,0.4976,1.0112,1.5088000000000001
43.0,0.4971,0.9888,1.4859
44.0,0.4808,0.9991,1.4799
45.0,0.4705,0.9935,1.464
46.0,0.5226,0.9906,1.5131999999999999
47.0,0.5394,0.9981,1.5375
48.0,0.5016,1.0201,1.5217
49.0,0.5154,1.0057,1.5211000000000001
50.0,0.5034,0.9907,1.4941
51.0,0.5024,0.9887,1.4910999999999999
52.0,0.4652,1.0094,1.4746000000000001
53.0,0.4574,1.0008,1.4582
54.0,0.5015,1.0012,1.5027
55.0,0.5093,0.9965,1.5058
56.0,0.5613,0.9918,1.5531000000000001
57.0,0.5054,0.9978,1.5032
58.0,0.4884,0.9834,1.4718
59.0,0.4706,0.9895,1.4601000000000002
60.0,0.472,1.0188,1.4908
61.0,0.4795,0.9938,1.4733
62.0,0.4981,0.9907,1.4888
63.0,0.5118,1.0002,1.512
64.0,0.5213,1.0038,1.5251000000000001
65.0,0.4997,1.0028,1.5025
66.0,0.4849,1.005,1.4899
67.0,0.4892,0.9997,1.4889000000000001
68.0,0.4792,0.9879,1.4671
69.0,0.51,0.9952,1.5051999999999999
70.0,0.4889,0.9897,1.4786000000000001
71.0,0.5028,0.9975,1.5003000000000002
72.0,0.5079,1.0012,1.5091
73.0,0.4875,0.9873,1.4747999999999999
74.0,0.4609,0.9874,1.4483000000000001
75.0,0.4976,0.9889,1.4865
76.0,0.4664,0.9966,1.463
77.0,0.4796,1.0002,1.4798
78.0,0.5023,0.9926,1.4949
79.0,0.492,1.0008,1.4928
80.0,0.4818,0.9814,1.4632
81.0,0.4739,0.9979,1.4718
82.0,0.5412,0.9961,1.5373
83.0,0.489,1.0057,1.4947
84.0,0.4631,0.9977,1.4608
85.0,0.5004,1.005,1.5053999999999998
86.0,0.4863,0.9983,1.4846
87.0,0.4856,0.9993,1.4848999999999999
88.0,0.4836,0.989,1.4726
89.0,0.4823,1.016,1.4983
90.0,0.4658,1.0049,1.4707
91.0,0.4972,0.996,1.4931999999999999
92.0,0.5124,1.0077,1.5201
93.0,0.501,0.9902,1.4912
94.0,0.4667,0.9984,1.4651
95.0,0.4905,1.0056,1.4961
96.0,0.5153,0.9987,1.514
97.0,0.481,0.98,1.4609999999999999
98.0,0.4889,1.0025,1.4914
99.0,0.4992,1.0227,1.5219
100.0,0.4668,1.0084,1.4752
101.0,0.5078,1.0083,1.5161
102.0,0.4989,1.0037,1.5026000000000002
103.0,0.4964,0.9962,1.4926
104.0,0.4636,0.9902,1.4538
105.0,0.4966,0.9951,1.4917
106.0,0.4949,1.0117,1.5066000000000002
107.0,0.5342,1.0051,1.5393000000000001
108.0,0.4784,0.9855,1.4639
109.0,0.5186,1.0013,1.5199
110.0,0.4864,1.0012,1.4876
111.0,0.4853,1.0189,1.5042
112.0,0.5179,0.9991,1.517
113.0,0.4829,0.992,1.4748999999999999
114.0,0.4931,1.0237,1.5168
115.0,0.4716,0.9965,1.4681000000000002
116.0,0.4906,0.9993,1.4899
117.0,0.4744,1.0033,1.4777
118.0,0.4591,0.998,1.4571
119.0,0.5081,1.004,1.5121
120.0,0.4754,1.005,1.4804
121.0,0.4961,1.018,1.5141
122.0,0.4819,0.9863,1.4682
123.0,0.5138,0.9989,1.5127000000000002
124.0,0.5151,1.0078,1.5229
125.0,0.4787,0.9915,1.4702000000000002
126.0,0.4952,0.9997,1.4949
127.0,0.4791,0.9932,1.4723
128.0,0.4522,0.9842,1.4364
129.0,0.4535,0.9935,1.447
130.0,0.503,1.0014,1.5044
131.0,0.5163,0.9905,1.5068000000000001
132.0,0.4942,1.0145,1.5087
133.0,0.4932,0.9906,1.4838
134.0,0.4992,1.0053,1.5045000000000002
135.0,0.4872,1.0141,1.5013
136.0,0.4679,1.0037,1.4716
137.0,0.5031,0.983,1.4861
138.0,0.4841,1.0005,1.4846
139.0,0.4811,0.9927,1.4738
140.0,0.4857,0.9878,1.4735
141.0,0.511,0.9949,1.5059
142.0,0.4464,0.9921,1.4385
143.0,0.4674,0.9992,1.4666
144.0,0.4413,1.0341,1.4754
145.0,0.4782,1.0015,1.4797
146.0,0.4991,0.9996,1.4987
147.0,0.4951,0.9916,1.4867
148.0,0.4885,1.0083,1.4968
149.0,0.5279,0.9877,1.5156
150.0,0.5281,1.0006,1.5287
151.0,0.515,0.9864,1.5014
152.0,0.4882,1.01,1.4982
153.0,0.5041,1.0172,1.5213
154.0,0.5083,0.9936,1.5019
155.0,0.5295,0.998,1.5274999999999999
156.0,0.4937,0.9931,1.4868000000000001
157.0,0.4612,1.0191,1.4803
158.0,0.5066,0.9965,1.5031
159.0,0.49,0.9933,1.4832999999999998
160.0,0.5375,0.9958,1.5333
161.0,0.4714,0.9925,1.4639
162.0,0.4919,1.0171,1.509
163.0,0.4574,0.9931,1.4505
164.0,0.5093,1.0074,1.5167000000000002
165.0,0.4674,0.9971,1.4645
166.0,0.5416,1.0069,1.5484999999999998
167.0,0.4833,1.0194,1.5027000000000001
168.0,0.4944,0.9965,1.4909000000000001
169.0,0.4644,1.0093,1.4737
170.0,0.4981,0.9904,1.4885
171.0,0.4847,1.0134,1.4981
172.0,0.4803,0.9987,1.479
173.0,0.5025,0.9968,1.4992999999999999
174.0,0.4742,0.9988,1.473
175.0,0.487,0.997,1.484
176.0,0.5172,0.997,1.5142
177.0,0.4793,1.0036,1.4829
178.0,0.4978,0.9868,1.4846
179.0,0.5074,0.994,1.5013999999999998
180.0,0.4828,1.001,1.4838
181.0,0.511,0.9848,1.4958
182.0,0.4658,0.9959,1.4617
183.0,0.4805,0.993,1.4735
184.0,0.499,1.0099,1.5089000000000001
185.0,0.4925,0.9995,1.492
186.0,0.4835,0.9885,1.472
187.0,0.4995,0.9901,1.4896
188.0,0.4768,1.0076,1.4844
189.0,0.5083,1.0014,1.5097
190.0,0.52,0.9995,1.5195
191.0,0.4865,1.0048,1.4912999999999998
192.0,0.4575,0.9613,1.4188
193.0,0.4625,1.0212,1.4837000000000002
194.0,0.5268,0.99,1.5168
195.0,0.4813,0.9938,1.4751
196.0,0.5091,0.996,1.5051
197.0,0.544,0.9785,1.5225
198.0,0.5396,1.0054,1.545
199.0,0.4632,1.0072,1.4704000000000002
200.0,0.4419,1.0113,1.4532
201.0,0.4975,1.0017,1.4992
202.0,0.4801,0.9889,1.469
203.0,0.4934,0.9917,1.4851
204.0,0.4698,0.9929,1.4627
205.0,0.4596,1.0034,1.463
206.0,0.519,1.0028,1.5217999999999998
207.0,0.4486,1.018,1.4666000000000001
208.0,0.5086,1.0,1.5086
209.0,0.4936,0.9862,1.4798
210.0,0.4922,1.0159,1.5081
211.0,0.4964,0.9919,1.4883
212.0,0.5417,1.0076,1.5493000000000001
213.0,0.5089,1.0145,1.5234
214.0,0.4975,0.9918,1.4893
215.0,0.5227,1.0056,1.5283000000000002
216.0,0.5175,1.006,1.5234999999999999
217.0,0.53,1.0124,1.5424
218.0,0.4849,0.9949,1.4798
219.0,0.497,0.9965,1.4935
