step,mloss,gloss,loss
1.0,2.0148,1.2114,3.2262000000000004
2.0,23.0012,30328.3203,30351.3215
3.0,1.3181,2.5463,3.8644
4.0,1.6476,1.1132,2.7607999999999997
5.0,1.372,7.4943,8.8663
6.0,1.5105,1.0223,2.5328
7.0,1.4972,1.0408,2.5380000000000003
8.0,1.2878,1.074,2.3618
9.0,1.0829,1.264,2.3468999999999998
10.0,4.1298,9.2072,13.337
11.0,1.4626,5.6586,7.1212
12.0,1.5628,1.8589,3.4217
13.0,1.5723,1.5654,3.1376999999999997
14.0,1.3291,1.3822,2.7113
15.0,1.3384,1.1649,2.5033000000000003
16.0,1.2666,1.4049,2.6715
17.0,1.2754,1.099,2.3744
18.0,1.2384,1.0864,2.3247999999999998
19.0,1.0953,1.0787,2.174
20.0,1.173,1.0796,2.2526
21.0,1.11,1.0992,2.2092
22.0,1.0866,1.0604,2.1470000000000002
23.0,1.1164,1.0482,2.1646
24.0,1.2143,1.0147,2.229
25.0,1.0901,1.0228,2.1129
26.0,1.0958,1.0176,2.1134000000000004
27.0,1.0758,1.0367,2.1125
28.0,1.0422,1.0107,2.0529
29.0,1.0646,1.0088,2.0734
30.0,1.1326,1.0072,2.1398
31.0,1.0448,1.0195,2.0643000000000002
32.0,1.0875,0.9948,2.0823
33.0,1.048,1.0069,2.0549
34.0,1.0858,0.9997,2.0855
35.0,1.0686,1.007,2.0755999999999997
36.0,1.0661,1.0126,2.0787
37.0,1.0536,1.0066,2.0602
38.0,1.0797,0.9919,2.0716
39.0,1.0695,1.0089,2.0784
40.0,1.0606,1.0148,2.0754
41.0,0.9721,0.9941,1.9662
42.0,1.014,1.0077,2.0217
43.0,1.0334,1.007,2.0404
44.0,0.9882,1.0104,1.9986
45.0,1.0601,1.0191,2.0792
46.0,0.9833,1.0009,1.9842
47.0,1.1126,1.0066,2.1192
48.0,0.9848,1.0041,1.9889000000000001
49.0,1.048,1.0028,2.0507999999999997
50.0,1.0142,1.0122,2.0263999999999998
51.0,1.0373,1.0013,2.0386
52.0,0.9902,1.012,2.0022
53.0,0.989,0.999,1.988
54.0,1.0183,1.004,2.0223
55.0,0.9194,0.9949,1.9143
56.0,0.9214,1.0095,1.9309
57.0,0.9534,1.0031,1.9565000000000001
58.0,0.9579,1.0028,1.9606999999999999
59.0,0.9647,1.0042,1.9689
60.0,0.9458,1.0022,1.948
61.0,0.9436,1.0099,1.9535
62.0,0.9291,0.9941,1.9232
63.0,0.9477,1.0026,1.9503
64.0,0.96,1.0008,1.9607999999999999
65.0,0.8886,1.0001,1.8887
66.0,0.9381,1.006,1.9441000000000002
67.0,1.0075,1.0029,2.0103999999999997
68.0,0.9102,1.0083,1.9184999999999999
69.0,0.901,0.9985,1.8995000000000002
70.0,0.8824,0.9994,1.8818
71.0,0.9347,0.9995,1.9342000000000001
72.0,0.8666,1.0075,1.8741
73.0,0.8871,0.9991,1.8862
74.0,0.9132,1.0025,1.9157
75.0,0.9036,1.0059,1.9095
76.0,0.8971,0.9982,1.8953
77.0,0.8835,1.0016,1.8851
78.0,0.8905,1.0021,1.8925999999999998
79.0,0.9644,0.9993,1.9637
80.0,0.8864,1.0122,1.8986
81.0,0.9095,0.9955,1.905
82.0,0.9106,1.0064,1.9169999999999998
83.0,0.8958,1.0017,1.8975
84.0,0.9226,0.9995,1.9221
85.0,0.8632,1.0052,1.8684
86.0,0.9,1.0075,1.9075000000000002
87.0,0.8525,1.0067,1.8592
88.0,0.9413,1.008,1.9493
89.0,0.9046,1.0027,1.9072999999999998
90.0,0.8757,0.9952,1.8709
91.0,0.8995,0.9989,1.8984
92.0,0.9009,0.9986,1.8995000000000002
93.0,0.8714,1.0077,1.8791
94.0,0.9083,0.9969,1.9052
95.0,0.9168,1.0076,1.9243999999999999
96.0,0.8773,1.0109,1.8881999999999999
97.0,0.8669,1.0044,1.8713
98.0,0.8584,0.9914,1.8498
99.0,0.8827,1.0017,1.8844
100.0,0.9018,1.0005,1.9022999999999999
101.0,0.8807,1.0052,1.8859000000000001
102.0,0.8781,1.0004,1.8784999999999998
103.0,0.8646,1.0044,1.869
104.0,0.9707,1.0038,1.9745
105.0,0.8809,1.0022,1.8831
106.0,0.8609,0.9962,1.8571
107.0,0.845,1.0006,1.8456
108.0,0.842,1.0035,1.8455
109.0,0.8484,1.0082,1.8566
110.0,0.8305,0.9995,1.83
111.0,0.8424,0.9999,1.8423
112.0,0.9346,0.9869,1.9215
113.0,0.8273,1.0033,1.8306
114.0,0.844,1.0073,1.8513000000000002
115.0,0.796,1.0037,1.7997
116.0,0.8303,0.9946,1.8249
117.0,0.8458,0.9918,1.8376000000000001
118.0,0.8213,1.0009,1.8222
119.0,0.8478,1.0006,1.8483999999999998
120.0,0.7837,0.9965,1.7802
121.0,0.8037,0.9903,1.794
122.0,0.8294,1.0075,1.8369
123.0,0.8656,0.9983,1.8639000000000001
124.0,0.8325,1.0113,1.8438
125.0,0.8566,1.0127,1.8693
126.0,0.8708,0.9996,1.8704
127.0,0.8355,1.0044,1.8399
128.0,0.8112,1.0041,1.8153000000000001
129.0,0.8284,1.0067,1.8351
130.0,0.8249,0.999,1.8239
131.0,0.8637,1.0081,1.8718
132.0,0.8282,1.0113,1.8395000000000001
133.0,0.8399,1.0079,1.8477999999999999
134.0,0.823,1.0044,1.8274
135.0,0.7872,1.0036,1.7908
136.0,0.8227,0.9969,1.8195999999999999
137.0,0.8226,1.0069,1.8295
138.0,0.8112,1.0051,1.8163
139.0,0.8318,0.9969,1.8287
140.0,0.8118,1.0009,1.8127
141.0,0.8166,0.9972,1.8138
142.0,0.8612,0.9944,1.8556
143.0,0.8177,1.0039,1.8216
144.0,0.7775,1.0094,1.7869000000000002
145.0,0.8194,0.991,1.8104
146.0,0.8373,1.0064,1.8437000000000001
147.0,0.8591,1.0041,1.8632
148.0,0.809,1.0071,1.8161
149.0,1.0373,0.9985,2.0358
150.0,0.8572,0.9929,1.8500999999999999
151.0,0.8177,0.9976,1.8153000000000001
152.0,0.8442,1.0059,1.8500999999999999
153.0,0.8472,0.9915,1.8387
