step,mloss,gloss,loss
1.0,0.708,1.0508,1.7588
2.0,11.2866,805.1841,816.4707
3.0,0.7435,1.2864,2.0299
4.0,0.6039,1.0432,1.6471
5.0,0.6971,1.097,1.7941
6.0,0.6313,1.1525,1.7838
7.0,0.6908,1.0264,1.7172
8.0,0.5988,1.0026,1.6014
9.0,0.5703,1.0117,1.582
10.0,0.6683,1.0216,1.6899000000000002
11.0,0.6538,1.0164,1.6702
12.0,0.6506,1.0166,1.6671999999999998
13.0,0.7939,1.0189,1.8128
14.0,0.5622,1.0114,1.5736
15.0,0.6033,1.0235,1.6268
16.0,0.6204,1.0005,1.6208999999999998
17.0,0.6334,1.0132,1.6466
18.0,0.6749,1.008,1.6829
19.0,0.6959,1.0094,1.7053
20.0,0.6623,0.9945,1.6568
21.0,0.7517,0.9962,1.7479
22.0,0.625,1.0042,1.6292
23.0,0.5864,0.9947,1.5811000000000002
24.0,0.6371,1.0,1.6371
25.0,0.6613,1.009,1.6703
26.0,0.6233,1.0105,1.6338
27.0,0.6241,0.999,1.6231
28.0,0.6425,0.9971,1.6396
29.0,0.6516,0.9904,1.642
30.0,0.531,0.9911,1.5221
31.0,0.7717,0.9894,1.7610999999999999
32.0,0.6949,0.9941,1.689
33.0,0.6372,1.0061,1.6433
34.0,0.6696,1.0015,1.6711
35.0,0.562,1.0066,1.5686
36.0,0.7198,0.9991,1.7189
37.0,0.6596,0.9899,1.6495
38.0,0.5619,0.9968,1.5587
39.0,0.587,0.9933,1.5802999999999998
40.0,0.5887,0.9989,1.5876000000000001
41.0,0.6664,0.9894,1.6558
42.0,0.6383,0.9928,1.6311
43.0,0.6413,1.0066,1.6479
44.0,0.6222,1.0004,1.6225999999999998
45.0,0.7133,0.9932,1.7065000000000001
46.0,0.5849,0.9922,1.5771
47.0,0.5864,0.9889,1.5753
48.0,0.6485,1.0021,1.6505999999999998
49.0,0.7448,1.0066,1.7513999999999998
50.0,0.7476,1.0076,1.7552
51.0,0.7949,1.0043,1.7992
52.0,0.6967,1.0573,1.754
53.0,0.6362,1.0152,1.6514000000000002
54.0,0.7969,1.0028,1.7997
55.0,0.6508,1.0076,1.6584
56.0,0.5624,1.0061,1.5685
57.0,0.5813,0.9904,1.5716999999999999
58.0,0.62,0.9969,1.6169
59.0,0.6637,1.0163,1.68
60.0,0.6571,1.0129,1.67
61.0,0.5928,1.0049,1.5977
62.0,0.6537,0.9957,1.6494
63.0,0.73,0.9996,1.7296
64.0,0.5476,1.0022,1.5497999999999998
65.0,0.8472,0.994,1.8412
66.0,0.6382,0.9986,1.6368
67.0,0.6063,1.0088,1.6151
68.0,0.5804,0.9928,1.5732
69.0,0.6005,1.0174,1.6179000000000001
70.0,0.629,1.0028,1.6318
71.0,0.6437,0.9985,1.6422
72.0,0.6388,0.9823,1.6211
73.0,0.6554,0.9876,1.643
74.0,0.6624,1.1239,1.7862999999999998
75.0,0.8923,1.2255,2.1178
76.0,0.5456,1.0068,1.5524
77.0,0.6352,1.0298,1.665
78.0,0.6679,0.9996,1.6675
79.0,0.6054,1.0266,1.6320000000000001
80.0,0.7232,1.0123,1.7355
81.0,0.8702,1.0179,1.8881000000000001
82.0,0.7034,1.0128,1.7162
83.0,0.6955,1.0074,1.7029
84.0,0.6788,1.0016,1.6804000000000001
85.0,0.6699,1.0126,1.6825
86.0,0.7433,1.0076,1.7509000000000001
87.0,0.6078,0.9956,1.6034000000000002
88.0,0.6234,1.0046,1.628
89.0,0.7531,1.0064,1.7595
90.0,0.7225,0.997,1.7195
91.0,0.7396,1.001,1.7406
92.0,0.5967,1.0059,1.6026
93.0,0.6116,0.999,1.6106
94.0,0.6932,1.0042,1.6974
95.0,0.694,0.9932,1.6871999999999998
96.0,0.5739,1.0077,1.5816
97.0,0.5875,1.0051,1.5926
98.0,0.7452,1.0069,1.7521
99.0,0.594,1.0075,1.6015000000000001
100.0,0.5649,1.0022,1.5671
101.0,0.7216,0.9906,1.7122000000000002
102.0,0.6205,1.0021,1.6226
103.0,0.6185,0.999,1.6175000000000002
104.0,0.6602,1.0035,1.6637
105.0,0.545,0.993,1.538
106.0,0.5945,0.9917,1.5862
107.0,0.6353,0.9978,1.6331
108.0,0.5845,0.9999,1.5844
109.0,0.7199,0.9858,1.7057
110.0,0.6002,0.9935,1.5937000000000001
111.0,0.5807,1.0068,1.5875
112.0,0.6716,0.9867,1.6583
113.0,0.6919,0.9948,1.6867
114.0,0.6769,1.0025,1.6793999999999998
115.0,0.6068,1.0058,1.6126
116.0,0.6281,1.0001,1.6282
117.0,0.5035,1.0092,1.5127000000000002
118.0,0.7164,0.9777,1.6941000000000002
119.0,0.6135,1.0205,1.634
120.0,0.7518,0.9925,1.7443
121.0,0.6572,0.9929,1.6501000000000001
122.0,0.5832,1.003,1.5861999999999998
123.0,0.6282,0.9799,1.6080999999999999
124.0,0.5729,0.9986,1.5715
125.0,0.6569,0.9842,1.6411
126.0,0.5895,0.9919,1.5814
127.0,0.6312,0.9949,1.6261
128.0,0.794,1.0032,1.7972000000000001
129.0,0.6603,0.9941,1.6543999999999999
130.0,0.5605,0.9953,1.5558
131.0,0.6297,0.9929,1.6226
132.0,0.589,0.9886,1.5776
133.0,0.6694,0.9808,1.6502
134.0,0.6047,0.9892,1.5939
