step,mloss,gloss,loss
1.0,1.8817,1.0822,2.9638999999999998
2.0,16.8101,551.0846,567.8947000000001
3.0,2.1819,1.425,3.6069000000000004
4.0,1.9773,1.0577,3.035
5.0,1.8267,1.0571,2.8838
6.0,1.765,1.0365,2.8015
7.0,1.7532,1.0056,2.7588
8.0,1.9022,1.0074,2.9096
9.0,1.8934,1.0109,2.9043
10.0,1.8737,1.0001,2.8738
11.0,1.8902,0.9994,2.8896
12.0,1.7748,1.0009,2.7756999999999996
13.0,1.8361,1.0012,2.8373
14.0,1.7808,1.0023,2.7831
15.0,1.9129,1.0024,2.9153000000000002
16.0,1.8646,0.9975,2.8621
17.0,1.8467,1.0016,2.8483
18.0,1.6864,1.0049,2.6913
19.0,1.6984,1.0046,2.703
20.0,1.7967,1.0028,2.7995
21.0,1.7822,1.0043,2.7865
22.0,1.6484,1.0057,2.6541
23.0,1.8177,1.0019,2.8196000000000003
24.0,1.8475,1.0081,2.8556
25.0,1.9268,1.0022,2.9290000000000003
26.0,1.8636,1.0023,2.8659
27.0,1.8334,0.9998,2.8331999999999997
28.0,1.7598,1.0022,2.762
29.0,1.6824,0.9998,2.6822
30.0,1.7206,1.0007,2.7213
31.0,1.837,0.9928,2.8298
32.0,1.8835,0.9997,2.8832
33.0,1.7474,1.0038,2.7512
34.0,1.8088,0.9967,2.8055
35.0,1.7218,0.9973,2.7191
36.0,1.8043,1.0055,2.8098
37.0,1.8795,1.0048,2.8842999999999996
38.0,1.5909,1.0002,2.5911
39.0,1.7858,1.0032,2.789
40.0,1.7582,1.0077,2.7659000000000002
41.0,1.7538,0.9991,2.7529
42.0,1.8461,1.0018,2.8479
43.0,1.7441,1.0003,2.7443999999999997
44.0,1.8203,1.0059,2.8262
45.0,1.6952,0.9967,2.6919
46.0,1.8578,1.0048,2.8625999999999996
47.0,1.7809,1.0041,2.785
48.0,1.8017,1.0046,2.8063000000000002
49.0,2.3549,0.9969,3.3518000000000003
50.0,1.7779,0.9969,2.7748
51.0,1.726,0.9997,2.7257
52.0,1.6958,1.0038,2.6996
53.0,1.7059,1.0047,2.7106
54.0,1.97,0.9998,2.9698
55.0,1.8394,1.0025,2.8419
56.0,1.7215,1.0004,2.7218999999999998
57.0,1.7786,0.9972,2.7758
58.0,1.7631,1.0035,2.7666
59.0,1.8183,1.0074,2.8257000000000003
60.0,1.697,1.0027,2.6997
61.0,1.8415,1.0019,2.8434
62.0,1.867,1.0013,2.8683
63.0,1.9626,1.0017,2.9642999999999997
64.0,1.9626,1.0009,2.9635
65.0,1.7786,1.0011,2.7797
66.0,1.765,1.0001,2.7651
67.0,1.8093,1.0053,2.8146
68.0,1.8104,0.9986,2.809
69.0,1.8585,1.004,2.8625
70.0,1.688,0.9986,2.6866
71.0,1.7518,1.0001,2.7519
72.0,1.7194,1.0061,2.7255000000000003
73.0,1.784,0.9999,2.7839
74.0,1.8462,0.9975,2.8437
75.0,1.754,1.0006,2.7546
76.0,1.7962,1.0009,2.7971
77.0,1.8691,1.0029,2.872
78.0,1.8402,0.9996,2.8398000000000003
79.0,1.8019,1.0011,2.803
80.0,1.7737,1.0017,2.7754000000000003
81.0,1.7318,0.9976,2.7294
82.0,1.7457,1.0017,2.7474
83.0,1.7168,0.9981,2.7149
84.0,1.7333,1.0019,2.7352
85.0,1.8222,1.0008,2.823
86.0,1.713,1.0055,2.7185
87.0,1.747,1.0004,2.7474
88.0,1.8664,1.0006,2.867
89.0,1.8621,1.0008,2.8629
90.0,1.6814,0.9929,2.6743
91.0,1.7442,1.0008,2.745
92.0,1.7752,1.0064,2.7816
93.0,1.7465,1.0018,2.7483
94.0,1.6407,1.0077,2.6484
95.0,1.78,0.9978,2.7778
96.0,1.8343,1.0015,2.8358
97.0,1.7507,1.0023,2.753
98.0,1.6879,1.0031,2.691
99.0,1.8597,1.0044,2.8640999999999996
100.0,1.6973,0.9999,2.6972
101.0,1.7509,0.9954,2.7462999999999997
102.0,1.9838,1.0057,2.9895
103.0,1.7823,1.0001,2.7824
