step,mloss,gloss,loss
1.0,1.9832,1.1731,3.1563
2.0,75.1764,35088.5625,35163.7389
3.0,1.8945,1.6916,3.5861
4.0,1.6181,1.2018,2.8199
5.0,1.2977,1.271,2.5686999999999998
6.0,1.3427,1.5285,2.8712
7.0,1.3516,1.0576,2.4092000000000002
8.0,1.2265,1.155,2.3815
9.0,1.2186,1.009,2.2276
10.0,1.2904,1.0594,2.3498
11.0,1.2145,1.0344,2.2489
12.0,1.1992,1.0405,2.2397
13.0,1.1838,1.0167,2.2005
14.0,1.452,1.0662,2.5182
15.0,1.3265,1.113,2.4395
16.0,1.3076,1.0501,2.3577000000000004
17.0,1.3796,1.0892,2.4688
18.0,1.2699,1.2569,2.5267999999999997
19.0,1.349,1.5728,2.9218
20.0,1.3111,1.0579,2.3689999999999998
21.0,1.2739,1.3638,2.6376999999999997
22.0,1.3035,1.3562,2.6597
23.0,1.2479,1.1272,2.3750999999999998
24.0,1.2556,1.2085,2.4641
25.0,1.1914,1.0568,2.2481999999999998
26.0,1.182,1.0219,2.2039
27.0,1.2554,1.0357,2.2911
28.0,1.1991,1.0226,2.2217000000000002
29.0,1.1999,1.0191,2.219
30.0,1.2586,1.0064,2.2649999999999997
31.0,1.1878,1.0529,2.2407
32.0,1.192,1.0174,2.2094
33.0,1.3344,1.0208,2.3552
34.0,1.2504,1.0128,2.2632
35.0,1.2029,1.0125,2.2154
36.0,1.21,1.0238,2.2338
37.0,1.1697,1.0002,2.1699
38.0,1.1434,1.018,2.1614
39.0,1.1364,1.0166,2.153
40.0,1.1909,1.0137,2.2046
41.0,1.1385,1.0077,2.1462000000000003
42.0,1.2242,0.9939,2.2180999999999997
43.0,1.1854,1.0026,2.1879999999999997
44.0,1.1642,1.0119,2.1761
45.0,1.1715,1.0047,2.1761999999999997
46.0,1.191,0.9895,2.1805000000000003
47.0,1.1884,1.0005,2.1889
48.0,1.1553,0.9939,2.1492
49.0,1.1825,0.9969,2.1794000000000002
50.0,1.1596,1.0099,2.1695
51.0,1.1748,0.9801,2.1549
52.0,1.1925,0.9947,2.1872
53.0,1.2183,1.0021,2.2203999999999997
54.0,1.1788,1.0046,2.1834
55.0,1.217,1.0052,2.2222
56.0,1.1171,0.9993,2.1164
57.0,1.3036,1.0042,2.3078000000000003
58.0,1.186,0.9898,2.1757999999999997
59.0,1.1723,1.0069,2.1792
60.0,1.2452,0.9847,2.2299
61.0,1.1774,1.0082,2.1856
62.0,1.2317,1.0068,2.2385
63.0,1.1644,1.0017,2.1661
64.0,1.2193,1.0017,2.221
65.0,1.2025,1.0027,2.2051999999999996
66.0,1.1652,1.005,2.1702
67.0,1.154,1.0084,2.1624
68.0,1.1533,0.9939,2.1471999999999998
69.0,1.2263,1.0016,2.2279
70.0,1.1052,0.9997,2.1048999999999998
71.0,1.2238,1.0049,2.2287
72.0,1.1722,1.013,2.1852
73.0,1.2044,0.9916,2.1959999999999997
74.0,1.2334,1.0092,2.2426000000000004
