CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
660.0,Germany,Male,35.0,9.0,113948.58,1.0,1,0,188891.95,1
597.0,Spain,Male,24.0,0.0,108058.07,2.0,1,1,187826.11,0
478.0,Spain,Male,48.0,0.0,83287.05,2.0,0,1,44147.95,1
449.0,Spain,Male,32.0,0.0,155619.36,1.0,1,1,166692.03,0
493.0,France,Female,33.0,8.0,90791.69,1.0,1,1,59659.53,0
653.0,France,Male,43.0,0.0,0.0,2.0,1,0,27862.58,0
678.0,Germany,Female,37.0,2.0,113383.07,1.0,1,1,135123.95,0
850.0,France,Female,28.0,9.0,0.0,2.0,1,0,185821.4,0
735.0,Germany,Female,43.0,9.0,98807.45,1.0,0,0,184570.05,1
584.0,Spain,Female,38.0,3.0,0.0,2.0,1,1,4525.4,0
781.0,Spain,Male,35.0,4.0,80790.74,1.0,1,0,116429.51,0
536.0,France,Female,35.0,8.0,0.0,1.0,1,0,171840.23,1
710.0,France,Male,33.0,10.0,118327.17,2.0,1,1,192928.81,0
643.0,Germany,Female,45.0,2.0,150842.94,1.0,0,1,2319.96,1
682.0,Spain,Female,50.0,10.0,128039.01,1.0,1,1,102260.16,0
680.0,Germany,Female,31.0,3.0,127331.46,3.0,1,1,176433.6,0
730.0,Spain,Male,62.0,2.0,0.0,2.0,1,1,186489.95,0
679.0,Germany,Female,32.0,0.0,88335.05,1.0,0,0,159584.81,0
705.0,Germany,Female,31.0,9.0,110941.93,2.0,1,0,163484.8,0
524.0,France,Male,32.0,1.0,144875.7,1.0,0,0,187740.05,0
649.0,Spain,Male,29.0,2.0,45022.23,1.0,1,1,173495.77,0
677.0,Spain,Female,25.0,8.0,130866.19,1.0,1,0,42410.21,0
668.0,Germany,Male,34.0,5.0,80242.37,2.0,0,0,56780.97,0
628.0,Spain,Male,50.0,8.0,0.0,1.0,0,0,144366.83,1
759.0,Spain,Male,38.0,1.0,0.0,2.0,1,0,20778.39,0
749.0,Germany,Male,46.0,10.0,78136.36,2.0,1,1,73470.98,0
663.0,Germany,Male,32.0,8.0,130627.66,1.0,1,0,47161.25,1
604.0,Germany,Male,25.0,7.0,165413.44,1.0,1,1,35279.74,0
613.0,Germany,Male,28.0,7.0,76656.4,2.0,1,1,185483.23,0
812.0,Spain,Male,38.0,3.0,127117.8,2.0,1,1,174822.73,0
850.0,Germany,Female,27.0,8.0,111837.78,2.0,1,1,110805.79,0
660.0,Germany,Male,28.0,1.0,118402.25,2.0,1,0,14288.93,0
730.0,Spain,Male,62.0,5.0,112181.08,1.0,0,1,61513.87,0
687.0,Spain,Female,36.0,5.0,0.0,1.0,1,0,17696.22,0
642.0,France,Male,48.0,9.0,118317.27,4.0,0,0,78702.98,1
749.0,France,Female,33.0,1.0,74385.98,1.0,1,0,20164.47,0
576.0,France,Male,55.0,9.0,0.0,2.0,1,1,94450.97,0
690.0,France,Male,21.0,8.0,0.0,2.0,1,1,155782.89,0
790.0,France,Male,26.0,5.0,0.0,1.0,1,0,20510.79,0
572.0,Germany,Male,26.0,4.0,118287.01,2.0,0,0,60427.3,0
615.0,France,Male,34.0,1.0,83503.11,2.0,1,1,73124.53,1
608.0,Germany,Female,48.0,2.0,127924.25,2.0,1,0,32202.61,0
427.0,France,Male,29.0,1.0,141325.56,1.0,1,1,93839.3,0
709.0,Germany,Male,28.0,8.0,124695.72,2.0,1,0,145251.34,0
627.0,Germany,Female,37.0,7.0,147361.56,1.0,1,1,133031.95,0
673.0,Spain,Female,32.0,0.0,0.0,1.0,1,1,72873.33,0
526.0,Spain,Female,43.0,3.0,0.0,2.0,1,0,31705.19,0
695.0,France,Male,46.0,7.0,49512.55,1.0,1,0,133007.34,0
797.0,France,Male,45.0,8.0,0.0,1.0,0,0,125110.02,0
660.0,Spain,Female,36.0,0.0,84438.57,1.0,1,1,181449.52,0
846.0,France,Female,38.0,5.0,0.0,1.0,1,1,187616.16,0
627.0,Spain,Male,48.0,1.0,132759.8,1.0,1,0,78899.22,0
614.0,Spain,Male,35.0,2.0,127283.78,1.0,1,1,31302.35,0
