year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2012,4,10,16,10.0,-18.0,1.0,1023.0,NW,85.47651,0.0,0.0
2013,11,12,10,6.0,-28.635563,-2.0,1030.0,NW,125.27675,0.0,0.0
2012,6,7,4,40.0,18.0,21.0,1003.0,SE,13.855991,0.0,2.0
2014,9,26,9,55.0,13.0,20.0,1012.0,cv,3.13,0.0,0.0
2013,6,19,22,18.0,12.0,23.0,1000.0,NE,4.92,0.0,0.0
2013,9,26,5,8.0,0.0,18.0,1020.0,NW,116.18163,0.0,0.0
2011,12,30,3,130.27638,-10.0,-3.0,1025.0,SE,11.17,0.0,0.0
2010,9,1,21,18.0,16.0,14.0,1016.0,NE,10.28,0.0,13.4893875
2014,5,8,16,45.0,17.0,28.0,1002.0,SE,16.54,0.0,0.0
2012,2,9,12,78.0,-11.0,2.0,1023.0,NW,9.39,0.0,0.0
2011,2,5,19,97.034225,19.0,23.0,1005.75024,NE,1.79,0.0,0.0
2014,3,19,1,202.0,20.0,26.0,1005.0,cv,3.13,0.0,0.0
2010,4,29,5,80.0,3.0,8.0,1013.0,NW,1.79,0.0,0.0
2012,8,6,15,22.0,-25.0,-3.0,1030.0,cv,295.43045,0.0,0.0
2010,5,11,18,121.0,7.0,23.0,1002.0,cv,25.032331,0.0,0.0
2013,5,1,9,70.0,12.0,22.0,1009.0,cv,1.79,0.0,0.0
2014,1,28,11,161.0,15.0,11.0,1024.0,SE,10.29,0.0,0.0
2013,9,30,9,150.7879,14.0,17.0,1017.0,cv,0.89,0.0,0.0
2011,3,15,18,37.0,-13.0,8.0,1019.0,SE,10.867564,0.0,0.0
2011,4,14,12,49.0,-1.0,20.0,1013.0,SE,4.02,0.0,0.0
2010,7,9,11,90.0,19.0,27.0,1002.0,NE,1.79,0.0,0.0
2010,12,13,5,26.100729,-11.0,-1.0,1027.0,cv,1.79,0.0,0.0
2012,2,3,17,10.0,-36.697746,3.0,1024.0,NE,16.99,0.0,0.0
2012,9,4,7,58.0,4.0,13.0,1020.0,NW,4.02,0.0,0.0
2013,7,31,19,220.76587,15.0,14.0,1010.0,NW,13.41,0.0,0.0
2010,3,28,10,35.0,-21.0,4.0,1028.0,SE,31.792805,0.0,0.0
2013,9,26,21,73.95305,19.0,24.0,1008.0,NE,1.79,0.0,0.0
2012,3,26,13,40.0,-12.0,12.0,1019.0,SE,20.118252,0.0,0.0
2014,1,7,4,59.626778,-16.0,-6.0,1031.0,NW,1.79,0.0,0.0
2011,12,3,14,77.0,-13.065714,5.447233,1026.0,NW,14.846619,0.0,0.0
2014,1,26,1,299.1756,-5.0,-2.0,1025.0,cv,0.89,0.0,0.0
2012,2,8,0,38.0,-19.0,-5.0,1029.0,NW,4.47,0.0,0.0
2014,7,17,8,242.99136,23.0,25.0,1008.0,SE,1.79,0.0,0.0
2011,6,24,12,105.0,21.0,24.0,1005.0,NW,15.202741,0.0,2.0
2014,7,8,15,47.0,17.0,34.0,999.0,SE,9.84,0.0,0.0
2014,8,7,15,46.0,19.0,27.0,1008.0,NW,16.09957,0.0,0.0
2012,12,26,0,65.0,19.0,24.0,1007.0,SE,3.58,0.0,0.0
2014,9,27,21,15.0,-22.0,0.0,1026.0,NW,59.95429,0.0,0.0
2010,6,24,6,24.0,-14.0,0.0,1030.0188,NW,8.04,0.0,0.0
2011,11,21,23,34.0,0.65878487,8.0,1009.0,cv,21.01,0.0,0.0
2012,11,25,15,74.0,-8.0,11.0,1020.0,NW,14.75,0.0,0.0
2010,5,29,6,30.0,6.0,25.0,1005.0,SE,27.72,0.0,0.0
2014,8,30,20,173.0,23.0,27.0,1010.0,SE,8.05,0.0,0.0
2014,11,26,2,82.0,-10.0,-6.0,1024.0,NW,4.871493,0.0,0.0
2013,3,17,4,65.0,-14.0,-1.0,1021.0,cv,3.58,0.0,0.0
2010,12,31,22,52.0,-11.0,-1.0,1027.0,NE,1.78,0.0,0.0
2012,12,12,13,215.30801,-4.0,-6.0,1015.0,NW,108.7813,22.33293,0.0
2011,9,20,12,210.87115,20.0,29.0,1010.0,cv,0.89,0.0,0.0
2014,5,26,1,108.0,13.0,20.0,1006.0,NW,1.79,0.0,0.0
2012,10,17,3,6.0,-5.0,10.0,1018.0,SE,0.45,0.0,0.0
2012,2,12,21,276.44153,-10.0,-3.0,1026.0,SE,3.58,0.0,0.0
2013,1,25,23,11.0,-20.0,-0.2052947,1031.0,NW,119.94137,0.0,0.0
2010,2,1,7,32.0,-3.2001686,8.767203,1021.0,NW,24.143991,0.0,0.0
2011,9,28,23,83.0,12.0,18.0,1014.0,NW,6.71,0.0,0.0
2011,7,11,16,31.0,22.0,29.591463,1000.0,SE,17.4323,0.0,1.0
2010,10,12,7,95.0,20.0,28.0,1002.0,SE,15.2,0.0,0.0
2013,9,18,10,59.886707,7.0,19.0,1018.0,NW,15.2,0.0,0.0
2011,9,4,8,44.0,14.0,20.0,1012.0,NE,1.79,0.0,0.0
2014,9,16,23,105.0,15.0,25.0,1009.0,SE,2.23,0.0,0.0
2013,1,12,17,58.0,-18.0,-2.0,1028.0,NW,29.500744,0.0,0.0
2010,5,27,10,104.0,11.0,23.0,1013.0,NE,4.92,0.0,0.0
2014,4,14,18,61.196556,-3.0,21.0,1016.0,cv,2.68,0.0,0.0
2014,7,3,16,42.0,-17.0,-4.0,1027.0,SE,13.86,0.0,0.0
2012,6,13,18,59.0,15.0,28.0,1002.0,SE,4.92,0.0,0.0
2013,10,28,17,97.129364,1.0,15.0,1023.0,NW,11.629386,0.0,0.0
2011,12,2,16,26.0,-17.0,-5.0,1029.0,NE,2.68,0.0,0.0
2014,10,14,7,16.0,-12.953572,1.0,1028.0,cv,19.661034,0.0,0.0
2011,12,15,14,94.0,-14.0,-2.0,1030.0,SE,19.00129,0.0,0.0
2010,3,4,22,36.0,-11.0,2.0,1025.0,NW,1.79,0.0,0.0
2010,12,10,14,60.0,-15.0,0.23284219,1013.0,NE,4.92,0.0,0.0
2012,12,1,4,74.19534,-17.0,-6.0,1031.0,NW,12.97,0.0,0.0
2014,2,2,0,229.0,-9.0,-4.0,1022.0,cv,1.78,0.0,0.0
2011,11,13,0,10.0,7.0,25.0,1006.0,NW,114.87663,0.0,0.0
2013,7,9,0,63.0,20.0,28.0,1001.0,NW,23.68749,0.0,0.0
2012,5,15,5,17.0,-5.0,14.0,999.0,NW,106.21122,0.0,0.0
2014,7,31,20,161.36885,17.0,24.0,1011.0,cv,0.89,0.0,0.0
2013,1,18,18,43.0,-19.0,-3.0,1031.0,NE,4.02,0.0,0.0
2014,12,6,2,32.0,-15.0,0.0,1024.0,cv,9.0024605,0.0,0.0
2011,4,17,18,62.0,1.0,22.0,1009.0,cv,1.78,0.0,0.0
2012,6,4,10,131.0,17.0,24.0,1008.0,SE,15.2,0.0,0.0
2014,1,12,18,18.0,-24.0,1.0,1030.0,cv,6.26,0.0,0.0
2012,6,31,12,133.50533,21.0,25.0,1003.0,cv,1.79,0.0,0.0
2014,9,30,21,15.0,4.0,20.0,1023.0,cv,25.924505,0.0,0.0
2014,2,29,5,100.0,-6.0,1.0,1019.0,cv,1.79,0.0,0.0
2011,5,25,13,68.0,8.0,24.0,1011.0,SE,7.3355417,0.0,0.0
2014,1,30,17,214.93842,-6.0,-1.0,1018.0,NE,4.92,0.0,0.0
2012,6,12,17,194.27103,-3.0,4.0,1020.0,cv,0.89,0.0,0.0
2013,4,27,15,210.15501,-3.0,11.0,1013.0,NE,1.34,0.0,0.0
2011,10,2,14,18.0,4.0,21.0,1022.0,NE,12.07,0.0,0.0
2010,2,3,10,78.80667,-9.0,3.0,1025.0,NW,2.68,0.0,0.0
2014,5,19,12,33.14449,-1.0,25.0,1004.0,cv,1.78,0.0,0.0
2014,11,6,9,95.0,-6.0,5.0,1022.0,NE,2.67,0.0,0.0
2014,10,19,10,228.06657,8.0,13.0,1018.0,NW,1.34,0.0,0.0
2011,6,13,21,167.0,19.0,28.0,1004.0,SE,6.26,0.0,0.0
2014,8,26,15,79.0,19.0,28.0,1008.0,SE,11.18,0.0,0.0
2014,5,28,22,73.54522,10.0,25.0,1003.0,NE,33.523163,0.0,0.0
2013,6,18,21,216.59712,17.0,24.0,1004.0,NE,9.84,0.0,0.0
2011,8,5,20,14.0,-10.712308,12.0,1021.0,NE,23.536308,0.0,0.0
2011,7,10,14,50.0,18.0,21.0,1013.0,NE,7.15,0.0,6.1918683
2014,12,11,16,105.0,-13.0,-2.0,1025.0,NW,4.02,0.0,0.0
2014,9,3,22,183.35081,-5.0,-1.0,1023.0,cv,0.89,0.0,0.0
2011,2,1,22,146.0,-12.0,-2.1105058,1026.0,SE,18.33,0.0,0.0
2011,1,20,16,15.0,-9.0,19.0,1013.0,cv,3.13,0.0,0.0
2010,10,11,0,28.0,0.0,6.0,1017.0,NW,138.02208,0.0,0.0
2010,10,22,11,113.0,6.0,15.0,1021.8765,SE,4.92,0.0,0.0
2010,9,6,4,9.0,12.0,13.0,1022.0,NW,3.13,0.0,0.0
2013,11,25,7,253.64923,-10.0,-3.0,1021.0,NE,1.78,0.0,0.0
2014,3,21,7,31.0,-14.0,2.0,1026.0,SE,28.16,0.0,0.0
2014,1,27,6,375.84613,-4.0,-1.0,1023.0,NE,0.89,0.0,0.0
2014,7,4,2,66.0,20.0,24.0,1003.0,SE,0.89,0.0,0.0
2013,2,29,14,210.10458,-6.0,10.0,1017.0,SE,7.16,0.0,0.0
2010,12,2,18,10.0,-10.0,11.0,1020.0,NW,47.007835,0.0,0.0
2013,5,17,18,24.0,-2.0,20.0,1014.0,NW,146.24535,0.0,0.0
2011,5,15,14,83.0,6.7893662,26.0,1012.0,SE,12.96,0.0,0.0
2014,12,18,0,136.0,11.0,14.0,1015.0,SE,2.67,0.0,0.0
2014,2,20,18,52.0,-16.0,-2.0,1028.0,cv,6.708266,0.0,0.0
2014,11,16,16,29.0,6.0,11.0,1024.0,NE,7.16,0.0,8.433927
2014,3,6,22,54.0,-5.0,8.0,1021.0,SE,14.75,0.0,0.0
2013,6,31,9,166.76845,21.0,26.0,1002.0,NW,1.79,0.0,0.0
2010,1,13,17,106.55429,-18.0,-5.0,1027.0,NE,20.57,0.0,0.0
2013,1,1,7,393.47427,-4.0,-12.0,1014.0,SE,1.79,0.0,0.0
2010,1,9,11,42.0,-22.0,-3.0,1029.0,NW,4.02,0.0,0.0
2010,12,9,15,17.0,-21.0,-5.0,1031.0,SE,146.70735,0.0,0.0
2013,2,20,7,29.821571,-19.0,-5.0,1032.1302,NW,6.26,0.0,0.0
2014,10,21,10,23.498535,-8.0,8.0,1027.0,NE,4.92,0.0,0.0
2014,11,25,11,82.34158,-6.0,5.0,1027.0,NW,5.37,0.0,0.0
2014,8,25,1,111.43325,17.0,26.0,1010.0,cv,16.1,0.0,0.0
2012,8,3,1,9.0,18.0,26.341202,1004.0,SE,3.13,0.0,0.0
2012,1,2,3,40.0,-11.0,13.0,1017.0,NE,3.13,0.0,0.0
2010,9,22,15,44.86282,-2.0,17.0,1018.0,SE,13.86,0.0,0.0
2010,3,16,16,169.0,3.0,8.0,1017.9099,NE,14.75,0.0,3.0
2014,1,5,10,55.0,15.0,24.0,1006.0,cv,3.13,0.0,0.0
2013,1,29,6,172.0,-12.0,-6.0,1029.0,cv,8.5,0.0,0.0
2012,12,6,9,10.0,-16.0,-2.226321,1032.0,NW,155.19954,0.0,0.0
2012,4,7,21,58.363316,6.0,17.0,1005.0,NE,12.97,0.0,0.0
2010,7,30,3,196.15268,24.0,24.0,1001.0,NW,1.79,0.0,0.0
2012,7,21,1,54.0,23.0,20.0,999.0,cv,4.92,0.0,7.6126604
2010,1,21,0,77.0,-19.0,-5.0,1031.0,SE,18.33,0.0,0.0
2012,12,23,7,12.0,-15.0,-4.0,1032.0,NW,8.04,0.0,0.0
2011,3,7,9,158.01128,-8.0,3.0,1020.0,cv,1.78,0.0,0.0
2011,12,31,23,141.0,-4.0,2.0,1027.0,cv,0.89,0.0,0.0
2013,2,18,15,245.77705,-9.0,2.0,1012.0,NE,1.79,0.0,0.0
2013,12,7,12,123.47161,-13.0,2.0,1020.0,cv,0.89,0.0,0.0
2011,8,14,22,109.48303,21.0,25.0,1006.0,cv,1.34,0.0,0.0
2010,9,26,2,83.0,16.0,22.0,1013.0,NW,14.044407,0.0,0.0
2014,12,9,16,65.0,-16.65749,-3.0,1029.0,SE,4.02,0.0,0.0
2012,2,17,12,70.58257,-10.0,5.0,1028.0,NE,4.4529247,0.0,0.0
2013,4,23,15,18.0,-7.0,27.0,1007.0,SE,12.765461,0.0,0.0
