Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
334.177,0.0,5.3233,0.893,0.6752,-457.9161,-331.78,147.20587,90.0,1.2826,h
334.177,0.0,1.9413,0.893,0.0003,575.2407,-331.78,-205.8947,90.0,1.2826,h
334.177,0.0,1.9413,0.0131,0.6752,575.2407,238.321,179.851,0.0,495.561,g
4.2835,0.0,5.3233,0.0131,0.0003,575.2407,-331.78,179.851,90.0,1.2826,g
334.177,256.382,5.3233,0.0131,0.0003,-457.9161,-331.78,-205.8947,0.0,495.561,h
4.2835,0.0,5.3233,0.893,0.6752,575.2407,-331.78,-205.8947,90.0,1.2826,h
4.2835,256.382,1.9413,0.893,0.6752,575.2407,238.321,-205.8947,90.0,495.561,h
334.177,256.382,1.9413,0.0131,0.6752,-457.9161,-331.78,179.851,0.0,495.561,h
4.2835,256.382,5.3233,0.893,0.0003,575.2407,-331.78,-205.8947,0.0,1.2826,h
334.177,256.382,1.9413,0.0131,0.0003,-457.9161,-331.78,179.851,0.0,495.561,g
334.177,0.0,1.9413,0.0131,0.0003,-457.9161,-331.78,179.851,0.0,495.561,g
4.2835,0.0,1.9413,0.893,0.6752,-457.9161,238.321,179.851,90.0,495.561,g
334.177,0.0,5.3233,0.0131,0.6752,-457.9161,238.321,179.851,0.0,495.561,g
4.2835,256.382,5.3233,0.0131,0.6752,575.2407,-331.78,179.851,0.0,495.561,h
334.177,256.382,5.3233,0.0131,0.0003,-457.9161,-331.78,179.851,0.0,495.561,h
334.177,256.382,5.3233,0.893,0.6752,-457.9161,238.321,179.851,0.0,495.561,h
334.177,256.382,1.9413,0.0131,0.6752,-457.9161,238.321,179.851,0.0,1.2826,g
334.177,256.382,5.3233,0.0131,0.6752,-457.9161,238.321,-205.8947,90.0,495.561,h
334.177,256.382,5.3233,0.0131,0.0003,-457.9161,-331.78,-205.8947,0.0,495.561,g
334.177,0.0,1.9413,0.893,0.0003,-457.9161,238.321,179.851,0.0,495.561,g
334.177,0.0,1.9413,0.893,0.6752,575.2407,238.321,-205.8947,0.0,495.561,g
334.177,0.0,1.9413,0.0131,0.0003,-457.73676,238.321,179.851,90.0,495.561,h
4.2835,256.382,1.9413,0.893,0.6752,-457.9161,238.321,-205.8947,90.0,495.561,h
4.2835,256.382,1.9413,0.0131,0.0003,-457.9161,238.321,179.851,90.0,1.2826,h
334.177,256.382,5.3233,0.0131,0.6752,-457.9161,-331.78,-205.8947,90.0,495.561,h
334.177,0.0,1.9413,0.0131,0.6752,-457.9161,-331.78,179.851,90.0,1.2826,h
334.177,0.0,1.9413,0.0131,0.0003,575.2407,-331.78,-205.8947,0.0,1.2826,g
334.177,0.0,1.9413,0.893,0.0003,-457.9161,238.321,-205.8947,0.0,1.2826,g
334.177,256.382,5.3233,0.0131,0.0003,-457.9161,-331.78,179.851,0.0,1.2826,h
4.2835,256.382,1.9413,0.0131,0.0003,-457.9161,238.321,-205.8947,0.0,495.561,g
334.177,256.382,5.3233,0.0131,0.0003,575.2407,238.321,-205.8947,0.0,1.2826,g
334.177,0.0,1.9413,0.0131,0.6752,-457.9161,-331.78,179.851,0.0,1.2826,g
4.548228,0.0,1.9413,0.893,0.6752,-457.9161,-331.78,179.851,90.0,495.561,h
334.177,0.0,1.9413,0.893,0.6752,575.2407,238.321,-205.8947,0.0,1.2826,g
4.2835,0.0,5.3233,0.0131,0.0003,-457.9161,238.321,179.851,90.0,1.2826,g
334.177,256.382,5.3233,0.0131,0.0003,575.2407,-331.78,-205.8947,0.0,495.561,g
4.2835,256.382,1.9413,0.0131,0.6752,575.2407,-331.78,-205.8947,90.0,495.561,h
4.2835,0.0,1.9413,0.893,0.6752,575.2407,238.321,179.851,90.0,1.2826,g
334.177,0.0,5.3233,0.893,0.6752,-457.9161,-331.78,-205.8947,0.0,1.2826,g
334.177,256.382,5.3233,0.0131,0.0003,-457.9161,-331.78,-205.8947,0.0,495.561,h
334.177,256.382,5.3233,0.0131,0.0003,-457.9161,238.321,-205.8947,0.0,495.561,g
4.2835,256.382,1.9413,0.0131,0.0003,575.2407,238.321,-205.8947,0.0,495.561,h
334.177,256.382,1.9413,0.893,0.0003,575.2407,238.321,179.851,0.0,1.2826,g
334.177,256.382,5.3233,0.0131,0.6752,-457.9161,238.321,-205.8947,0.0,495.561,h
4.2835,256.382,1.9413,0.0131,0.0003,-457.9161,-331.78,179.851,90.0,1.2826,h
4.2835,0.0,5.3233,0.893,0.0003,575.2407,-331.78,179.851,0.0,1.2826,g
4.2835,0.0,5.3233,0.0131,0.0003,-457.9161,-331.78,-205.8947,90.0,495.561,g
334.177,256.382,5.3233,0.0131,0.0003,575.2407,-331.78,179.851,90.0,1.2826,h
4.2835,0.0,5.3233,0.893,0.6752,575.2407,238.321,27.332733,0.0,1.2826,h
334.177,256.382,5.3233,0.0131,0.0003,575.2407,238.321,179.851,0.0,1.2826,h
334.177,0.0,5.3233,0.0131,0.6752,-457.9161,-331.78,-205.8947,0.0,495.561,h
4.2835,0.0,5.3233,0.893,0.6752,-457.9161,-331.78,-205.8947,0.0,495.561,h
334.177,0.0,1.9413,0.060353044,0.0003,-457.9161,-331.78,179.851,0.0,495.561,h
4.2835,256.382,1.9413,0.0131,0.27490458,-457.9161,-331.78,179.851,0.0,495.561,h
4.2835,0.0,5.3233,0.893,0.0003,-457.9161,-331.78,-205.8947,90.0,1.2826,h
334.177,256.382,5.3233,0.0131,0.0003,-457.9161,-331.78,179.851,7.422066,495.561,h
334.177,0.0,5.3233,0.0131,0.0003,575.2407,238.321,179.851,0.0,1.2826,h
4.2835,0.0,5.3233,0.893,0.0003,575.2407,-331.78,179.851,90.0,1.2826,h
334.177,256.382,1.9413,0.0131,0.0003,-457.9161,-331.78,-205.8947,0.0,1.2826,h
4.2835,256.382,1.9413,0.893,0.0003,575.2407,-331.78,179.851,0.0,1.2826,g
334.177,256.382,5.3233,0.0131,0.6752,-457.9161,238.321,-205.8947,0.0,495.561,h
4.2835,256.382,5.3233,0.893,0.6752,-457.9161,238.321,179.851,90.0,1.2826,h
334.177,256.382,1.9413,0.893,0.6752,-457.9161,-331.78,-205.8947,90.0,1.2826,g
4.2835,256.382,5.3233,0.0131,0.0003,-457.9161,238.321,179.851,0.0,495.561,g
334.177,0.0,1.9413,0.893,0.6752,575.2407,-331.78,-205.8947,90.0,495.561,h
334.177,0.0,1.9413,0.893,0.6752,575.2407,238.321,-205.8947,0.0,495.561,h
334.177,256.382,5.3233,0.0131,0.0003,-457.9161,-331.78,-205.8947,0.0,495.561,h
334.177,256.382,1.9413,0.0131,0.6752,575.2407,238.321,179.851,90.0,1.2826,g
334.177,0.0,5.3233,0.0131,0.0003,-457.9161,238.321,-205.8947,0.0,1.2826,g
334.177,256.382,1.9413,0.0131,0.0003,575.2407,-331.78,-48.315594,0.0,1.2826,g
334.177,0.0,5.3233,0.893,0.48663872,-457.9161,238.321,179.851,0.0,1.2826,g
4.2835,256.382,5.3233,0.893,0.0003,-457.9161,238.321,-205.8947,0.0,495.561,h
334.177,256.382,1.9413,0.893,0.0003,-457.9161,238.321,-205.8947,0.0,1.2826,h
4.2835,0.0,1.9413,0.893,0.6752,575.2407,238.321,179.851,0.0,495.561,h
334.177,256.382,5.3233,0.0131,0.6752,-457.9161,238.321,-205.8947,0.0,1.2826,g
334.177,0.0,1.9413,0.0131,0.0003,-457.9161,238.321,179.851,0.0,495.561,g
334.177,0.0,5.3233,0.0131,0.0003,575.2407,-331.78,-205.8947,0.0,1.2826,g
334.177,256.382,1.9413,0.893,0.6752,575.2407,238.321,-205.8947,0.0,1.2826,g
4.2835,256.382,1.9413,0.893,0.0003,575.2407,238.321,-205.8947,90.0,495.561,h
4.2835,256.382,5.3233,0.0131,0.6752,-457.9161,-331.78,179.851,0.0,495.561,g
334.177,256.382,1.9413,0.893,0.0003,-457.9161,-331.78,-205.8947,0.0,495.561,h
334.177,256.382,5.3233,0.0131,0.0003,575.2407,-331.78,-205.8947,0.0,1.2826,g
4.2835,0.0,5.3233,0.893,0.6752,-457.9161,238.321,-205.8947,0.0,495.561,g
4.2835,0.0,5.3233,0.893,0.0003,575.2407,-331.78,179.851,90.0,1.2826,h
4.2835,256.382,1.9413,0.893,0.6752,-457.9161,-331.78,-205.8947,90.0,1.2826,h
334.177,0.0,5.3233,0.0131,0.6752,575.2407,-331.78,179.851,90.0,495.561,g
334.177,256.382,5.3233,0.893,0.0003,-457.9161,238.321,-205.8947,90.0,495.561,h
4.2835,256.382,1.9413,0.0131,0.0003,84.3509,-331.78,-205.8947,0.0,1.2826,g
4.2835,0.0,5.3233,0.0131,0.0003,575.2407,238.321,-205.8947,90.0,495.561,h
4.2835,0.0,1.9413,0.893,0.0003,-457.9161,238.321,-205.8947,90.0,495.561,h
4.2835,0.0,5.3233,0.893,0.0003,575.2407,-331.78,179.851,90.0,1.2826,h
4.2835,0.0,1.9413,0.0131,0.0003,575.2407,238.321,-205.8947,90.0,495.561,h
4.2835,0.0,5.3233,0.893,0.6752,575.2407,-331.78,-205.8947,90.0,1.2826,g
4.2835,0.0,5.3233,0.0131,0.6752,-457.9161,-331.78,-205.8947,0.0,1.2826,g
334.177,256.382,5.3233,0.0131,0.6752,-457.9161,238.321,179.851,90.0,1.2826,g
334.177,0.0,1.9413,0.893,0.6752,575.2407,238.321,179.851,0.0,495.561,g
334.177,256.382,5.3233,0.0131,0.6746892,-457.9161,238.321,-205.8947,0.0,495.561,h
334.177,256.382,1.9413,0.893,0.6752,-457.9161,-331.78,179.851,0.0,495.561,g
334.177,0.0,5.3233,0.893,0.6752,575.2407,-331.78,179.851,90.0,1.2826,h
4.2835,0.0,1.9413,0.0131,0.0003,-457.9161,238.321,-205.8947,0.0,1.2826,g
4.2835,0.0,1.9413,0.0131,0.0003,575.2407,-331.78,-205.8947,90.0,1.2826,g
4.2835,256.382,5.3233,0.893,0.6752,575.2407,238.321,179.851,0.0,1.2826,g
334.177,256.382,5.3233,0.0131,0.0003,575.2407,-331.78,-205.32744,90.0,1.2826,g
334.177,256.382,5.3233,0.0131,0.6752,-457.9161,238.321,-205.8947,90.0,495.561,h
334.177,256.382,5.3233,0.893,0.0003,-457.9161,-331.78,-205.8947,90.0,495.561,h
4.2835,0.0,5.3233,0.0131,0.0003,-457.9161,-331.78,-205.8947,0.0,1.2826,g
4.2835,256.382,1.9413,0.0131,0.0003,575.2407,238.321,-205.8947,0.0,1.2826,g
334.177,0.0,1.9413,0.0131,0.0003,-457.9161,238.321,-205.8947,0.0,1.2826,g
334.177,0.0,1.9413,0.0131,0.6752,575.2407,238.321,-205.8947,0.0,495.561,h
4.2835,0.0,1.9413,0.893,0.0003,575.2407,-331.78,179.851,90.0,1.2826,g
334.177,256.382,5.3233,0.0131,0.0003,575.2407,238.321,179.851,90.0,1.2826,h
334.177,256.382,5.3233,0.0131,0.0003,575.2407,-331.78,-205.8947,0.0,495.561,g
4.2835,0.0,1.9413,0.0131,0.6752,-457.9161,238.321,179.851,90.0,495.561,h
334.177,256.382,5.3233,0.0131,0.0003,-457.9161,238.321,179.851,0.0,495.561,g
334.177,256.382,5.3233,0.893,0.6752,-457.9161,238.321,-205.8947,90.0,1.2826,h
4.2835,256.382,1.9413,0.0131,0.0003,575.2407,-331.78,179.851,0.0,1.2826,h
334.177,256.382,5.3233,0.0131,0.0003,575.2407,238.321,179.851,90.0,1.2826,h
334.177,0.0,5.3233,0.893,0.6752,575.2407,238.321,179.851,90.0,1.2826,h
334.177,0.0,5.3233,0.0131,0.6752,-457.9161,-331.78,-205.8947,90.0,495.561,h
334.177,256.382,1.9413,0.0131,0.6752,-457.9161,238.321,-205.8947,90.0,495.561,g
