Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,13.0,722.3204,0.0,0.0077374815,0.0,0.0,May,2,2,1,1,Returning_Visitor,True,False
1.0,0.0,0.0,0.0,9.0,194.17476,0.041705735,0.059515785,43.44996,0.0,Mar,1,1,4,1,Returning_Visitor,True,False
2.3199565,186.03397,0.0,0.0,42.02284,1663.0244,0.0,0.01844911,15.026229,0.0,June,2,2,4,2,Returning_Visitor,False,True
4.0,95.65449,4.0,113.9969,62.939266,3522.986,0.002675321,0.017975433,0.0,0.0,Mar,2,2,2,1,Returning_Visitor,False,False
5.0,76.92334,0.0,0.0,39.0,1181.4175,0.0055806376,0.027194472,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,10.0,64.85893,0.08029821,0.110591576,0.0,0.0,Mar,2,2,6,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,227.32388,0.0,0.015306158,17.663664,0.0,Nov,1,1,2,8,New_Visitor,False,True
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.6,May,2,2,1,3,Returning_Visitor,False,False
2.0,65.91632,0.0,0.0,5.0,228.19643,0.0,0.022127353,0.0,0.0,Sep,1,2,3,3,New_Visitor,False,True
0.0,0.0,0.0,0.0,3.0,70.76735,0.0,0.06099082,0.0,0.0,Dec,1,1,3,2,New_Visitor,True,False
3.0,60.145046,0.0,0.0,22.0,1056.048,0.0,0.0074587264,0.0,0.0,Mar,1,1,4,8,New_Visitor,True,False
2.0,108.8325,0.0,0.0,3.0,81.823425,0.0,0.0,0.0,0.0,Dec,3,2,4,2,New_Visitor,False,False
10.0,162.05847,2.0,136.3641,132.56386,4020.652,0.0044250493,0.01593438,0.0,0.0,May,2,2,2,10,Returning_Visitor,False,False
3.0,93.828545,0.0,0.0,69.40706,1787.5509,0.0,0.0,0.0,0.0,Jul,2,2,3,2,New_Visitor,False,False
2.0,46.681946,0.0,0.0,33.69706,1275.968,0.0,0.022140305,17.528809,0.0,Oct,2,10,5,3,Returning_Visitor,False,False
1.0,10.252858,0.0,0.0,10.0,137.65063,0.03264833,0.037764207,0.0,0.0,Dec,3,2,1,1,Returning_Visitor,False,False
3.0,57.346367,0.0,0.0,13.0,455.0637,0.013736509,0.027038895,21.546555,0.0,Nov,2,2,5,1,Returning_Visitor,False,False
3.0,106.105865,2.0,54.812542,129.19518,6218.603,0.013276337,0.028571429,0.0,0.0,Nov,3,2,1,1,Returning_Visitor,False,False
2.0,91.61941,0.0,0.0,24.0,977.7813,0.0,0.0066551985,0.0,0.0,Dec,1,8,9,11,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,25.348074,527.28296,0.06666667,0.1,0.0,0.6,May,3,2,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,12.0,105.818275,0.0,0.033308964,0.0,0.0,Aug,3,2,7,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,104.364365,0.0,0.06666667,0.0,0.4,May,4,2,1,11,Returning_Visitor,False,False
