Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,2.0,45.486584,68.38287,2810.5833,0.0066479016,0.03327026,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,27.0,742.1723,0.00716172,0.018492024,0.0,0.0,Dec,4,2,7,3,Returning_Visitor,False,False
5.0,107.57904,2.0,66.14722,56.28371,2465.1033,0.007692308,0.022222223,0.0,0.0,Aug,1,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,39.0,1487.6284,0.009485182,0.04,0.0,0.0,Nov,4,1,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,399.87714,0.0,0.03234002,0.0,0.0,May,3,2,3,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,44.0,1523.2279,0.00892221,0.032324743,0.0,0.0,Aug,2,2,1,2,Returning_Visitor,False,False
4.0,55.854767,0.0,0.0,27.0,446.14404,0.0,0.017416699,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
3.0,52.68765,2.0,97.83218,42.524094,1346.0109,0.007299686,0.022368591,0.0,0.0,Feb,4,2,1,13,Returning_Visitor,False,False
3.0,66.64202,0.0,0.0,80.786705,2854.7952,0.0053333403,0.025,4.9427695,0.0,Nov,4,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.832695,495.95752,0.014204273,0.027265092,0.0,0.0,Dec,3,2,7,11,Returning_Visitor,False,False
4.0,50.790684,0.0,0.0,47.0,1556.2219,0.0,0.010199822,25.930264,0.0,Mar,2,2,7,2,Returning_Visitor,True,False
4.0,65.3626,0.0,0.0,33.84958,1004.6291,0.0,0.014285714,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,False
5.0,73.07554,0.0,0.0,16.0,259.8361,0.0,0.025,0.0,0.0,Nov,1,1,7,2,Returning_Visitor,True,False
4.0,62.747265,0.0,0.0,41.788467,1619.3704,0.0,0.009608912,27.959822,0.0,Jul,2,4,8,8,New_Visitor,False,True
0.0,0.0,0.0,0.0,7.0,99.26446,0.06666667,0.1,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
2.0,46.696213,0.0,0.0,20.0,658.9612,0.0,0.010457706,27.31658,0.0,Dec,4,2,7,2,New_Visitor,False,True
0.0,0.0,0.0,0.0,22.0,598.8047,0.0125,0.04,0.0,0.0,Nov,4,1,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,24.0,601.4025,0.013027794,0.036280055,0.0,0.0,Jul,1,1,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,681.2666,0.0,0.018247616,20.546703,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
