Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,24.0,601.36993,0.010336632,0.03229241,0.0,0.0,Nov,4,2,1,1,Returning_Visitor,False,False
3.0,37.196243,0.0,0.0,23.0,537.9108,0.0,0.02230592,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
5.0,81.34286,0.0,0.0,57.89781,1496.4082,0.0062831114,0.026732996,0.0,0.0,Dec,2,1,1,3,Returning_Visitor,False,False
3.0,50.466194,0.0,0.0,18.0,682.9409,0.0,0.026556954,0.0,0.0,Jul,2,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,22.953619,492.78506,0.0,0.026165225,0.0,0.0,Aug,7,2,6,8,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,309.806,0.020018503,0.042136617,0.0,0.0,Nov,4,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,37.0,778.5798,0.020227982,0.03998403,0.0,0.0,Aug,2,2,7,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.0,388.61823,0.0,0.047709394,0.0,0.0,Aug,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,1.0,17.166512,91.68674,2447.32,0.00627915,0.025261238,6.065414,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,274.22574,0.0,0.05,0.0,0.0,Jul,2,2,7,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,35.0,737.025,0.008060238,0.022304416,0.0,0.0,Dec,1,4,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,243.10083,0.0,0.038120948,0.0,0.0,Jul,4,2,3,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Dec,1,2,1,1,Returning_Visitor,False,False
5.0,151.18762,0.0,0.0,48.0,1603.207,0.010300306,0.026765611,0.0,0.0,June,4,2,1,1,Returning_Visitor,False,False
2.0,27.01461,0.0,0.0,23.02998,741.4158,0.0068099084,0.033740997,0.0,0.0,Aug,2,4,7,2,Returning_Visitor,False,False
7.0,117.026245,0.0,0.0,64.14987,1471.9587,0.0022428457,0.015949078,0.0,0.0,Jul,2,2,9,2,Returning_Visitor,False,False
3.0,65.342384,0.0,0.0,39.91079,1094.6162,0.0,0.014285714,0.0,0.0,Aug,2,2,9,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,23.0,785.986,0.0,0.023008136,0.0,0.0,Nov,3,2,1,8,Returning_Visitor,False,False
1.0,0.0,0.0,0.0,23.0,318.4156,0.025,0.05,0.0,0.0,May,3,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,474.72708,0.016754005,0.028041866,0.0,0.0,Nov,1,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,29.0,1036.896,0.013333333,0.03333333,0.0,0.0,Nov,2,2,1,9,Returning_Visitor,False,False
4.0,74.28349,0.0,0.0,39.442856,858.28174,0.002797413,0.014635916,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
3.0,61.11915,0.0,0.0,28.0,1092.5442,0.0,0.025575656,0.0,0.0,Aug,2,2,9,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,678.5296,0.0,0.020925976,0.0,0.0,Nov,4,2,1,8,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,27.0,596.11206,0.011389274,0.028571429,0.0,0.0,Dec,1,2,1,3,Returning_Visitor,False,False
2.0,43.93784,0.0,0.0,14.0,390.28278,0.018713595,0.039590012,0.0,0.0,Aug,1,1,1,2,Returning_Visitor,False,False
3.0,64.90833,0.0,0.0,40.02614,1285.7676,0.007416125,0.01578886,0.0,0.0,Dec,1,1,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,270.57043,0.0,0.025,0.0,0.0,Dec,3,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.0,190.76897,0.028571429,0.051616676,0.0,0.0,Dec,3,2,1,2,Returning_Visitor,False,False
