Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.0,84.02567,0.0,0.0,31.0,741.6398,0.008627842,0.036714274,0.0,0.0,Oct,2,2,7,1,Returning_Visitor,False,False
2.0,207.10591,0.0,0.0,28.0,653.5457,0.0,0.0,0.0,0.0,Oct,1,1,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,26.463987,0.03333333,0.1,0.0,0.0,June,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,1.0,224.50287,17.0,831.30005,0.0,0.022405075,0.0,0.0,May,3,2,2,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,162.64972,0.0,0.05277036,0.0,0.0,Mar,4,1,6,3,Returning_Visitor,False,False
1.0,35.325996,0.0,0.0,15.0,214.14069,0.0,0.0195215,0.0,0.0,Oct,3,2,9,1,Returning_Visitor,False,False
4.0,54.423786,0.0,0.0,24.0,1106.7443,0.004643229,0.015784523,0.0,0.0,Sep,2,2,8,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,26.971827,0.0,0.18066391,0.0,0.0,Nov,2,2,3,6,Returning_Visitor,False,False
1.0,53.737827,0.0,0.0,38.9468,791.2024,0.0,0.010657602,38.705868,0.0,Aug,2,2,3,6,New_Visitor,False,True
0.0,0.0,0.0,0.0,34.0,1694.2993,0.0,0.007849493,124.37376,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,79.57899,2848.9814,0.011106782,0.028578619,0.0,0.0,Dec,4,1,1,1,Returning_Visitor,False,False
3.0,263.83276,2.739881,129.98169,21.0,470.20514,0.028571429,0.056737095,0.0,0.0,Aug,1,1,2,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,14.481747,557.54254,0.042991344,0.08673602,0.0,0.0,May,1,1,3,2,Returning_Visitor,True,False
4.0,62.192585,0.0,0.0,8.0,1123.4045,0.0,0.028577229,0.0,0.0,Mar,4,2,2,8,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,15.0,1119.5863,0.0,0.042770293,0.0,0.0,Dec,4,1,1,4,Returning_Visitor,True,False
6.630141,53.981567,0.0,0.0,39.0,2452.1492,0.0125,0.06666667,0.0,0.0,Nov,2,2,2,13,Returning_Visitor,False,False
4.0,117.5193,0.0,0.0,96.756744,1711.9889,0.0040192716,0.013333333,0.0,0.0,Nov,2,2,3,6,Returning_Visitor,False,False
1.0,0.0,0.0,0.0,3.0,52.66801,0.0,0.038688976,0.0,0.0,Oct,1,1,7,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,412.0932,0.06666667,0.11955807,0.0,0.0,Feb,1,1,4,20,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,3.6127164,0.0,0.088100106,0.1,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,17.0,249.79874,0.0,0.026437543,0.0,0.0,May,2,4,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,540.04926,0.0,0.011111111,0.0,0.6,May,1,1,4,2,Returning_Visitor,False,False
0.0,0.0,1.0,409.80725,4.0,403.7919,0.0,0.015458873,0.0,0.0,Dec,4,1,3,2,Returning_Visitor,False,False
3.0,44.68188,0.0,0.0,142.67992,4442.1895,0.007442564,0.028561085,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,52.80052,929.54034,0.0028476878,0.024656637,90.70717,0.0,Nov,1,1,1,11,Returning_Visitor,False,False
12.0,168.37125,0.0,0.0,39.0,2075.0295,0.0,0.013594358,0.0,0.0,Nov,2,2,1,2,New_Visitor,True,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,4,1,2,4,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,June,1,1,3,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,4.0,115.94461,0.0,0.04,0.0,0.0,Dec,8,13,9,20,Other,False,False
4.0,48.852707,0.0,0.0,2.0,54.143486,0.0,0.03670507,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,6.0,89.813385,0.023675155,0.022952482,0.0,0.4,Feb,2,2,1,13,New_Visitor,False,False
