Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
8.0,198.39795,3.081977,271.0712,40.37685,1748.0419,0.0,0.025899366,19.845898,0.0,Mar,2,2,7,2,Returning_Visitor,False,False
2.0,43.962,0.0,0.0,45.0,818.22296,0.004288835,0.009412478,0.0,0.0,May,2,4,1,3,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,101.70853,3825.0989,0.005183999,0.018236283,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,22.0,700.2612,0.03333333,0.046749573,0.0,0.0,Dec,1,1,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,14.0,236.55836,0.0,0.014354865,0.0,0.0,Mar,1,1,1,2,New_Visitor,False,False
2.0,59.859047,5.0,216.42285,122.40162,2745.4233,0.0014159379,0.012224604,36.65519,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
6.0,123.66566,2.0,50.947773,77.298225,2883.251,0.0,0.0094777495,16.766146,0.0,Dec,2,2,1,8,Returning_Visitor,False,True
7.0,177.69856,4.0,315.76822,8.991564,238.16206,0.0,0.014353834,0.0,0.0,Dec,3,2,8,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
7.098321,178.34431,2.0,66.49192,77.571045,2484.2327,0.0051333816,0.012390573,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
5.0,119.8718,0.0,0.0,22.0,596.63513,0.0,0.010709289,0.0,0.0,Nov,1,1,3,11,New_Visitor,True,False
6.0,234.97047,1.0,23.988686,37.0,1373.1122,0.021233514,0.032443807,0.0,0.0,May,3,2,3,20,Returning_Visitor,False,False
0.0,7.127733,0.0,0.0,15.086199,697.88025,0.055297688,0.077063404,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,24.0,555.265,0.009881874,0.03450289,0.0,0.0,Nov,2,2,7,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,271.67426,0.04076605,0.08861993,0.0,0.0,Dec,2,10,6,20,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,4.0,55.906536,0.086755045,0.1,0.0,0.6,May,1,1,1,3,Returning_Visitor,False,False
1.0,112.65054,0.0,0.0,14.0,917.81525,0.0,0.00240604,68.37811,0.0,Sep,1,1,3,2,New_Visitor,False,True
7.0,159.55428,2.0,174.97171,24.0,586.8456,0.0073915757,0.009769492,8.944407,0.0,Oct,3,2,3,5,Returning_Visitor,False,False
0.0,0.0,2.0,63.8262,28.0,3909.4087,0.0,0.0153994365,0.0,0.0,Nov,2,2,9,2,New_Visitor,True,False
5.0,311.7339,0.0,0.0,8.0,556.9699,0.0,0.011890967,22.706463,0.0,May,2,2,5,20,New_Visitor,False,False
3.0,95.45149,0.0,0.0,19.184454,722.15247,0.038029302,0.04851539,26.391872,0.0,Feb,1,1,2,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,85.97396,0.0,0.05,0.0,0.0,Nov,2,2,1,5,Returning_Visitor,False,False
7.0,315.4202,2.0,30.721191,33.50265,1863.1514,0.024173815,0.03356485,16.98014,0.0,Aug,3,2,3,13,Returning_Visitor,True,False
12.0,1439.41,4.0,56.221348,30.193853,1989.6445,0.037871026,0.06188766,9.574432,1.0,May,2,2,1,4,Returning_Visitor,True,False
7.0,144.01945,0.0,0.0,14.0,255.57292,0.0,0.018025832,28.89181,0.0,Sep,2,4,6,10,Returning_Visitor,False,True
12.0,2706.4075,2.0,40.022125,55.195698,2186.6987,0.0014796535,0.021825515,4.4086313,0.0,Mar,2,2,3,1,Returning_Visitor,False,True
5.0,348.2983,3.0,55.714275,18.0,659.3906,0.0081701875,0.042447608,0.0,0.0,May,2,5,1,1,Returning_Visitor,False,False
0.0,0.0,1.0,0.0,34.257862,720.4725,0.0,0.0050252685,0.0,0.0,Feb,1,1,1,1,Returning_Visitor,False,False
10.0,566.77954,9.628432,784.1279,66.60592,3410.102,0.012110775,0.029813642,0.0,0.0,Aug,3,2,7,2,Returning_Visitor,False,False
5.0,135.03812,0.0,0.0,64.02915,3215.9966,0.0040043863,0.015384615,0.0,0.0,Mar,2,2,4,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,139.88835,0.0,0.05,51.741875,0.0,Dec,2,2,9,1,Returning_Visitor,False,True
4.0,425.6742,3.0,196.27579,56.0,3146.0635,0.0012304791,0.009545551,15.977448,0.0,Nov,2,2,3,6,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,14.0,182.32457,0.033111602,0.05,0.0,0.0,Sep,2,5,2,3,Returning_Visitor,False,False
7.0,116.10348,0.0,0.0,134.12653,4105.679,0.0,0.011111111,34.46569,0.0,Dec,2,2,1,2,Returning_Visitor,True,True
6.0,64.08731,3.0,61.34779,17.0,678.95624,0.0,0.016048063,0.0,0.0,Nov,2,4,1,8,New_Visitor,True,False
0.0,0.0,0.0,0.0,18.0,654.94946,0.0,0.016666668,53.440395,0.0,May,2,4,2,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,Dec,1,1,4,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,3,2,2,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,66.88374,788.4367,0.0,0.02,0.0,0.8,May,3,2,1,4,Returning_Visitor,False,False
4.0,122.81176,3.0,318.3405,89.61462,4391.1953,0.007420278,0.016666668,0.0,0.0,June,1,1,1,2,Returning_Visitor,True,False
2.0,159.12071,0.0,0.0,14.0,325.65216,0.0,0.0050317026,0.0,0.0,Sep,2,10,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.583703,98.02422,0.0,0.06666667,0.0,0.0,Mar,3,2,4,3,Returning_Visitor,True,False
10.0,141.42455,2.0,61.095074,71.451324,1623.5426,0.016666668,0.024515955,17.500393,0.4,May,3,2,1,13,Returning_Visitor,False,False
