Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,3398.75,24.0,0.0,705.0,63973.523,0.2,0.0,0.0,0.0,June,7,4,4,1,New_Visitor,False,False
0.0,0.0,24.0,0.0,0.0,63973.523,0.0,0.2,361.76373,0.0,Nov,7,7,4,9,Returning_Visitor,True,False
0.0,0.0,24.0,0.0,0.0,63973.523,0.0,0.0,361.76373,1.0,Mar,8,5,3,5,New_Visitor,True,True
27.0,3398.75,0.0,0.0,0.0,63973.523,0.0,0.2,361.76373,1.0,May,3,10,2,5,Returning_Visitor,False,True
0.0,0.0,24.0,2549.375,0.0,0.0,0.0,0.0,361.76373,1.0,Sep,3,5,3,4,New_Visitor,True,True
0.0,3398.75,24.0,2549.375,705.0,63973.523,0.0,0.2,361.76373,1.0,Feb,2,12,4,4,New_Visitor,True,True
0.0,0.0,24.0,2549.375,0.0,0.0,0.2,0.2,361.76373,0.0,May,6,6,2,4,New_Visitor,True,False
27.0,0.0,0.0,0.0,705.0,63973.523,0.0,0.0,361.76373,1.0,Mar,1,12,1,11,New_Visitor,True,False
27.0,3398.75,24.0,0.0,705.0,0.0,0.2,0.2,361.76373,1.0,Sep,1,3,8,6,New_Visitor,False,True
0.0,0.0,24.0,0.0,0.0,63973.523,0.2,0.2,361.76373,0.0,Mar,4,5,3,1,Other,False,True
27.0,0.0,0.0,2549.375,705.0,63973.523,0.2,0.0,0.0,1.0,Nov,4,12,1,5,Other,True,False
0.0,3398.75,0.0,2549.375,0.0,0.0,0.0,0.0,0.0,0.0,Oct,4,2,2,1,New_Visitor,True,False
27.0,3398.75,24.0,0.0,0.0,63973.523,0.2,0.0,361.76373,0.0,Feb,8,6,3,4,Returning_Visitor,False,False
0.0,3398.75,24.0,2549.375,0.0,0.0,0.2,0.2,0.0,0.0,Mar,1,12,6,7,Returning_Visitor,False,True
27.0,0.0,24.0,2549.375,0.0,63973.523,0.0,0.2,361.76373,0.0,Dec,6,2,2,2,Returning_Visitor,False,False
27.0,3398.75,0.0,2549.375,0.0,0.0,0.2,0.0,0.0,1.0,June,8,6,8,1,Other,False,False
27.0,0.0,24.0,2549.375,705.0,63973.523,0.2,0.2,361.76373,1.0,Feb,6,6,4,1,Other,False,True
27.0,3398.75,24.0,2549.375,705.0,0.0,0.2,0.0,361.76373,0.0,May,2,10,2,11,New_Visitor,True,True
27.0,0.0,0.0,2549.375,705.0,0.0,0.0,0.2,0.0,0.0,Oct,6,8,6,6,New_Visitor,False,False
0.0,3398.75,0.0,2549.375,705.0,0.0,0.2,0.2,0.0,0.0,May,3,1,8,14,Returning_Visitor,False,True
0.0,0.0,24.0,2549.375,0.0,0.0,0.2,0.0,361.76373,1.0,Oct,1,6,7,1,Other,False,False
0.0,0.0,0.0,0.0,705.0,0.0,0.2,0.2,361.76373,0.0,Sep,3,10,3,4,New_Visitor,False,True
0.0,0.0,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,0.0,May,1,6,4,3,Other,True,False
27.0,0.0,0.0,2549.375,705.0,0.0,0.0,0.2,361.76373,1.0,Sep,2,5,8,11,Other,True,True
0.0,3398.75,24.0,2549.375,705.0,0.0,0.2,0.2,0.0,1.0,Sep,2,5,4,20,New_Visitor,True,False
27.0,0.0,0.0,0.0,705.0,0.0,0.0,0.2,0.0,1.0,May,1,13,4,18,Returning_Visitor,True,True
27.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,361.76373,1.0,May,2,1,4,2,Returning_Visitor,True,True
27.0,0.0,0.0,2549.375,705.0,0.0,0.2,0.2,361.76373,0.0,May,6,8,1,7,New_Visitor,True,False
0.0,3398.75,0.0,2549.375,0.0,0.0,0.2,0.2,361.76373,1.0,Aug,3,6,5,10,Other,True,False
0.0,3398.75,24.0,2549.375,0.0,63973.523,0.2,0.0,0.0,0.0,Mar,8,6,4,5,Other,False,True
0.0,0.0,0.0,0.0,705.0,0.0,0.0,0.2,0.0,1.0,Dec,6,7,4,20,Returning_Visitor,True,True
27.0,3398.75,0.0,0.0,705.0,0.0,0.2,0.0,361.76373,1.0,Oct,6,2,8,10,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.76373,1.0,Mar,7,6,4,3,New_Visitor,False,True
0.0,0.0,24.0,2549.375,0.0,63973.523,0.2,0.0,0.0,0.0,May,2,6,4,18,New_Visitor,False,True
27.0,3398.75,0.0,0.0,705.0,0.0,0.2,0.0,361.76373,1.0,Nov,1,6,3,4,Returning_Visitor,False,False
0.0,0.0,24.0,2549.375,705.0,0.0,0.2,0.0,0.0,0.0,Mar,3,7,4,4,Returning_Visitor,False,False
27.0,3398.75,0.0,0.0,705.0,63973.523,0.0,0.2,361.76373,1.0,Aug,2,7,4,4,Returning_Visitor,False,False
0.0,3398.75,0.0,2549.375,705.0,63973.523,0.0,0.0,0.0,1.0,May,3,7,5,9,New_Visitor,True,True
27.0,3398.75,24.0,0.0,0.0,0.0,0.0,0.0,361.76373,1.0,May,7,6,3,5,Other,True,False
27.0,3398.75,24.0,0.0,705.0,0.0,0.2,0.0,0.0,1.0,Mar,1,6,2,4,Other,False,False
0.0,3398.75,0.0,0.0,0.0,63973.523,0.2,0.0,361.76373,0.0,Dec,6,12,2,4,Other,True,False
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.76373,0.0,May,3,3,1,6,Other,False,True
27.0,0.0,0.0,0.0,705.0,63973.523,0.2,0.2,0.0,1.0,Sep,6,8,3,7,New_Visitor,False,False
27.0,3398.75,24.0,2549.375,0.0,0.0,0.0,0.0,0.0,1.0,Oct,1,4,2,5,Returning_Visitor,True,False
0.0,0.0,24.0,0.0,705.0,0.0,0.2,0.0,0.0,1.0,Oct,6,6,4,11,New_Visitor,False,False
27.0,3398.75,0.0,2549.375,0.0,0.0,0.0,0.0,361.76373,0.0,Dec,6,8,9,4,Other,True,True
27.0,3398.75,24.0,2549.375,0.0,0.0,0.0,0.2,0.0,0.0,May,2,3,2,1,New_Visitor,False,True
27.0,0.0,24.0,0.0,0.0,63973.523,0.2,0.0,0.0,0.0,May,1,10,7,1,Returning_Visitor,True,False
27.0,0.0,24.0,2549.375,705.0,0.0,0.2,0.0,0.0,0.0,Mar,3,8,4,11,New_Visitor,False,False
27.0,3398.75,24.0,2549.375,0.0,0.0,0.0,0.0,0.0,0.0,Sep,8,1,6,9,New_Visitor,True,True
0.0,0.0,24.0,2549.375,705.0,0.0,0.0,0.2,361.76373,0.0,May,1,13,8,4,Returning_Visitor,False,True
27.0,3398.75,24.0,2549.375,705.0,0.0,0.2,0.2,0.0,0.0,Feb,6,6,5,20,New_Visitor,False,False
27.0,3398.75,24.0,2549.375,0.0,0.0,0.0,0.0,0.0,0.0,Feb,7,5,5,3,Returning_Visitor,False,True
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,361.76373,1.0,Jul,6,2,7,1,Returning_Visitor,False,False
27.0,0.0,0.0,2549.375,0.0,0.0,0.0,0.2,361.76373,1.0,Sep,1,12,6,20,New_Visitor,True,False
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,361.76373,1.0,May,7,8,9,11,Returning_Visitor,True,False
0.0,0.0,0.0,2549.375,0.0,63973.523,0.2,0.0,0.0,0.0,Sep,2,5,6,11,Other,True,False
27.0,3398.75,24.0,0.0,705.0,0.0,0.0,0.2,0.0,0.0,Nov,2,3,4,11,Other,False,True
0.0,3398.75,0.0,2549.375,705.0,63973.523,0.2,0.2,0.0,1.0,Oct,8,12,8,4,Other,False,True
0.0,3398.75,24.0,0.0,705.0,0.0,0.0,0.0,0.0,1.0,Sep,8,8,8,18,New_Visitor,True,True
0.0,0.0,24.0,2549.375,705.0,63973.523,0.2,0.2,0.0,1.0,Dec,6,12,5,18,New_Visitor,False,True
0.0,0.0,24.0,0.0,705.0,63973.523,0.2,0.2,0.0,0.0,Sep,2,12,5,10,New_Visitor,False,True
27.0,0.0,24.0,0.0,0.0,0.0,0.2,0.0,361.76373,1.0,May,2,3,6,10,Other,False,True
0.0,0.0,0.0,0.0,705.0,0.0,0.2,0.0,361.76373,1.0,Oct,4,10,3,2,Other,False,False
0.0,3398.75,24.0,0.0,705.0,0.0,0.0,0.2,361.76373,1.0,Dec,6,2,7,5,New_Visitor,True,False
4.0,3398.75,0.0,2549.375,0.0,0.0,0.2,0.0,0.0,1.0,Sep,2,6,2,18,Returning_Visitor,True,False
0.0,3398.75,0.0,0.0,705.0,0.0,0.0,0.0,0.0,1.0,Oct,7,6,1,1,Returning_Visitor,True,False
27.0,0.0,24.0,2549.375,0.0,63973.523,0.2,0.0,0.0,1.0,Feb,5,8,9,1,New_Visitor,False,True
27.0,0.0,0.0,0.0,705.0,63973.523,0.2,0.2,361.76373,0.0,Mar,7,8,3,1,New_Visitor,False,True
0.0,3398.75,0.0,0.0,0.0,63973.523,0.0,0.2,361.76373,1.0,Sep,1,3,5,1,New_Visitor,True,False
27.0,0.0,24.0,2549.375,705.0,0.0,0.2,0.0,0.0,1.0,Aug,4,12,3,4,New_Visitor,True,True
0.0,3398.75,24.0,2549.375,0.0,0.0,0.0,0.2,361.76373,1.0,May,7,8,4,5,New_Visitor,True,False
0.0,3398.75,0.0,2549.375,0.0,63973.523,0.2,0.0,361.76373,0.0,Aug,8,13,4,1,New_Visitor,True,False
0.0,0.0,0.0,2549.375,0.0,0.0,0.0,0.2,361.76373,0.0,Mar,2,6,5,5,Other,True,True
0.0,0.0,24.0,2549.375,0.0,63973.523,0.2,0.2,361.76373,0.0,Sep,1,1,5,20,Returning_Visitor,False,False
27.0,0.0,0.0,0.0,705.0,63973.523,0.0,0.2,0.0,0.0,May,7,13,6,6,New_Visitor,True,True
0.0,3398.75,0.0,0.0,0.0,63973.523,0.0,0.0,361.76373,0.0,Sep,1,7,4,1,New_Visitor,False,False
27.0,3398.75,24.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Feb,1,7,6,1,New_Visitor,False,False
27.0,3398.75,24.0,2549.375,0.0,63973.523,0.0,0.2,0.0,1.0,Aug,6,1,2,10,Returning_Visitor,False,True
0.0,0.0,24.0,2549.375,705.0,0.0,0.2,0.0,361.76373,0.0,Aug,6,13,1,1,New_Visitor,True,True
27.0,0.0,24.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Mar,2,1,9,7,Returning_Visitor,True,True
27.0,3398.75,24.0,2549.375,0.0,63973.523,0.2,0.2,0.0,1.0,Aug,3,12,4,2,Returning_Visitor,False,True
0.0,3398.75,24.0,0.0,0.0,0.0,0.0,0.0,361.76373,0.0,Mar,2,12,3,1,New_Visitor,True,True
0.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,0.0,Sep,4,10,8,15,Other,False,False
27.0,0.0,24.0,2549.375,0.0,63973.523,0.2,0.2,361.76373,0.0,Mar,3,1,6,18,Other,False,True
0.0,0.0,0.0,2549.375,0.0,0.0,0.0,0.0,0.0,1.0,Feb,4,6,3,13,New_Visitor,False,True
0.0,3398.75,0.0,0.0,0.0,63973.523,0.0,0.0,361.76373,0.0,Oct,1,3,4,6,New_Visitor,False,False
0.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,Mar,1,12,8,4,New_Visitor,True,False
27.0,3398.75,24.0,0.0,705.0,63973.523,0.0,0.2,361.76373,0.0,Aug,4,12,6,4,New_Visitor,True,True
0.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.2,361.76373,0.0,Mar,8,2,3,4,New_Visitor,True,False
0.0,0.0,24.0,2549.375,705.0,0.0,0.0,0.2,361.76373,1.0,Oct,8,5,8,5,Other,False,True
27.0,0.0,24.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,Mar,8,4,4,12,Other,False,True
27.0,3398.75,0.0,2549.375,0.0,63973.523,0.0,0.0,361.76373,0.0,Sep,2,6,6,11,Other,False,True
0.0,0.0,24.0,2549.375,705.0,63973.523,0.0,0.0,361.76373,1.0,Aug,3,8,3,13,Returning_Visitor,True,False
0.0,0.0,24.0,0.0,705.0,0.0,0.0,0.2,0.0,1.0,Mar,2,13,5,20,New_Visitor,True,False
0.0,3398.75,24.0,2549.375,705.0,63973.523,0.0,0.0,0.0,1.0,Sep,2,10,1,1,New_Visitor,False,False
0.0,3398.75,0.0,0.0,0.0,63973.523,0.0,0.0,361.76373,0.0,May,7,6,3,9,Returning_Visitor,True,True
0.0,3398.75,0.0,2549.375,0.0,0.0,0.2,0.0,361.76373,0.0,Feb,2,5,3,1,Other,False,True
27.0,3398.75,24.0,0.0,705.0,0.0,0.2,0.2,361.76373,1.0,Nov,4,6,4,18,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,705.0,0.0,0.0,0.2,0.0,0.0,Mar,1,1,6,2,Other,True,False
27.0,0.0,0.0,0.0,705.0,0.0,0.2,0.0,361.76373,0.0,Oct,7,8,8,12,Returning_Visitor,True,True
27.0,3398.75,24.0,2549.375,705.0,0.0,0.0,0.2,0.0,0.0,Mar,3,6,9,4,Returning_Visitor,True,True
0.0,3398.75,24.0,2549.375,705.0,0.0,0.0,0.2,361.76373,0.0,Nov,8,5,9,4,Returning_Visitor,False,False
27.0,0.0,24.0,2549.375,705.0,0.0,0.0,0.2,0.0,0.0,Mar,3,2,3,5,New_Visitor,False,False
0.0,0.0,0.0,2549.375,705.0,63973.523,0.0,0.0,361.76373,1.0,Sep,6,2,3,1,New_Visitor,False,False
0.0,3398.75,24.0,0.0,0.0,0.0,0.2,0.2,361.76373,0.0,May,6,3,2,10,New_Visitor,False,True
0.0,3398.75,24.0,0.0,705.0,63973.523,0.0,0.0,0.0,0.0,Feb,1,1,8,9,New_Visitor,False,True
0.0,0.0,24.0,2549.375,705.0,63973.523,0.2,0.2,361.76373,0.0,May,2,2,7,18,New_Visitor,False,False
27.0,3398.75,24.0,2549.375,0.0,63973.523,0.0,0.0,361.76373,0.0,Aug,4,3,6,1,Returning_Visitor,False,True
0.0,0.0,0.0,2549.375,0.0,63973.523,0.2,0.2,0.0,1.0,Feb,6,8,1,4,Other,False,True
27.0,0.0,0.0,2549.375,0.0,63973.523,0.0,0.0,361.76373,0.0,Aug,7,12,8,5,Other,True,True
27.0,3398.75,0.0,2549.375,705.0,63973.523,0.0,0.2,0.0,1.0,Sep,7,2,4,1,Other,True,False
27.0,0.0,0.0,0.0,705.0,63973.523,0.2,0.2,0.0,0.0,Feb,4,12,8,1,New_Visitor,False,False
27.0,0.0,0.0,2549.375,0.0,0.0,0.0,0.2,361.76373,0.0,Mar,3,2,1,2,Returning_Visitor,False,True
0.0,3398.75,0.0,0.0,0.0,63973.523,0.2,0.0,361.76373,1.0,Aug,2,8,3,7,Other,False,True
0.0,3398.75,0.0,2549.375,0.0,0.0,0.0,0.0,0.0,1.0,Sep,2,6,6,4,Other,True,True
27.0,0.0,0.0,2549.375,705.0,63973.523,0.2,0.0,0.0,0.0,Mar,3,6,3,8,New_Visitor,False,True
0.0,0.0,0.0,0.0,705.0,0.0,0.0,0.2,361.76373,1.0,May,8,1,3,7,New_Visitor,False,True
0.0,0.0,24.0,2549.375,705.0,0.0,0.0,0.2,361.76373,0.0,May,8,2,5,6,Other,True,False
27.0,3398.75,0.0,0.0,705.0,63973.523,0.0,0.0,361.76373,0.0,Mar,6,3,8,5,Returning_Visitor,True,True
0.0,3398.75,0.0,0.0,705.0,63973.523,0.0,0.2,0.0,0.0,Feb,3,6,2,7,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,705.0,63973.523,0.0,0.2,361.76373,0.0,Feb,3,5,9,4,Returning_Visitor,False,False
0.0,3398.75,0.0,2549.375,0.0,0.0,0.0,0.2,361.76373,1.0,May,2,6,4,10,New_Visitor,False,False
0.0,0.0,0.0,2549.375,705.0,63973.523,0.0,0.2,361.76373,1.0,Mar,1,6,4,20,Other,True,False
27.0,0.0,24.0,2549.375,705.0,63973.523,0.2,0.2,0.0,0.0,Oct,1,2,1,2,New_Visitor,False,False
0.0,3398.75,0.0,2549.375,705.0,63973.523,0.0,0.0,0.0,1.0,May,3,8,5,11,New_Visitor,True,True
0.0,0.0,24.0,2549.375,705.0,0.0,0.0,0.0,361.76373,0.0,Mar,2,6,2,18,Returning_Visitor,False,False
27.0,3398.75,24.0,2549.375,705.0,63973.523,0.0,0.0,361.76373,1.0,Feb,1,13,2,1,Other,True,False
27.0,0.0,0.0,0.0,0.0,63973.523,0.2,0.2,0.0,1.0,Oct,1,12,6,20,Returning_Visitor,True,True
0.0,3398.75,24.0,0.0,705.0,63973.523,0.0,0.2,0.0,1.0,May,4,2,5,3,Returning_Visitor,True,True
0.0,0.0,24.0,0.0,705.0,63973.523,0.0,0.2,361.76373,1.0,Feb,4,3,2,5,New_Visitor,False,True
0.0,0.0,24.0,2549.375,0.0,0.0,0.0,0.0,361.76373,1.0,Aug,3,8,7,5,Other,False,True
0.0,0.0,0.0,0.0,705.0,0.0,0.0,0.0,361.76373,1.0,May,5,7,5,2,Returning_Visitor,True,False
27.0,0.0,24.0,0.0,0.0,63973.523,0.2,0.2,0.0,1.0,Mar,4,6,5,5,Returning_Visitor,True,False
27.0,0.0,24.0,2549.375,0.0,63973.523,0.2,0.2,0.0,0.0,Feb,1,8,5,10,New_Visitor,True,False
27.0,0.0,24.0,0.0,0.0,0.0,0.2,0.2,361.76373,1.0,May,3,1,1,5,Other,False,False
27.0,0.0,24.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,Feb,1,2,8,5,Other,False,False
27.0,3398.75,0.0,0.0,0.0,63973.523,0.0,0.0,0.0,1.0,Dec,7,8,8,10,Other,False,False
27.0,0.0,24.0,2549.375,0.0,0.0,0.0,0.2,0.0,1.0,May,5,2,4,19,New_Visitor,True,True
27.0,0.0,0.0,2549.375,705.0,0.0,0.0,0.0,0.0,1.0,Sep,2,2,1,3,Returning_Visitor,False,False
0.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,361.76373,0.0,Aug,1,13,5,4,New_Visitor,True,True
0.0,0.0,24.0,2549.375,0.0,0.0,0.2,0.0,361.76373,1.0,Mar,3,13,5,7,New_Visitor,False,True
27.0,3398.75,0.0,2549.375,0.0,0.0,0.2,0.2,0.0,0.0,Nov,2,6,8,7,Other,False,True
0.0,3398.75,0.0,0.0,705.0,0.0,0.0,0.0,361.76373,0.0,Nov,3,8,4,4,Other,True,True
0.0,3398.75,24.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,May,8,3,4,20,New_Visitor,False,False
27.0,3398.75,0.0,0.0,705.0,63973.523,0.0,0.2,0.0,1.0,Sep,2,6,9,5,Other,False,True
27.0,0.0,24.0,0.0,0.0,0.0,0.2,0.0,361.76373,0.0,Mar,4,12,3,7,New_Visitor,False,True
27.0,3398.75,24.0,2549.375,705.0,0.0,0.0,0.0,0.0,0.0,May,4,12,2,10,New_Visitor,True,False
0.0,3398.75,24.0,0.0,0.0,0.0,0.0,0.2,361.76373,0.0,Sep,6,13,2,5,New_Visitor,True,False
27.0,3398.75,0.0,0.0,705.0,0.0,0.2,0.0,0.0,0.0,Mar,4,1,9,9,New_Visitor,True,False
0.0,3398.75,0.0,2549.375,705.0,63973.523,0.0,0.0,0.0,1.0,Aug,4,10,9,14,New_Visitor,True,False
27.0,0.0,0.0,2549.375,0.0,0.0,0.2,0.2,361.76373,1.0,Sep,1,2,4,5,New_Visitor,False,False
27.0,0.0,24.0,0.0,705.0,63973.523,0.2,0.0,361.76373,0.0,Mar,6,7,4,4,Returning_Visitor,True,False
0.0,0.0,24.0,2549.375,0.0,63973.523,0.2,0.2,361.76373,1.0,Sep,8,12,5,5,Other,False,False
0.0,0.0,0.0,2549.375,705.0,63973.523,0.2,0.0,361.76373,0.0,Jul,1,2,1,4,Returning_Visitor,False,True
27.0,3398.75,24.0,0.0,0.0,0.0,0.0,0.0,361.76373,0.0,Feb,4,10,6,5,New_Visitor,False,True
0.0,3398.75,24.0,0.0,0.0,0.0,0.2,0.0,361.76373,1.0,May,2,7,3,9,Other,True,False
27.0,0.0,24.0,2549.375,0.0,0.0,0.2,0.0,0.0,0.0,June,4,12,2,4,Returning_Visitor,True,False
