CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
645.2015,Germany,Male,40.0,6.0,156206.7,1.0,1,1,196677.98,0
783.3495,France,Male,34.0,5.0,176173.12,2.0,1,0,12196.252,0
767.72925,France,Male,24.0,6.0,0.0,2.0,1,0,198831.06,0
572.19495,Germany,Male,51.0,8.0,155291.78,1.0,1,0,109947.54,1
615.6725,France,Female,21.0,9.0,0.0,2.0,1,1,52727.707,0
717.0518,Spain,Male,34.0,4.0,138652.38,1.0,0,1,108659.03,0
528.0068,France,Male,38.0,5.0,0.0,1.0,1,0,105313.484,0
652.7204,France,Female,27.0,9.0,103239.89,1.0,0,0,134790.95,0
588.59155,France,Female,39.0,6.0,0.0,1.0,0,0,86496.85,0
687.91064,France,Female,31.0,0.0,148728.0,1.0,1,0,102596.44,0
592.0769,Germany,Female,48.0,10.0,154664.27,1.0,1,0,90746.59,1
751.96466,France,Male,48.0,10.0,0.0,2.0,0,1,186040.47,0
563.3689,Germany,Female,32.0,1.0,144821.89,1.0,1,0,68925.0,0
706.606,France,Female,35.073406,2.0,94722.83,1.0,1,0,185935.16,1
782.0439,France,Male,49.809868,4.0,90441.29,1.0,1,1,30174.734,0
667.0,France,Female,34.0,8.0,112837.75,1.0,1,1,131053.03,0
729.6383,France,Female,42.0,7.0,0.0,2.0,1,0,76198.414,0
670.5271,France,Female,34.0,7.0,0.0,1.0,0,1,116265.51,0
777.7213,France,Female,29.0,3.0,125987.266,2.0,1,0,137598.52,0
662.7806,France,Female,34.0,7.0,0.0,1.0,1,1,38099.254,0
764.33417,France,Female,46.0,8.0,130905.01,2.0,0,1,93592.836,0
727.23987,France,Female,37.0,0.0,0.0,2.0,1,1,603.42065,0
492.75378,France,Female,37.0,3.0,0.0,2.0,1,1,113421.08,0
610.9036,France,Female,33.0,8.0,0.0,2.0,1,1,144710.48,0
706.16003,Spain,Female,23.0,5.0,0.0,2.0,1,0,139405.42,0
747.9343,France,Male,32.83932,3.0,87922.4,2.0,1,1,125827.836,0
615.7808,Spain,Female,31.0,6.0,120935.375,2.0,1,0,165861.38,0
673.26447,France,Female,44.55518,0.0,0.0,2.0,0,1,109739.05,0
511.8349,Germany,Male,51.0,0.0,121380.414,1.0,0,1,94576.98,1
603.43933,France,Female,42.0,7.0,0.0,2.0,0,0,22423.016,1
711.94794,Germany,Female,37.0,1.0,119515.39,2.0,1,1,122887.45,0
520.5295,France,Male,58.710514,7.0,0.0,2.0,1,0,105632.234,0
789.28394,Germany,Female,41.306084,2.0,124042.68,1.0,1,0,119499.03,0
832.92096,France,Male,31.0,3.0,0.0,1.0,1,1,192063.39,0
682.9438,France,Male,34.0,2.0,107554.914,1.0,1,0,93871.12,0
589.1163,Germany,Female,45.0,6.0,138600.12,2.0,1,0,179250.62,0
732.0153,France,Female,32.0,7.0,0.0,1.0,0,1,98185.56,0
580.26373,Germany,Male,34.0,2.0,96989.74,2.0,1,1,140382.67,0
655.0,France,Male,29.0,6.0,87348.4,1.0,0,1,165464.64,0
678.33484,France,Male,28.0,3.0,0.0,2.0,0,0,107954.266,0
642.28613,Germany,Female,55.72026,2.0,143224.53,2.0,0,0,83245.734,1
519.4413,France,Female,59.264954,3.0,0.0,2.0,1,1,107576.52,0
610.19165,France,Male,63.91782,1.0,0.0,1.0,1,1,49802.5,0
700.84436,France,Male,44.0,0.0,0.0,1.0,1,1,109358.6,0
422.45032,France,Male,36.0,9.0,0.0,2.0,1,0,116756.05,0
573.24603,France,Male,23.0,6.0,167128.86,1.0,1,1,186828.0,0
583.692,Spain,Female,32.0,4.0,151607.64,1.0,1,0,111635.76,0
630.52155,Spain,Male,59.0,9.0,81965.195,4.0,0,0,80086.43,1
718.7151,Germany,Male,47.0,4.0,84151.695,3.0,1,0,78738.76,1
696.744,France,Male,41.0,1.0,72793.94,1.0,0,0,125849.98,0
747.89124,France,Male,39.0,2.0,86576.6,2.0,1,0,182606.89,0
658.0319,France,Female,48.0,1.0,112752.234,1.0,1,0,30557.604,1
705.0,Germany,Female,41.0,10.0,113618.33,3.0,1,0,130389.77,1
529.0841,Germany,Male,33.0,5.0,114764.9,2.0,1,1,55989.25,0
520.1104,France,Female,38.089756,5.0,104136.22,1.0,0,1,8139.646,0
562.4867,Spain,Male,23.0,7.0,0.0,2.0,0,0,177278.69,0
782.16266,France,Male,24.0,6.0,149981.1,1.0,1,1,108688.76,0
665.7126,Germany,Female,41.0,1.0,147849.88,1.0,1,1,75569.75,0
528.2406,Germany,Female,61.75289,1.0,123012.52,3.0,1,1,31885.371,1
544.9787,Germany,Male,56.0,6.0,130391.14,1.0,0,1,182345.05,1
726.4129,Spain,Male,40.0,1.0,130268.69,1.0,1,1,48955.145,0
605.1131,France,Male,37.0,9.0,0.0,2.0,0,1,37288.297,0
584.0,Germany,Male,56.0595,6.0,76822.414,2.0,0,1,156920.75,0
612.14746,France,Male,44.0,5.0,0.0,1.0,1,1,107547.445,1
683.4044,France,Female,35.0,2.4854078,135223.73,1.0,0,0,89873.23,0
537.1515,France,Female,34.51236,4.0,183945.89,1.0,1,1,41581.08,0
655.7681,Spain,Female,41.0,2.0,0.0,1.0,1,0,151644.44,1
548.05,France,Male,28.0,5.0,0.0,2.0,1,1,169791.0,0
802.0006,France,Male,33.0,4.0,118003.35,2.0,0,0,136769.62,0
532.084,Germany,Male,32.0,1.0,0.0,1.0,1,1,49732.836,0
588.30597,Germany,Female,52.0,10.0,142502.36,1.0,1,0,16570.443,1
671.9004,Germany,Male,64.385765,3.0,72329.4,1.0,1,1,145642.98,0
591.41,France,Female,55.410107,4.0,88205.516,1.0,0,0,178049.38,1
524.22565,France,Male,32.0,5.0,85743.55,1.0,0,1,104738.08,0
734.1827,Spain,Female,34.0,4.0,183020.97,1.0,1,1,103683.46,0
697.89355,Spain,Male,41.0,9.0,102210.03,1.0,0,0,130473.93,1
626.2465,France,Female,34.49451,6.0,0.0,2.0,1,1,10854.622,0
599.0955,France,Male,38.0,6.0,158820.34,1.0,0,0,29625.354,0
731.5302,France,Male,34.0,5.0,77100.24,1.0,1,1,96319.42,0
445.50027,Germany,Male,46.339287,4.0,131321.69,1.0,1,1,88537.33,0
624.0168,Germany,Female,45.0,4.0,110650.555,1.0,1,0,7896.0312,1
792.73145,Spain,Male,41.0,4.0,0.0,3.5338933,1,0,189367.1,1
648.61035,France,Male,30.0,1.0,151250.16,1.0,1,1,122326.51,1
641.57745,Spain,Male,34.0,9.0,94270.195,1.0,0,1,996.4555,0
606.83014,Spain,Male,26.0,2.0,0.0,2.0,1,0,185407.4,0
724.87915,France,Male,31.0,6.0,0.0,2.0,1,0,177228.14,0
850.0,France,Female,37.0,7.0,35794.12,1.0,0,1,58587.953,1
739.255,France,Female,39.0,8.0,0.0,1.0,0,1,82594.89,0
610.1845,France,Female,35.0,7.0,125013.95,1.0,1,1,173165.62,0
691.4692,France,Male,57.0,8.0,120140.45,1.0,0,1,76494.195,1
614.1201,Spain,Female,33.0,8.0,0.0,2.0,0,1,117802.93,0
649.3615,France,Male,29.0,10.0,0.0,2.0,0,1,43129.45,0
747.11066,Spain,Male,42.0,8.0,0.0,2.0,0,1,122647.56,0
687.0,Germany,Male,38.0,2.0,145903.6,1.0,1,0,135124.42,0
494.71063,Germany,Male,43.0,4.0,88746.234,2.0,1,0,115587.85,0
529.9991,France,Male,66.84025,2.0,130990.16,1.0,1,1,192843.72,0
575.85016,France,Female,46.0,8.0,0.0,2.0,0,1,61895.69,0
619.8606,France,Male,40.0,4.0,0.0,2.0,0,1,60867.18,0
602.31116,Germany,Male,37.0,2.0,95209.68,2.0,1,1,120741.45,0
643.60925,Germany,Female,30.0,8.0,103310.32,1.0,0,1,13182.984,0
597.57104,Spain,Male,29.0,8.0,144813.08,1.0,1,1,35214.44,0
604.11884,France,Female,33.0,6.0,0.0,2.0,1,0,63389.133,0
504.4914,France,Male,38.0,5.2279525,132800.83,2.0,0,1,93855.72,0
719.33014,Germany,Male,29.0,8.0,0.0,2.0,1,1,141808.61,0
713.18475,Spain,Male,34.0,6.0,115369.77,1.0,0,0,135283.27,0
542.3222,Germany,Male,28.0,8.0,120378.1,2.0,1,0,131145.77,0
626.34045,Spain,Male,41.0,1.0,0.0,1.0,1,0,47432.926,0
692.76776,France,Female,39.0,7.0,95893.27,2.0,0,1,195531.7,0
781.6767,France,Male,46.0,6.0,98626.23,1.0,1,0,159314.17,0
707.0314,Spain,Male,43.72885,8.0,0.0,2.0,1,0,190854.38,0
706.8603,France,Male,25.592115,5.0,0.0,2.0,0,1,78233.92,0
655.0,France,Male,33.0,7.0,0.0,1.0,1,1,20606.814,0
678.9989,France,Male,41.0,4.0,143774.62,1.0,0,0,123289.48,0
618.9813,France,Male,27.0,2.0,0.0,1.0,0,1,113273.51,0
549.7733,France,Female,42.0,1.2308971,0.0,2.0,0,0,102733.555,0
730.61334,Spain,Male,21.257048,9.0,0.0,2.0,1,1,41372.82,0
653.931,Spain,Male,57.690517,1.0,0.0,2.0,1,0,133221.73,0
537.8497,France,Female,28.0,9.0,83591.28,1.0,1,0,92772.11,0
580.84863,Spain,Male,25.0,9.0,150666.98,2.0,1,1,120339.41,0
742.5594,Germany,Female,46.0,8.0,153122.5,1.0,1,1,166688.17,0
769.6711,France,Male,29.0,6.978635,0.0,2.0,1,0,97328.62,0
542.4878,Germany,Female,44.885338,2.0,90568.93,1.0,1,1,194116.45,1
663.0205,France,Male,34.0,9.0,132649.8,1.0,1,1,150100.9,0
826.3938,France,Female,25.0,4.0,117935.47,1.0,0,1,89304.52,0
520.275,France,Male,41.0,3.0,0.0,2.0,1,1,118824.51,0
636.1454,Germany,Male,49.36938,10.0,97644.7,1.0,0,1,17730.654,1
540.49817,France,Male,23.090347,8.0,0.0,2.0,1,0,153825.23,0
794.29095,Spain,Male,40.0,3.0,0.0,1.0,0,0,156321.23,0
491.61264,Spain,Male,47.359528,1.0,90023.78,2.0,1,0,162759.52,0
850.0,France,Female,39.0,1.0,125459.445,2.0,1,1,109356.836,0
773.99115,France,Male,33.0,1.0,183342.03,1.0,0,0,166681.88,0
726.9383,France,Male,21.0,9.0,0.0,2.0,1,1,99080.16,0
672.82117,Germany,Female,40.0,9.0,82148.64,2.0,0,0,145380.75,0
760.0862,France,Male,43.0,9.0,95332.516,1.0,1,1,68102.914,0
