year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2012,2,10,1,10.0,-21.0,-7.0,1032.0,NW,144.66794,0.0,0.0
2013,4,12,11,14.0,-28.0,7.0,1026.0,NW,45.967655,0.0,0.0
2012,7,7,4,70.0,21.0,19.0,1001.0,NE,2.0681882,0.0,13.7896
2013,9,26,9,27.0,6.0,10.0,1019.0,cv,1.78,0.0,0.0
2012,6,11,22,14.0,-4.0,24.0,994.0599,NE,4.92,0.0,0.0
2013,9,10,16,4.36998,-2.0,23.0,1013.0,NE,62.996197,0.0,0.0
2010,10,30,3,232.15309,3.0,4.0,1025.0,NW,4.305463,0.0,0.0
2010,9,17,21,23.0,11.0,18.0,1018.0,NE,22.545305,0.0,31.90303
2014,8,8,16,71.0,18.0,29.0,1006.0,SE,16.1,0.0,0.0
2013,4,9,12,9.0,-21.0,19.0,1018.0,NW,54.573425,0.0,0.0
2011,8,5,19,13.0,22.0,24.0,1003.0,NE,1.78,0.0,0.0
2014,7,7,11,194.37366,22.0,31.62909,1002.0,SE,69.58906,0.0,0.0
2010,4,12,5,149.0,-2.0,5.0,1011.0,NE,0.89,0.0,0.0
2012,2,6,8,23.41889,-26.0,-6.0,1032.0,NW,111.82973,0.0,0.0
2012,5,1,19,69.0,1.0,25.0,1004.0,NE,3.13,0.0,0.0
2013,5,13,6,59.0,4.0,10.0,1007.0,NW,4.02,0.0,0.0
2014,11,28,11,276.7836,2.0,10.0,1023.0,SE,4.92,0.0,0.0
2013,9,30,10,125.0,13.0,17.0,1023.0,cv,0.45,0.0,0.0
2012,3,27,18,15.0,-13.0,17.0,1012.0,NW,46.420364,0.0,0.0
2014,4,22,14,98.0,14.0,21.0,1012.0,SE,7.6,0.0,0.0
2013,7,9,11,49.0,18.0,29.0,1005.0,cv,0.89,0.0,0.0
2014,11,22,5,46.86181,-8.0,1.0,1025.0,cv,1.79,0.0,0.0
2014,2,3,18,9.0,-37.910038,2.0,1025.0,NE,1.78,0.0,0.0
2012,9,23,4,73.0,12.0,13.0,1018.0,NW,6.26,0.0,0.0
2011,6,21,19,153.87845,21.0,28.0,1002.0,SE,65.48151,0.0,0.0
2013,2,28,10,23.0,-25.0,2.0,1029.0,NW,32.435192,0.0,0.0
2013,9,26,21,42.0,18.0,24.0,1006.0,cv,1.79,0.0,0.0
2011,3,3,13,21.0,-16.0,7.0,1021.0,NW,37.096912,0.0,0.0
2014,1,31,4,50.0,-10.0,-3.0,1017.0,NW,1.78,0.0,0.0
2013,3,24,8,32.0,-13.0,-4.0,1029.0,NW,50.06892,0.0,0.0
2014,9,26,1,112.0,16.0,15.0,1008.0,cv,2.23,0.0,0.0
2012,2,14,0,47.0,-16.0,-7.0,1029.0,NE,1.78,0.0,0.0
