year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2013,3,20,9,29.0,-10.0,3.0,1021.0,NW,4.92,0.0,0.0
2014,8,3,1,10.0,17.0,24.0,1006.0,NW,4.92,0.0,0.0
2013,2,29,15,212.24263,-10.0,4.0,1022.0,SE,16.99,0.0,0.0
2012,2,15,3,332.80438,-9.0,-7.0,1021.0,NE,1.78,0.0,0.0
2012,4,17,14,104.0,7.4150267,19.0,1010.0,SE,23.686884,0.0,0.0
2010,10,20,5,148.0,5.0,6.0,1022.0,cv,0.45,0.0,0.0
2011,7,19,11,87.0,23.0,28.0,1006.0,SE,1.79,0.0,0.0
2013,2,10,3,12.0,-19.0,-3.0,1030.0,NE,16.983854,0.0,0.0
2012,5,10,4,53.0,8.0,19.0,1007.0,SE,5.37,0.0,0.0
2013,11,21,13,19.0,-20.0,14.0,1021.0,NW,33.08006,0.0,0.0
2010,9,10,7,251.69583,20.0,21.0,1008.0,NW,1.79,0.0,0.0
2012,5,2,10,95.0,6.0,20.0,1013.0,cv,1.79,0.0,0.0
2011,6,17,13,130.577,18.0,31.506798,1004.0,SE,21.90908,0.0,0.0
2010,8,2,2,114.0,21.0,23.0,1006.0,NE,1.79,0.0,0.0
2010,3,24,19,62.0,-8.0,6.0,1023.0,SE,39.994503,0.0,0.0
2014,3,4,15,17.0,-26.0,16.0,1025.0,SE,14.75,0.0,0.0
2012,11,14,2,57.0,-9.0,-3.0,1026.0,NE,1.79,0.0,0.0
2011,4,4,2,159.0,-2.0,6.0,1026.0,cv,0.89,0.0,0.0
2014,1,25,19,97.0,-17.0,-1.0,1023.0,SE,2.23,0.0,0.0
2011,5,2,1,55.0,-3.0,16.0,1014.0,NW,43.36439,0.0,0.0
2010,10,20,11,60.0,5.0,11.0,1030.0,cv,1.79,0.0,0.0
2010,7,18,0,100.0,21.0,24.0,1006.0,cv,1.78,0.0,0.0
2014,9,29,12,48.0,9.0,15.0,1021.0,cv,0.89,0.0,0.0
2011,9,12,16,67.0,16.0,28.0,1014.0,SE,4.47,0.0,0.0
2011,1,30,21,28.0,-22.0,-3.0,1033.0,NW,208.86497,0.0,0.0
2014,10,10,9,148.3766,11.0,16.0,1023.0,SE,1.79,0.0,0.0
2011,11,30,3,33.0,-9.0,1.0,1024.0,NW,33.52063,0.0,0.0
2014,2,27,16,77.0,-7.0,6.0,1025.0,NE,1.79,0.0,0.0
2011,1,14,3,8.0,-21.0,-6.8305006,1033.0,NW,62.358017,0.0,0.0
2012,11,4,5,10.0,3.0,2.0,1009.0,NW,111.26194,0.0,29.907303
2013,5,23,6,27.0,4.0,17.0,1016.0,NW,25.325895,0.0,0.0
2014,1,17,9,131.0,-14.0,-4.0,1033.0,NW,21.01,0.0,0.0
2011,9,13,13,132.0,17.0,21.0,1014.0,SE,15.186223,0.0,0.0
2010,6,29,3,216.7356,20.0,23.0,1004.0,NW,0.89,0.0,0.0
2013,10,7,2,57.0,3.0,14.0,1019.0,NW,3.58,0.0,0.0
2012,5,4,8,304.28775,14.0,21.0,1006.0,NW,1.79,0.0,0.0
2010,10,18,10,179.1125,7.0,15.0,1025.0,NW,18.901388,0.0,0.0
2014,11,20,13,107.928085,-4.207025,6.0,1023.0,SE,2.68,0.0,0.0
2013,12,10,14,15.0,-24.0,6.0,1018.0,NW,55.835056,0.0,0.0
2011,9,6,10,73.0,18.0,22.0,1011.0,NW,9.39,0.0,0.0
2012,12,4,16,37.0882,-18.0,1.0,1022.0,NW,6.2411356,0.0,0.0
2014,2,26,17,111.0,-10.0,5.0,1027.9268,SE,22.344793,0.0,0.0
2010,6,25,0,18.0,18.0,20.0,1009.0,cv,0.89,0.0,3.0
2014,11,18,7,228.33107,-4.0,3.0,1029.0,NW,15.65,0.0,0.0
2014,9,20,12,76.0,13.0,27.0,1010.0,cv,2.68,0.0,0.0
2012,11,5,8,69.0,4.0,7.0,1023.0,cv,0.89,0.0,0.0
2012,6,29,5,77.0,18.0,20.0,1003.0,SE,14.3,0.0,0.0
2013,5,7,12,66.0,-1.0,22.0,1002.0,cv,1.78,0.0,0.0
2010,12,30,7,61.47276,-19.0,-9.0,1026.0,NW,45.601967,0.0,0.0
2012,2,20,0,229.04594,-9.0,0.0,1019.0,cv,1.34,0.0,0.0
2012,9,27,13,13.0,4.0,22.0,1013.0,NW,26.375357,0.0,0.0
2011,2,19,18,15.0,-18.0,3.0,1026.0,SE,3.57,0.0,0.0
2010,12,14,11,21.0,-18.0,-1.0,1028.0,NW,31.732847,0.0,0.0
2012,11,13,3,16.0,-10.0,1.0,1016.0,cv,1.79,0.0,0.0
2014,10,24,19,43.0,4.0,15.0,1020.0,SE,28.847086,0.0,0.0
2014,3,2,16,25.0,-24.0,5.0,1025.0,SE,4.92,0.0,0.0
2012,1,19,17,390.60092,-6.0,2.0,1027.0,cv,3.58,0.0,0.0
2013,11,27,21,27.0,-21.0,3.0,1023.0,SE,15.659952,0.0,0.0
2013,2,18,14,37.0,-21.0,3.0,1026.0,SE,2.67,0.0,0.0
2013,9,8,13,13.0,9.0,25.0,1016.0,NE,25.21938,0.0,0.0
2010,1,7,2,106.0,-21.0,-13.665829,1030.0,NW,3.13,0.0,0.0
2012,9,3,7,5.0,6.0,18.00398,1011.5698,NW,119.120255,0.0,0.0
2012,7,31,10,227.0,24.0,28.0,1004.0,cv,4.47,0.0,0.0
2010,8,3,17,86.0,21.0,31.0,1003.0,SE,5.3647013,0.0,0.0
2012,3,27,0,74.385895,-1.0,7.0,1019.0,SE,54.915195,0.0,0.0
2012,11,20,10,374.09036,-1.0,4.0,1023.0,cv,1.79,0.0,0.0
2012,11,5,2,14.147102,-4.0,1.8207436,1021.0,NW,380.94083,0.0,0.0
2013,9,19,11,98.21414,12.0,21.0,1018.0,SE,15.2,0.0,0.0
2014,6,26,23,39.0,19.0,24.0,1004.0,SE,8.05,0.0,0.0
2013,11,19,23,440.09784,-7.0,-2.0,1025.0,NW,13.127538,0.0,0.0
2014,10,12,14,9.0,-3.0,19.0,1028.0,NW,11.63,0.0,0.0
2010,8,5,7,113.375824,21.0,25.0,1000.0,cv,0.89,0.0,0.0
2010,8,31,22,74.0,20.0,23.0,1010.0,SE,4.014099,0.0,0.0
2012,8,9,9,89.0,22.013945,28.0,1005.0,SE,3.13,0.0,0.0
2013,10,5,10,357.6743,14.0,21.0,1021.0,cv,0.89,0.0,0.0
2013,6,12,11,17.0,13.0,24.0,1008.0,SE,3.58,0.0,0.0
2014,2,6,17,105.0,-3.0,-1.0,1025.0,SE,37.99307,17.03868,0.0
2011,9,23,11,264.99994,18.0,21.0,1013.0,SE,3.13,0.0,0.0
2013,6,13,23,76.0,12.0,26.0,1009.0,SE,3.56,0.0,0.0
2011,4,12,23,127.0,-5.0,19.0,1012.0,SE,20.120537,0.0,0.0
2010,2,13,20,92.0,-12.0,-6.0,1036.0,NE,0.89,0.0,0.0
2011,9,2,5,116.0,18.0,16.0,1010.0,cv,0.89,0.0,0.0
2010,3,13,10,60.0,-16.0,0.0,1025.0,SE,57.152023,0.0,0.0
2014,12,23,5,17.0,-15.0,-7.0,1032.0,NW,18.322704,0.0,0.0
2011,1,11,22,16.0,-21.0,-2.0,1031.0,NW,64.91661,0.0,0.0
2011,6,3,9,137.0,14.0,28.0,1001.0594,NW,2.68,0.0,0.0
2010,4,9,23,15.0,-16.0,8.0,1023.0,NW,312.0119,0.0,0.0
2010,5,29,13,150.0,18.0,25.0,1007.0,cv,1.2025669,0.0,0.0
2011,6,17,19,85.0,18.0,25.0,1005.0,SE,14.307695,0.0,0.0
2013,4,25,10,12.0,-14.0,19.0,1019.0,NW,81.55315,0.0,0.0
2012,11,23,0,262.5386,0.0,3.388534,1019.0,cv,0.89,0.0,0.0
2012,4,16,1,82.0,-5.0,15.0,1006.0,NW,1.79,0.0,0.0
2014,9,19,8,24.0,15.0,19.0,1014.0,SE,2.68,0.0,0.0
2014,12,14,7,10.0,-18.0,-10.0,1031.958,NW,8.5,0.0,0.0
2013,8,11,0,54.0,18.0,26.0,998.0,SE,0.89,0.0,0.0
2011,9,10,7,35.0,14.0,11.0,1024.0,NW,1.79,0.0,14.995233
2014,10,23,4,138.0,7.0,11.0,1018.0,cv,1.78,0.0,0.0
2013,1,9,5,172.93658,-14.0,-9.0,1027.0,NW,6.26,0.0,0.0
2014,9,19,3,102.98413,14.0,14.0,1012.0,SE,12.97,0.0,0.0
2014,3,4,11,31.0,-15.0,4.0,1027.0,SE,4.47,0.0,0.0
2010,7,13,10,74.0,20.811205,22.0,1011.0,NE,15.458287,0.0,4.0
2013,5,12,13,66.9029,-1.0,28.0,1002.0,SE,28.612015,0.0,0.0
2012,7,8,2,18.0,22.0,23.0,998.0,NW,4.47,0.0,0.0
2011,1,17,2,107.0,-18.0,-10.0,1037.2584,NE,3.56,0.0,0.0
2014,7,9,19,22.0,19.0,25.0,1001.0,NW,13.416444,0.0,4.517959
2010,10,21,17,14.0,2.0,14.0,1019.0,cv,1.79,0.0,0.0
2013,2,11,1,12.0,-18.0,-5.0,1034.0,NW,10.733005,0.0,0.0
2014,11,5,23,15.0,-6.0,7.0,1026.0,NW,327.62863,0.0,0.0
2011,12,9,23,114.0,-10.0,-5.0,1031.1147,NW,14.308732,0.0,0.0
2014,6,16,7,129.0,19.0,20.0,1004.0,cv,1.78,0.0,0.0
2010,3,11,19,57.13824,-11.0,6.0,1014.0,SE,26.37097,0.0,0.0
2013,6,30,16,50.0,18.0,33.0,1001.0,SE,4.02,0.0,0.0
2011,10,16,5,15.0,1.0,13.0,1013.0,NW,4.92,0.0,0.0
2011,4,10,13,51.0,-8.0,17.0,1021.0,NW,47.86259,0.0,0.0
2012,6,22,10,42.0,17.0,28.0,1003.0,NE,1.79,0.0,0.0
2011,3,9,5,15.0,-16.0,4.0,1029.0,NW,16.534039,0.0,0.0
2010,9,19,16,69.03278,7.0,25.0,1012.0,SE,12.483214,0.0,0.0
2013,12,6,0,69.0,-8.0,-2.0,1031.0,cv,0.89479727,0.0,0.0
2010,7,11,4,43.0,17.0,17.0,1006.0,NW,4.4590397,0.0,0.0
2011,12,2,19,399.95618,-2.0,-2.0,1024.0,cv,1.78,0.0,0.0
2014,4,16,7,68.0,-5.0,16.0,1021.0,SE,6.71,0.0,0.0
2011,3,3,19,166.0,-12.0,7.0,1021.0,SE,1.79,0.0,0.0
2012,6,29,10,112.103035,18.0,26.0,1003.0,SE,29.050335,0.0,0.0
2010,5,5,7,208.71916,15.0,18.0,999.0,SE,89.17377,0.0,0.0
2011,1,27,4,55.0,-15.0,-7.0,1039.6936,NE,5.81,0.0,0.0
2013,6,13,7,39.0,13.0,19.0,1005.0,NE,4.46,0.0,0.0
2010,11,4,6,159.0,4.0,4.0,1019.0,NW,5.37,0.0,0.0
2013,5,5,22,105.0,1.0,12.940548,1018.0,SE,4.02,0.0,0.0
2012,9,10,19,80.0,16.0,23.0,1013.0,SE,6.7021184,0.0,0.0
2011,6,2,23,64.0,11.0,17.0,1006.0,cv,0.89,0.0,0.0
2011,5,2,3,59.0,-5.0,20.0,1012.0,NW,66.99279,0.0,0.0
2011,7,31,18,22.0,23.0,27.0,999.0,NW,12.969464,0.0,5.0
2010,6,17,18,22.0,17.0,28.0,1001.0,SE,11.63,0.0,0.0
2011,5,7,22,108.0,8.0,16.0,1002.0,cv,1.79,0.0,0.0
2010,3,9,2,238.30066,-10.0,-3.0,1010.0,cv,0.89,0.0,0.0
2010,2,13,17,99.0,-8.0,-4.0,1028.0,SE,19.67,14.5273485,0.0
2012,10,20,18,67.0,5.0,12.0,1021.0,SE,33.976154,0.0,3.0
2013,3,6,10,70.0,-14.0,8.0,1018.0,NE,8.94,0.0,0.0
2014,1,18,17,120.0,-20.0,8.0,1025.0,SE,6.71,0.0,0.0
2014,1,7,2,13.0,-12.51766,-3.0,1030.0,NW,11.629751,0.0,0.0
2010,5,17,17,97.05487,16.0,20.0,1005.0,SE,12.07,0.0,0.0
2013,4,1,13,16.0,-14.0,14.0,1016.0,NW,100.94574,0.0,0.0
2013,8,12,13,26.0,21.0,32.0,1003.0,cv,2.67,0.0,0.0
2012,2,14,6,369.41376,-10.0,-6.0,1023.0,NW,6.26,0.0,0.0
2010,11,27,4,100.0,-12.0,-4.0,1018.0,NW,26.578625,0.0,0.0
2014,5,23,10,108.0,15.0,25.0,1006.0,SE,50.94854,0.0,0.0
2014,2,11,6,256.8653,-13.0,-7.124023,1026.0,NW,4.47,0.0,0.0
2014,10,8,14,388.62933,15.0,17.0,1018.0,SE,1.34,0.0,0.0
2014,9,4,9,22.032017,17.0,24.0,1007.0,NW,4.92,0.0,0.0
2012,3,15,20,119.031654,-10.0,4.0,1027.0,SE,42.445763,0.0,0.0
2014,1,24,1,161.0,-16.0,-6.0,1021.0,NW,9.83,0.0,0.0
2012,4,24,1,57.0,14.0,18.0,1004.0,NW,2.67,0.0,12.537021
2014,8,24,17,57.0,23.0,26.0,1006.0,NE,1.79,0.0,0.0
2012,11,19,6,173.96031,-5.0,-4.0,1025.0,NW,2.67,0.0,0.0
2010,7,11,22,77.0,22.0,28.0,1004.0,SE,29.054348,0.0,0.0
2010,6,23,8,115.442825,16.0,23.0,1006.0,SE,1.79,0.0,0.0
2010,2,15,4,13.0,-22.0,-10.0,1034.0,NW,2.67,0.0,0.0
2010,11,7,12,10.0,-10.0,11.0,1021.0,NW,75.08369,0.0,0.0
2013,11,5,23,152.0,6.1430545,2.0,1019.0,cv,1.79,0.0,0.0
2012,2,6,21,104.0,-17.0,-3.0,1024.0,SE,22.01342,0.0,0.0
2013,8,16,12,68.0,21.0,30.0,999.0,NE,3.58,0.0,0.0
2010,7,30,23,293.44354,25.0,28.0,1000.0,SE,5.81,0.0,0.0
2010,2,23,18,126.0,-11.0,10.0,1023.0,SE,27.610271,0.0,0.0
2014,2,27,20,349.47833,-6.0,4.0,1022.0,cv,0.89,0.0,0.0
2010,7,14,18,106.9372,20.0,30.0,1007.0,SE,30.390762,0.0,0.0
2010,7,23,8,199.67355,24.0,29.0,1010.0,cv,2.67,0.0,0.0
2014,3,5,8,11.0,-20.0,2.0,1027.0,NE,3.13,0.0,0.0
2014,5,7,5,47.0,-4.0,13.0,1008.0,NW,13.86,0.0,0.0
2014,5,12,12,22.0,0.0,24.0,1004.0,NW,4.92,0.0,0.0
2013,8,10,9,74.0,23.0,30.0,1002.0,NW,11.6214285,0.0,0.0
2012,4,24,22,97.0,7.0,17.0,1007.0,NW,59.952553,0.0,0.0
2013,5,4,8,61.28232,5.1174335,19.0,1016.0,SE,5.3591294,0.0,0.0
2013,7,9,0,38.0,23.0,25.0,997.0,SE,102.83552,0.0,3.0
2013,12,15,14,18.0,-23.0,0.0,1032.0,NE,2.68,0.0,0.0
2010,8,8,3,184.24657,24.0,28.0,1003.0,SE,62.435116,0.0,0.0
2013,4,16,1,89.0,1.0,13.0,1015.8262,SE,47.812977,0.0,0.0
2010,5,10,6,55.0,5.0,6.0,1013.0,NW,3.13,0.0,0.0
2014,8,4,6,61.0,19.0,20.0,1007.0,NW,41.13905,0.0,0.0
2013,4,1,4,10.0,-13.0,3.0,1022.0,NW,45.60782,0.0,0.0
2014,5,19,7,118.0,15.0,14.0,1003.0,cv,0.89,0.0,0.0
2013,1,5,11,16.0,-26.0,-6.0,1033.0,NW,21.003366,0.0,0.0
2012,10,7,2,82.0,4.0,8.0,1024.0,NW,3.58,0.0,0.0
2011,5,22,3,15.0,2.0,10.0,1014.0,NW,4.92,0.0,0.0
2010,1,29,5,17.0,-21.685667,-6.0,1026.0,NW,8.94,0.0,0.0
2011,10,10,2,469.25455,15.0,16.386154,1023.0,SE,1.79,0.0,0.0
2012,9,2,1,123.0,18.0,19.0,1009.0,NE,0.89,0.0,0.0
2011,1,19,13,15.0,-22.0,-5.0,1038.0,NW,125.77295,0.0,0.0
2013,1,1,22,34.0,-13.0,-2.0,1021.0,NW,66.207085,0.0,0.0
2010,1,7,7,146.0,-11.0,-7.0,1034.0,SE,37.14445,25.974735,0.0
2013,2,7,12,89.0,-7.0,4.0,1029.0,cv,1.79,1.0,0.0
2010,1,28,19,37.256435,-15.0,-2.0,1025.0,SE,6.26,0.0,0.0
2012,2,12,17,143.0,-11.0,-1.0,1026.0,SE,15.2,0.0,0.0
2014,7,23,14,97.0,19.0,33.0,1004.0,SE,17.88,0.0,0.0
2010,3,16,18,95.0,-4.0,3.0,1023.0,NW,44.179638,0.0,0.0
2013,3,4,4,47.0,-8.0,1.0,1022.0,cv,0.45,0.0,0.0
2014,5,21,21,40.538334,10.0,26.0,1006.0,SE,31.734056,0.0,0.0
2012,8,17,18,91.0,18.0,25.0,1007.0,SE,58.97372,0.0,0.0
2010,1,8,2,113.0,-18.0,-11.0,1029.0,NW,12.97,0.0,0.0
2012,7,10,7,139.0,24.0,26.0,1005.0,cv,0.89,0.0,0.0
2014,8,14,9,13.0,13.0,28.0,1012.0,NW,27.72,0.0,0.0
2011,8,4,4,134.0,22.0,22.0,1004.0,NW,1.79,0.0,0.0
2010,1,19,23,269.25555,-4.0,-3.0,1023.0,NW,3.13,0.0,0.0
2010,5,7,5,92.0,6.0,14.0,1002.0,cv,0.89,0.0,0.0
2013,8,25,11,35.35171,13.0,28.0,1012.0,SE,1.79,0.0,0.0
2013,12,12,11,12.0,-21.0,2.7273316,1019.0,NW,52.31149,0.0,0.0
2011,3,24,18,11.0,-17.0,12.0,1024.0,NW,104.007065,0.0,0.0
2014,11,18,9,68.0,-9.0,6.0,1029.0,NW,7.5994067,0.0,0.0
2014,3,10,12,234.1088,-12.0,5.0,1023.0,SE,1.78,0.0,0.0
2012,12,1,15,154.0,-9.0,0.0,1023.0,SE,16.541826,0.0,0.0
2014,2,1,10,224.32863,-6.0,0.0,1020.0,NW,11.18,0.0,0.0
2011,2,9,5,272.945,-12.0,-7.507128,1027.0,NW,3.58,0.0,0.0
2012,4,8,9,17.051756,-14.0,17.862465,1018.0,NW,40.670742,0.0,0.0
2014,7,29,1,83.487686,20.0,26.0,1001.48425,NW,8.94,0.0,0.0
2011,2,5,4,90.982315,-5.0,-3.0,1019.0,NW,1.34,0.0,0.0
2012,5,25,0,184.0,9.0,22.0,1009.0,SE,37.548134,0.0,0.0
2011,4,6,23,87.0,-6.0,17.0,1011.0,cv,1.79,0.0,0.0
2014,10,3,3,34.0,10.671873,9.0,1021.0,NE,1.79,0.0,0.0
2012,7,25,3,110.0,24.0,23.0,1005.0,NW,1.79,0.0,0.0
2011,8,28,19,77.0,22.0,27.0,1006.0,SE,43.618385,0.0,0.0
2012,4,15,0,137.86926,5.0,12.0,1011.0,SE,1.79,0.0,0.0
2010,12,3,1,206.18007,-6.0,-1.0,1012.0,SE,0.89,0.0,0.0
2014,2,9,3,12.0,-20.0,-8.0,1035.0,NW,167.61142,0.0,0.0
2012,1,9,9,36.009777,-17.0,-5.0,1036.0,NW,8.05,0.0,0.0
2012,9,19,15,49.0,14.0,26.0,1012.0,SE,18.32518,0.0,0.0
2012,7,28,23,82.0,22.0,26.0,1003.0,SE,32.194374,0.0,0.0
2011,10,18,15,145.0,11.0,19.0,1023.0,cv,4.02,0.0,0.0
2014,11,13,5,11.0,-8.0,0.0,1029.0,NE,1.78,0.0,0.0
2011,2,9,23,93.0,-6.0,-1.0,1028.0,SE,10.29,0.0,0.0
2014,1,6,10,19.0,-17.0,-2.0,1039.0,NW,43.336086,0.0,0.0
2012,12,29,19,144.0,-11.0,-3.0,1024.0,NW,16.98,0.0,0.0
2013,4,6,0,17.0,-12.0,9.0,1019.0,NW,71.89745,0.0,0.0
2013,4,9,3,7.0,-10.0,5.0,1022.0,NW,114.333954,0.0,0.0
2010,6,12,17,61.0,12.0,28.516047,1001.0,SE,21.451153,0.0,0.0
2013,6,28,7,146.24356,20.0,20.0,1007.0,SE,4.92,0.0,5.7955127
2013,11,25,2,161.0,-8.0,-3.0,1019.0,cv,1.78,0.0,0.0
2012,11,25,16,10.0,-14.0,11.0,1024.0,NW,32.626762,0.0,0.0
2012,7,21,11,205.58553,24.0,31.0,1002.0,SE,10.040395,0.0,0.0
2010,4,23,5,94.0,-4.0,4.0,1018.0,NW,60.988495,0.0,0.0
2011,1,21,0,264.38757,-16.0,-7.0,1032.49,NW,1.78,0.0,0.0
2012,1,31,21,128.0,-18.0,-10.0,1025.0,cv,1.79,0.0,0.0
2012,8,1,11,19.0,22.0,28.960396,1010.0,SE,3.13,0.0,0.0
2014,4,1,10,110.91752,-11.0,19.0,1012.0,NW,30.395443,0.0,0.0
2014,10,30,3,319.25476,9.0,14.0,1021.0,NE,2.9001667,0.0,0.0
2010,12,4,7,167.0,-8.0,-7.0,1012.0,NW,4.47,0.0,0.0
2010,3,12,11,145.27695,-6.0,14.0,1011.0,NW,3.13,0.0,0.0
2011,1,24,5,39.0,-20.0,-14.41301,1031.0,NW,19.228235,0.0,0.0
2010,6,14,21,62.0,17.0,23.0,1005.0,NW,0.89,0.0,0.0
2014,2,28,9,12.0,-8.0,5.0,1029.0,NW,23.24,0.0,0.0
2013,2,12,4,169.0,-12.0,-5.0,1021.0,SE,5.37,0.0,0.0
2010,3,23,22,38.0,-16.0,8.0,1019.0,NW,30.398077,0.0,0.0
2014,4,22,16,96.0,8.0,26.0,1013.0,SE,6.6142545,0.0,0.0
2011,5,12,0,55.0,6.0,15.0,1010.0,SE,73.343094,0.0,0.0
2013,1,22,20,97.0,-12.0,-4.0,1028.0,SE,22.016571,0.0,0.0
