LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
60000.0,2,2,1,42.0,0,0,0,0,0,0,34711.203,34447.15,33401.582,30529.793,29574.248,29476.832,1802.4261,1898.3685,1500.0,1500.0,1289.915,1118.5413,0
200000.0,1,2,2,30.0,2,2,2,2,2,2,2752.33,3562.3691,3240.9475,2762.4763,5001.9316,5686.9673,1246.0592,0.0,0.0,1000.0,500.0,585.7933,1
100000.0,2,2,2,25.0,-1,-1,-1,-1,-1,-1,1323.6786,1321.2805,1993.3712,1998.5393,2419.8586,2948.6526,1692.7065,2500.0,2000.0,2758.616,2794.969,2831.543,0
170000.0,2,2,1,38.0,0,0,0,0,0,0,112894.05,111426.664,111872.65,108342.03,103141.88,102064.945,4845.991,5000.0,3704.7153,3299.87,3500.0,3827.3496,0
180000.0,2,2,2,30.0,0,0,0,0,0,0,167230.53,165381.98,162385.45,155754.58,145548.12,145480.28,6000.0,6110.723,5072.947,5000.5356,5490.171,4573.5474,0
100000.0,1,2,2,28.0,0,0,0,0,0,0,80758.09,81009.52,74903.96,73340.305,69503.68,64865.152,3598.186,3036.072,2380.9458,2600.0,2237.176,2500.0,0
30000.0,2,3,1,49.0,0,0,0,0,0,0,21263.373,21070.47,19584.63,18481.234,17019.57,15407.964,1600.0,1500.0,1000.0,702.19073,674.64526,664.53033,0
50000.0,2,2,2,28.0,-1,0,0,0,0,0,7695.149,8557.7705,8273.476,6326.384,5538.369,4903.511,1581.0022,1513.4989,0.0,76.53802,379.83813,917.1971,0
1000000.0,2,1,2,79.0,1,-2,4,4,4,0,964511.0,983931.0,1664089.0,891586.0,927171.0,961664.0,873552.0,1684259.0,896040.0,621000.0,426529.0,528666.0,1
140000.0,1,1,1,43.0,0,0,0,0,0,0,94401.44,97556.234,92207.75,89715.85,83254.07,82069.07,5000.0,4000.0,3000.0,3200.0,3789.699,2977.31,0
100000.0,2,2,1,46.0,0,0,0,0,0,0,70650.82,70046.12,69215.62,66405.86,65264.8,62958.62,3026.496,3021.7004,2500.0,2717.7412,2201.373,2694.1218,0
120000.0,1,2,1,38.0,-1,-1,-1,-1,0,0,1234.5564,681.7832,822.77985,1341.6858,2382.3008,2397.9893,633.8106,1397.0206,1193.5482,504.69934,1000.0,1000.0,1
240000.0,2,3,1,38.0,-1,-1,-1,-1,-1,-1,5263.8555,3078.503,4162.1104,4025.3613,1724.3384,2616.047,3316.5823,4666.5312,4000.0,2000.0,2553.246,3000.0,0
150000.0,1,3,1,45.0,0,0,0,0,0,0,106405.64,103839.15,101564.24,98808.92,91735.664,90739.84,4691.418,4360.7866,4505.3745,3447.9565,3435.3716,3588.4282,0
50000.0,2,2,2,29.0,0,0,0,0,0,0,47545.758,45983.156,43384.832,39000.04,36256.57,34872.773,2210.4507,2000.0,1926.3987,2000.0,1862.6262,1999.8522,0
160000.0,1,3,2,29.0,0,0,0,2,0,0,88858.69,87954.74,90512.266,86889.05,81570.086,82973.46,4311.7495,5587.6055,2373.5017,3000.0,3000.0,3000.0,0
80000.0,2,1,2,27.0,2,2,2,2,2,0,53250.03,57193.21,54393.95,56704.17,54815.316,53334.953,2647.4646,3000.0,1800.0,2000.0,2047.6923,2614.5425,1
60000.0,2,1,2,33.0,0,0,0,0,0,0,50802.863,50409.145,50081.3,49255.496,48373.684,49639.312,3000.0,3008.3064,2939.934,2631.0374,2987.0552,3000.0,0
80000.0,1,1,2,28.0,0,0,0,0,0,0,47049.64,45930.918,42311.273,42482.94,39390.54,39857.69,2313.4917,2505.495,2000.0,2031.6487,2000.0,2000.0,0
80000.0,1,3,2,32.0,0,0,0,0,0,0,56661.176,52603.785,49840.973,48780.56,45533.87,45915.137,2374.9321,2363.7522,2000.0,2000.0,2000.0,2000.0,0
140000.0,1,2,2,31.0,0,0,0,0,0,0,38947.44,37485.684,34177.305,32325.85,30120.668,29985.084,2008.947,2000.0,1903.4735,1921.0548,1999.8649,1191.9923,0
200000.0,1,2,2,36.0,0,0,0,0,0,0,104257.195,100543.914,94342.0,93777.04,86554.53,83647.0,4552.703,4500.0,4245.2046,4000.0,3426.8064,4000.0,0
30000.0,1,3,1,51.0,0,0,0,0,0,0,22091.217,23262.162,22311.486,20652.664,19491.102,19533.416,1651.3853,1672.668,1000.0,899.2115,1000.0,1000.0,0
50000.0,2,2,2,30.0,0,0,0,0,0,0,37831.72,35444.965,33937.336,30314.945,28776.146,28705.15,1897.3015,2000.0,1500.0,1300.0,1254.1158,1104.583,0
240000.0,1,2,2,30.0,-2,-1,0,0,0,0,50831.19,64516.453,62151.066,65725.19,61880.9,54826.188,8210.713,5061.46,8989.67,3251.969,3698.1155,4868.3564,0
170000.0,2,2,1,32.0,0,0,0,0,0,2,64676.477,67946.39,63217.06,62275.89,69074.17,67090.47,3251.0054,3000.0,3000.0,3500.6208,2000.3302,2957.802,0
220000.0,2,1,2,30.0,-1,-1,-1,-1,-1,-1,953.5383,809.68494,871.3366,1154.3153,1105.5354,965.44006,1012.5097,1209.8427,1202.2928,1192.2812,780.0,600.9123,0
210000.0,2,2,1,35.0,-1,-1,-1,-1,-1,-1,899.53656,1043.7212,1193.0049,1160.8376,1179.3883,972.00946,1383.5338,1854.1351,1605.7306,1471.7903,1027.4879,1570.0988,1
210000.0,2,2,2,34.0,-1,-1,-1,-1,-1,-1,4185.5884,2177.4937,3631.5474,3559.319,6611.2876,5936.5757,2000.0,3323.3047,2500.0,5992.7764,2600.8767,3002.5342,0
140000.0,1,3,1,35.0,0,0,0,0,0,0,45100.027,45112.52,41601.457,38516.62,34251.56,35168.695,2272.709,2000.0,1695.5352,1791.092,1500.0,1500.0,0
50000.0,2,2,2,24.0,0,0,2,2,2,2,29001.58,34700.46,31235.838,33157.83,34196.64,33387.96,4500.0,0.0,3691.2642,0.0,2762.7825,1292.7195,0
