Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,23.783648,0.0,0.0,1232.5339,0.0,0.2,0.0,0.0,Mar,2,2,4,1,Returning_Visitor,False,False
1.0,20.84435,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.0,6930.2036,0.0,0.012033003,0.0,0.0,Nov,2,2,6,3,Returning_Visitor,False,False
0.0,2606.9783,0.0,0.0,2.0,1136.5844,0.0,0.2,0.0,0.0,May,2,2,1,13,Returning_Visitor,False,False
17.707146,614.09644,0.0,0.0,0.0,1595.2838,0.0,0.0,0.0,1.0,May,2,10,4,2,Returning_Visitor,False,False
0.0,0.0,5.0,0.0,113.49406,63665.64,0.0,0.02063523,0.0,0.8,May,1,1,1,3,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,5.0,44731.066,0.0,0.016252333,0.0,0.0,May,1,1,1,3,Returning_Visitor,False,False
26.998884,0.0,0.0,0.0,704.9159,337.63605,0.0,0.017464364,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0.0,61.961075,23.140816,0.0,0.0,9087.679,0.0,0.2,0.0,0.0,Mar,2,2,6,2,Returning_Visitor,False,False
1.0,0.0,0.0,0.0,689.61285,7358.309,0.050949328,0.009950476,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,704.90967,54345.508,0.0,0.00391595,0.0,0.0,Nov,2,2,2,10,Returning_Visitor,True,False
0.0,0.0,2.0,0.0,237.3506,5082.285,0.2,0.2,0.0,0.0,Aug,3,2,1,2,Returning_Visitor,False,False
0.0,209.2434,0.0,0.0,1.0,0.0,0.0,0.034457065,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,63973.523,0.0,0.042541526,0.0,0.0,Nov,4,1,2,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,2705.2776,0.2,0.007369081,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,596.59186,483.2035,0.010576207,0.2,0.0,1.0,May,2,2,2,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.006701665,0.0,0.0,June,3,2,3,6,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,82.81372,63973.523,0.2,0.2,0.0,0.0,Dec,3,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.0,3360.5398,0.0,0.022222223,0.0,0.0,Sep,2,2,9,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,30.0,0.0,0.0412839,0.14932196,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.0,10750.934,0.0,0.2,0.0,0.0,May,8,2,1,1,Returning_Visitor,False,False
0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.02135777,0.0,0.0,Nov,2,2,1,6,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,684.12054,63973.523,0.06666667,0.0,0.0,0.0,June,2,5,1,4,Returning_Visitor,False,False
