Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
27.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
0.0,0.0,24.0,0.0,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
27.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
4.0,125.703026,2.0,59.11272,25.0,397.42584,0.0,0.013616356,0.0,0.0,Jul,2,10,4,2,Returning_Visitor,False,False
6.0,93.19273,0.0,51.45518,22.0,457.70792,0.0,0.016544776,0.0,0.0,Oct,2,4,9,2,Returning_Visitor,False,False
27.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
27.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
27.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
0.0,0.0,0.0,0.0,25.0,381.36884,0.015720498,0.021401413,0.0,0.0,Jul,2,2,7,3,Returning_Visitor,False,False
3.0,20.210562,0.0,6.4198937,84.375244,2975.1785,0.02254971,0.06666667,0.0,0.6,May,2,2,1,4,Returning_Visitor,False,False
1.0,21.763403,0.0,0.0,7.0,32.580563,0.06085669,0.06666667,0.0,0.0,Sep,3,2,1,3,Returning_Visitor,False,False
1.0,22.579119,0.0,0.0,21.0,684.1101,0.013520921,0.043355267,14.171963,0.0,Dec,1,1,6,1,Returning_Visitor,False,True
1.0,457.2671,3.055943,94.65136,141.59035,3770.55,0.0017017169,0.0061952192,6.40621,0.0,May,2,2,7,2,Returning_Visitor,False,False
3.0,598.8816,5.0,101.66801,27.0,996.70154,0.022023972,0.045203175,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,True,False
3.0,147.57297,0.0,0.0,24.0,765.72,0.023700735,0.03722856,0.0,0.0,Nov,1,1,2,3,Returning_Visitor,False,False
2.0,60.695133,2.0,51.178112,42.0,1630.3402,0.004930616,0.021236874,18.21422,0.0,May,2,4,1,2,Returning_Visitor,False,False
27.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
27.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
0.0,0.0,24.0,0.0,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
12.633208,202.4203,4.0,80.64527,155.4269,5279.0107,0.0020411985,0.012016045,14.3937,0.0,Nov,2,2,6,1,Returning_Visitor,False,False
1.0,145.84358,0.0,0.0,32.0,1309.5316,0.009090909,0.011004637,0.0,0.0,Nov,2,2,9,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,302.954,0.0,0.0120865,0.0,0.0,Dec,2,2,1,2,New_Visitor,False,False
3.0,79.713455,1.0,4.117807,59.858467,2069.1633,0.008207434,0.018011462,0.0,0.0,Mar,1,1,8,3,Returning_Visitor,True,False
27.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
27.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
27.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
0.0,0.0,0.0,0.0,5.0,192.56425,0.024975361,0.06666667,0.0,0.0,Mar,1,1,3,8,Returning_Visitor,False,False
27.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
27.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,361.76373,1.0,Sep,2,2,4,2,New_Visitor,True,True
