Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.0,48.482796,0.0,0.0,9.0,77.090294,0.0,0.0,34.44136,0.0,Jul,2,2,3,3,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Dec,3,2,7,1,Returning_Visitor,True,False
27.0,3398.75,0.0,2549.375,705.0,0.0,0.2,0.0,361.76373,1.0,Mar,2,5,4,2,New_Visitor,True,True
2.0,40.002296,0.0,0.0,78.13025,1841.557,0.007983046,0.03333333,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,False,False
2.0,35.031563,0.0,0.0,11.0,217.01508,0.0,0.04,35.179794,0.0,May,1,1,1,4,Returning_Visitor,False,False
27.0,3398.75,0.0,2549.375,705.0,0.0,0.2,0.0,361.76373,1.0,Mar,2,5,4,2,New_Visitor,True,True
27.0,3398.75,0.0,2549.375,705.0,0.0,0.2,0.0,361.76373,1.0,Mar,2,5,4,2,New_Visitor,True,True
27.0,3398.75,0.0,2549.375,705.0,0.0,0.2,0.0,361.76373,1.0,Mar,2,5,4,2,New_Visitor,True,True
10.0,109.99926,3.0,142.08798,125.68604,1969.2227,0.011686981,0.015622258,21.958555,0.0,Nov,4,2,1,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Nov,1,1,9,2,Returning_Visitor,False,False
27.0,3398.75,0.0,2549.375,705.0,0.0,0.2,0.0,361.76373,1.0,Mar,2,5,4,2,New_Visitor,True,True
9.0,251.24747,0.0,0.0,76.687195,1041.62,0.0,0.002297617,0.0,0.0,Aug,1,1,3,2,Returning_Visitor,True,False
6.0,110.97985,0.0,0.0,23.0,508.37555,0.0,0.011111111,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
27.0,3398.75,0.0,2549.375,705.0,0.0,0.2,0.0,361.76373,1.0,Mar,2,5,4,2,New_Visitor,True,True
27.0,3398.75,0.0,2549.375,705.0,0.0,0.2,0.0,361.76373,1.0,Mar,2,5,4,2,New_Visitor,True,True
5.0,35.83873,0.0,0.0,100.45918,4503.134,0.0,0.010696578,11.367262,0.0,Mar,2,10,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.0,343.0451,0.0,0.0034184903,0.0,0.0,Aug,2,2,5,2,New_Visitor,False,False
1.0,20.01271,2.0,40.42005,96.13492,2872.6028,0.0066849785,0.01821441,0.0,1.0,May,1,1,1,2,Returning_Visitor,True,False
27.0,3398.75,0.0,2549.375,705.0,0.0,0.2,0.0,361.76373,1.0,Mar,2,5,4,2,New_Visitor,True,True
5.0,77.316345,1.0,32.830235,78.57509,1469.888,0.0,0.008096013,19.730253,0.0,Oct,1,1,1,2,Returning_Visitor,False,False
27.0,3398.75,0.0,2549.375,705.0,0.0,0.2,0.0,361.76373,1.0,Mar,2,5,4,2,New_Visitor,True,True
0.0,0.0,0.0,0.0,24.0,1412.6067,0.0125,0.023490464,0.0,0.0,May,1,2,1,3,Returning_Visitor,False,False
