Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
27.0,3397.066,18.65333,1969.1799,704.3256,63973.523,0.0,0.0,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,103.84531,60813.402,0.0,0.2,45.420113,1.0,May,2,2,4,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,3.0,5517.538,0.0,0.009682806,361.76373,1.0,May,1,1,1,4,New_Visitor,True,True
12.0,0.0,0.0,0.0,4.0,10676.114,0.0,0.014579445,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,False,False
24.216005,161.31386,0.0,302.87817,66.14007,51076.473,0.0,0.018181818,11.839837,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,19.0,1107.3545,0.2,0.06889112,0.0,0.8,May,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,7.95374,0.0,130.0941,61052.3,0.0,0.0047067036,0.0,0.0,Nov,2,2,3,3,Returning_Visitor,False,True
0.0,100.13339,0.0,0.0,320.00452,63973.523,0.0,0.0,0.0,0.0,Jul,2,6,2,4,Returning_Visitor,False,False
8.0,3378.4556,22.288609,416.78394,704.95996,63969.113,0.020540288,0.2,0.0,0.0,May,2,2,1,6,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.0,4309.162,0.06666667,0.03333333,0.0,1.0,May,3,2,1,4,Returning_Visitor,True,False
0.0,3397.703,0.0,0.0,24.0,7319.812,0.04436349,0.011764706,54.49437,0.0,Nov,2,2,4,2,New_Visitor,False,True
27.0,3398.75,0.0,0.0,705.0,63973.523,0.0,0.0,361.76373,1.0,Jul,2,4,3,1,Returning_Visitor,False,False
21.418339,678.7789,0.0,0.0,130.96632,124.59526,0.0,0.0,0.0,0.0,Nov,1,1,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,1,1,2,1,Returning_Visitor,False,False
0.0,3144.9001,5.265446,0.0,91.09404,1202.0669,0.2,0.06498361,361.76373,0.0,Nov,2,2,1,2,New_Visitor,False,True
0.0,0.0,15.800235,2548.3977,19.0,3627.3909,0.2,0.2,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,731.2614,0.0981341,0.034083474,0.0,1.0,May,3,2,1,6,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,271.2298,63973.523,0.0035097213,0.0,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
27.0,3398.75,24.0,2549.375,33.0,63973.523,0.02339032,0.2,38.903637,0.0,Mar,2,2,3,2,Returning_Visitor,False,False
14.383352,291.17282,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,Mar,2,4,1,2,Returning_Visitor,False,True
10.0,591.44226,0.0,0.0,5.0,0.0,0.0,0.0,359.387,0.0,Sep,2,2,1,2,New_Visitor,False,True
9.0,43.608944,0.0,0.0,0.0,1438.8171,0.2,0.2,0.0,1.0,May,3,2,3,13,Returning_Visitor,False,False
5.0,0.0,0.0,0.0,3.0,39.418644,0.0,0.003603391,35.086678,0.0,May,2,2,1,2,New_Visitor,False,True
10.0,3328.2217,10.47705,0.0,29.0,2478.3445,0.0,0.068047695,0.0,1.0,May,2,2,3,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,60.0,2765.988,0.0,0.002672415,0.0,0.0,May,2,2,3,2,Returning_Visitor,False,False
0.0,0.0,4.0,0.0,41.0,1521.6416,0.0,0.0,361.75513,1.0,May,2,2,1,2,Returning_Visitor,True,True
27.0,3398.75,0.0,0.0,697.59265,5548.7705,0.008322386,0.0032860916,0.0,0.0,Aug,2,2,1,1,Returning_Visitor,False,False
12.953133,0.0,0.0,0.0,26.0,4405.864,0.0,0.022288313,51.41543,0.0,Nov,2,2,6,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,2,2,2,3,Returning_Visitor,False,False
3.0,0.0,0.0,0.0,0.0,19.144918,0.0,0.13333334,0.0,0.0,Dec,2,2,1,10,Returning_Visitor,False,False
1.0,450.12158,10.085021,36.991177,2.0,235.84505,0.0,0.023536196,0.0,0.0,Sep,2,2,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,259.62738,63973.523,0.0,0.030715108,0.0,0.8,May,2,2,3,13,Returning_Visitor,False,False
2.0,0.0,0.0,0.0,93.90648,0.0,0.2,0.2,0.0,0.0,Aug,3,2,3,13,Returning_Visitor,False,False
10.0,3398.75,0.0,0.0,174.1736,55091.72,0.0,0.011111111,0.0,0.0,May,2,2,3,1,New_Visitor,False,False
5.0,188.12909,0.0,0.0,671.1939,4174.8247,0.0,0.07752982,0.0,0.0,Nov,2,5,2,1,Returning_Visitor,True,True
26.195374,3398.75,3.0,166.96901,13.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,25.534367,103.01614,27575.568,0.0,0.0,19.686413,0.0,Nov,4,1,3,1,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,8.823717,0.0,0.0,0.2,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,157.6085,0.0,0.026552165,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,1.0,354.51422,704.969,63968.293,0.0,0.0,0.0,0.0,May,2,2,6,4,New_Visitor,False,False
27.0,3398.75,0.0,0.0,705.0,63973.523,0.0,0.0,0.0,1.0,May,2,4,1,7,Returning_Visitor,False,False
0.0,0.0,6.033723,490.5996,65.105644,2326.1255,0.2,0.2,361.76373,0.0,Dec,2,2,1,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011764706,0.0,0.0,May,3,2,1,3,Returning_Visitor,False,True
0.0,980.00415,2.0,0.0,116.72926,12310.08,0.0,0.03817506,117.704124,1.0,May,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,0.0,0.2,0.2,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,Nov,2,6,1,13,Returning_Visitor,False,False
0.0,0.0,3.0,0.0,1.0,395.7525,0.0,0.056300737,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
5.0,78.18358,0.0,0.0,1.0,303.38092,0.0,0.2,0.0,0.6,May,1,1,3,3,New_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,452.76022,0.0,0.2,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,False
2.0,3398.75,24.0,2174.1733,93.43549,601.14856,0.0,0.007057538,360.99023,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,325.06064,63973.523,0.0,0.0,0.0,1.0,May,2,5,8,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.005636872,0.0,0.0,May,2,2,3,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,3,2,2,1,Returning_Visitor,False,False
0.0,0.0,0.0,62.439484,1.0,1565.7965,0.0,0.2,0.0,0.27638847,May,2,2,1,4,Returning_Visitor,False,False
7.0,3398.4583,0.0,0.0,703.4532,57619.137,0.0,0.0,361.7126,0.0,Aug,2,2,1,4,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.0,0.0,Jul,1,1,4,4,Returning_Visitor,True,False
16.108044,0.0,0.0,0.0,1.0,0.0,0.2,0.0012920751,0.0,0.0,Aug,1,2,1,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,May,1,1,4,1,Returning_Visitor,True,False
27.0,3398.75,0.0,0.0,1.0,63973.523,0.0,0.0,0.0,0.0,Nov,2,4,2,7,Returning_Visitor,False,False
27.0,3398.75,0.0,0.0,28.206806,63973.523,0.0,0.0,0.0,1.0,May,2,2,1,4,Returning_Visitor,False,False
24.170757,0.0,0.0,0.0,641.4138,63910.86,0.0031613158,0.02303302,0.0,0.0,Nov,3,2,3,2,Returning_Visitor,False,False
12.0,55.18805,5.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,Dec,1,1,4,8,Returning_Visitor,False,False
1.0,3393.4365,2.0,0.0,3.0,0.0,0.0,0.03747576,0.0,0.0,Sep,2,2,6,2,Returning_Visitor,True,True
8.0,0.0,0.0,0.0,6.0,4255.5425,0.0,0.16546498,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,False,False
0.0,0.0,24.0,2549.375,0.0,0.0,0.2,0.2,0.0,0.0,Nov,1,1,3,8,Returning_Visitor,False,False
0.0,0.0,3.0,0.0,223.56134,63973.523,0.0,0.0,0.0,1.0,May,2,2,8,4,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,3.0,8042.245,0.0,0.030799158,0.0,1.0,May,2,2,1,3,Returning_Visitor,True,False
2.0,113.873634,0.0,0.0,0.0,1143.0719,0.0,0.0021885133,0.0,0.0,Oct,3,2,6,2,Returning_Visitor,False,False
0.0,3398.75,0.0,0.0,705.0,63973.523,0.0,0.0125,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
17.211388,3398.75,0.0,0.0,2.0,63675.98,0.0,0.0,0.0,0.0,Mar,2,2,1,11,New_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,0.0,0.0034739983,0.2,0.0,1.0,May,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,3.0,0.0,20.946396,33.15728,0.0,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,False
7.0,0.0,0.0,0.0,579.82526,271.29803,0.0,0.004714691,79.07467,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
27.0,3398.75,0.0,0.0,705.0,63973.523,0.0,0.0023826605,0.0,0.0,Jul,6,4,2,7,Returning_Visitor,True,False
7.0,0.0,0.0,0.0,16.355108,3259.084,0.0,0.0105605945,0.0,0.94765973,Feb,1,1,2,4,Returning_Visitor,True,False
0.0,3398.75,24.0,2549.375,9.0,63973.523,0.009090909,0.0125,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
27.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,May,1,2,1,8,Returning_Visitor,False,True
11.0,413.85403,0.0,0.0,0.0,0.0,0.0,0.06420888,0.0,0.0,Aug,2,2,6,6,New_Visitor,True,True
0.0,0.0,0.0,0.0,48.0,634.17804,0.011227476,0.015173705,360.50436,0.0,Oct,1,1,1,2,Returning_Visitor,False,True
8.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,3,2,3,5,Returning_Visitor,False,False
6.0,2710.856,0.0,0.0,6.1066113,3891.4626,0.0,0.011764706,0.0,0.0,Mar,3,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,155.56403,0.014650578,0.0047639194,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.0,163.15192,0.0,0.2,0.0,0.0,Feb,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,468.731,0.0,0.0,0.0,0.0,Oct,1,1,1,2,Returning_Visitor,False,False
10.0,1567.3173,0.0,0.0,1.0,56.456066,0.0,0.13333334,6.483149,1.0,May,2,2,3,2,Returning_Visitor,True,False
1.0,3398.75,3.0,2026.6226,6.0,2036.0153,0.0,0.0,43.91216,0.0,Nov,1,1,6,3,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.21347,0.0,Oct,2,2,1,20,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,6.265197,2320.539,0.0,0.02307672,0.0,0.6,May,2,2,1,3,Returning_Visitor,False,True
0.0,0.0,2.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,1,1,3,2,Returning_Visitor,False,False
