Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.0,25.557083,0.0,0.0,52.50436,725.57275,0.001887613,0.012513623,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,False,False
2.0,180.96066,0.0,0.0,30.0,1285.5546,0.008398177,0.017590199,0.0,0.0,May,2,6,3,3,Returning_Visitor,True,False
3.0,160.4939,0.0,0.0,125.59165,5460.1875,0.0049784253,0.018190067,0.0,0.0,Nov,2,2,1,8,Returning_Visitor,False,False
2.0,45.205414,0.0,0.0,31.0,2100.9692,0.011111111,0.03912572,16.385632,0.0,Nov,2,2,4,2,Returning_Visitor,False,False
3.0,142.73112,2.0,108.59572,19.0,683.32117,0.0072053173,0.017477494,0.0,0.0,Nov,3,2,1,6,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,44.909714,0.0,0.052361596,0.0,1.0,May,1,2,3,2,Returning_Visitor,True,False
4.0,91.96774,0.0,0.0,26.0,488.14673,0.0,0.025,31.70196,0.2,May,2,6,2,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,134.31372,0.033646625,0.0772699,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,False,False
4.0,36.103317,0.0,0.0,4.0,115.06627,0.0,0.014987462,0.0,0.0,Mar,2,4,1,2,New_Visitor,False,False
10.0,381.85757,3.0,172.88774,223.43193,3965.7686,0.007692308,0.01541125,13.22787,0.0,Nov,1,1,2,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,28.242481,886.4262,0.0,0.0017104563,33.91859,0.0,Nov,2,2,2,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,7.0,204.63486,0.0,0.01739802,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,False,False
0.0,0.0,22.921549,2549.375,0.0,0.0,0.2,0.2,0.0,0.0,Mar,2,2,1,6,Returning_Visitor,False,False
1.0,68.02617,2.0,33.37689,44.0,1243.5028,0.0,0.011505237,15.86482,0.0,May,2,4,3,4,Returning_Visitor,False,False
3.0,262.80566,0.0,0.0,18.0,937.44336,0.0,0.015297778,0.0,0.0,Dec,3,2,1,2,Returning_Visitor,False,False
9.0,278.0353,0.0,0.0,61.60664,1553.6543,0.009367374,0.016666668,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,2,2,4,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,24.0,335.00046,0.025,0.03998421,0.0,0.4,May,1,8,2,2,Returning_Visitor,False,False
3.0,120.250626,0.0,0.0,21.0,2349.8845,0.0,0.037815534,0.0,0.0,Sep,2,2,2,1,Returning_Visitor,False,True
2.0,121.231766,0.0,0.0,16.0,458.0766,0.03223833,0.05687055,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.262085,345.96545,0.022796845,0.046464365,0.0,0.0,Nov,3,2,2,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,42.0,1314.9241,0.03683441,0.057438724,0.0,0.0,Jul,2,2,1,1,Returning_Visitor,False,False
