Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,2.0,0.0,6.0,783.86487,0.009090909,0.016666668,0.0,0.0,Nov,1,1,2,2,Returning_Visitor,True,False
1.0,62.726578,0.0,145.5049,24.0,3554.5857,0.0,0.12115467,0.0,0.6,May,2,2,3,2,Returning_Visitor,False,False
0.0,0.0,1.0,0.0,15.0,0.0,0.0040883883,0.03333333,0.0,0.0,May,1,1,4,4,Returning_Visitor,False,False
0.0,0.0,0.0,526.16077,41.0,150.95454,0.0,0.2,0.0,0.0,May,3,2,1,3,Returning_Visitor,False,False
2.0,0.0,0.0,0.0,2.0,14.091076,0.0048626806,0.0077559445,0.0,0.0,May,3,2,1,1,Returning_Visitor,False,True
3.0,0.0,0.0,0.0,1.0,3310.4292,0.003105946,0.01603825,0.0,0.0,May,2,2,2,4,Returning_Visitor,False,True
1.0,8.949783,0.0,0.0,15.0,264.40326,0.0,0.014032007,0.0,0.0,May,2,2,4,4,Returning_Visitor,False,True
5.0,84.35641,0.0,0.0,8.983915,1386.0604,0.0,0.015991198,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,True
0.0,99.95802,1.0,0.0,11.0,914.121,0.024659308,0.023920061,0.0,0.0,May,3,2,1,13,Returning_Visitor,False,True
9.0,29.025932,1.0,0.0,19.0,257.1393,0.0,0.030210141,0.0,0.0,May,2,2,4,4,Returning_Visitor,False,False
0.0,53.819298,0.0,0.0,39.221306,58.060547,0.009898888,0.0074575585,38.30924,0.0,May,2,2,4,2,Returning_Visitor,False,True
3.0,0.0,0.0,0.0,34.568153,0.0,0.024324981,0.043447755,0.0,0.0,May,3,2,1,13,Returning_Visitor,False,True
5.0,0.0,0.0,0.0,8.0,449.34552,0.0058087497,0.05033812,0.0,0.4,May,2,2,1,4,Returning_Visitor,False,False
1.0,12.453859,6.2509007,0.0,21.0,734.8803,0.0,0.06666667,0.0,0.0,May,2,2,7,2,Returning_Visitor,False,True
7.0,693.6516,0.0,0.0,33.0,358.63385,0.0,0.017128827,1.4560659,0.0,May,3,2,1,4,Returning_Visitor,False,False
3.0,5.0,0.0,43.156628,31.0,144.82422,0.0,0.0031817947,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,False
4.0,183.74304,0.0,0.0,6.0,193.5302,0.0,0.06666667,0.0,0.0,May,1,1,3,2,Returning_Visitor,False,True
2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0024293815,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,False
6.0,0.0,3.0,0.0,39.0,0.0,0.0,0.03680555,0.0,0.0,May,2,4,2,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,59.867256,753.8135,0.0069425935,0.2,0.0,0.0,May,2,2,2,6,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.3873231,0.0,0.0,0.053036563,0.0,0.0,May,2,2,7,10,Returning_Visitor,False,False
0.0,68.56586,0.0,0.0,55.43208,3710.8376,0.0,0.038431894,0.0,0.0,May,2,10,3,2,Returning_Visitor,False,False
9.0,0.0,0.0,0.0,13.0,11.82855,0.028571429,0.020039253,50.372257,0.0,May,2,2,4,3,Returning_Visitor,False,True
1.0,306.5178,0.0,88.95927,115.877396,4239.6064,0.0057736505,0.2,4.2722464,0.0,May,2,5,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,73.01474,2536.372,0.0,0.09932112,0.0,0.0,May,2,2,3,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,5.5211134,583.986,0.2,0.1,63.35346,0.0,May,3,2,1,13,Returning_Visitor,False,True
0.0,189.65492,0.0,0.0,2.0,50.530895,0.0,0.011437517,51.455807,0.0,May,3,2,1,11,Returning_Visitor,False,True
3.0,0.0,0.0,82.06714,7.0,2034.5228,8.192141e-05,0.1,0.0,0.0,May,2,2,6,13,Returning_Visitor,False,False
0.0,0.0,0.0,483.2398,10.0,0.0,0.0,0.2,0.0,0.0,May,2,2,1,6,Returning_Visitor,False,False
5.0,59.97366,3.8739235,0.0,20.0,0.0,0.0,0.04,0.0,0.0,May,1,1,1,4,Returning_Visitor,False,False
0.0,0.0,2.0,0.0,6.0,2147.7437,0.017839842,0.058165357,27.80777,0.0,May,3,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,216.37949,47.0,1878.141,0.2,0.011111111,0.0,0.0,May,2,2,1,2,Returning_Visitor,False,False
1.0,148.91956,0.0,367.72818,13.0,615.3271,0.0,0.006383231,0.0,0.0,May,3,3,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,11.0,725.60846,0.06666667,0.03814583,3.4358003,0.8,May,3,2,1,6,Returning_Visitor,False,True
1.0,0.0,0.0,0.0,14.0,41.93015,0.0033072575,0.022222223,0.0,0.0,May,3,2,1,13,Returning_Visitor,False,False
2.0,184.88802,0.0,0.0,7.9014306,2159.8772,0.0,0.022222223,0.0,0.0,May,3,2,1,4,Returning_Visitor,False,False
1.0,76.78654,0.0,0.0,23.0,864.4601,0.0,0.004982294,0.0,0.0,May,2,5,7,4,Returning_Visitor,False,True
2.0,11.603025,0.0,0.0,23.0,2525.6262,0.0,0.1,0.0,0.0,May,3,2,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.122895,1705.643,0.2,0.01916024,0.0,0.0,May,1,1,1,4,Returning_Visitor,False,False
