CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
700.68677,France,Male,36.0,1.0,0.0,2.0,1,0,40446.402,0
788.91406,Germany,Female,29.0,2.0,127017.44,1.0,1,0,164763.25,0
672.45044,Spain,Male,52.0,8.0,93874.99,1.0,1,0,147489.11,1
598.04895,Germany,Male,47.0,8.0,169944.27,1.0,1,0,16456.227,1
694.72754,France,Male,31.0,6.0,0.0,2.0,1,0,13847.489,0
683.3086,Spain,Male,38.0,9.0,96323.86,2.0,1,0,63264.17,0
603.95166,Germany,Male,40.0,9.0,128549.43,1.0,1,0,158135.44,1
764.8915,Germany,Male,55.0,5.0,91145.68,2.0,1,1,161280.47,0
535.71844,Spain,Male,28.0,8.0,61870.945,1.0,0,0,189136.88,0
656.61664,France,Female,55.0,8.0,127978.12,1.0,1,1,143264.31,0
753.0706,Germany,Female,32.0,0.0,104094.01,1.0,1,1,148367.52,0
486.81937,Spain,Male,21.0,10.0,0.0,2.0,1,1,41491.965,0
564.3172,France,Female,39.0,1.0,128687.78,1.0,1,0,196595.31,1
633.0,France,Male,31.0,7.0,0.0,1.0,1,0,74786.664,0
690.9923,France,Female,40.0,5.0,0.0,2.0,1,0,47882.45,0
486.4094,France,Female,49.0,2.0,107860.22,1.0,1,0,30049.53,1
580.52997,France,Male,50.0,2.0,0.0,2.0,1,0,191224.02,1
509.2524,Spain,Female,34.0,6.0,0.0,2.0,1,1,19845.809,0
490.65237,Germany,Male,26.0,0.0,126287.484,1.0,0,0,30854.588,1
792.27,Germany,Male,59.0,4.0,141581.03,1.0,0,1,135056.03,0
719.33624,Spain,Female,58.0,1.0,164590.62,2.0,0,1,136292.45,0
700.23584,France,Female,37.0,9.0,0.0,2.0,0,0,143993.28,0
785.98065,France,Male,46.0,5.0,96470.98,1.0,1,0,78176.67,0
614.5514,France,Female,58.0,4.0,0.0,2.0,1,0,188696.66,1
687.8342,France,Male,60.522564,8.0,87153.36,1.0,1,0,170081.81,0
640.9936,Germany,Male,40.0,7.0,117153.01,1.0,1,0,49064.46,0
850.0,France,Male,40.0,3.0,115370.72,2.0,1,1,82471.53,0
616.3535,France,Female,30.0,1.0,167709.8,1.0,0,0,134822.94,0
630.49774,France,Male,22.384312,4.0,125627.58,2.0,0,0,142557.08,0
774.8168,France,Male,44.0,8.0,124179.516,1.0,1,0,199956.56,0
742.8027,France,Male,58.0,6.0,121807.61,1.0,0,1,26970.264,0
