year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2011,6,27,22,86.0,17.0,24.0,1002.0,SE,4.02,0.0,0.0
2011,9,2,1,46.0,14.0,18.0,1012.0,NW,4.92,0.0,0.0
2010,3,29,15,116.53004,-7.0,14.0,1020.0,SE,16.54,0.0,0.0
2011,3,11,6,59.0,-15.0,-3.0,1020.17755,NW,1.79,0.0,0.0
2011,4,5,17,166.0,0.0,16.0,1016.0,NW,14.584039,0.0,0.0
2014,4,23,11,86.0,4.0,23.0,1013.0,NW,6.71,0.0,0.0
2013,7,21,14,19.0,18.0,32.0,1003.0,NE,4.0141,0.0,0.0
2011,12,27,1,153.83482,-11.0,-6.0,1033.0,NW,11.18,0.0,0.0
2010,12,17,20,54.212486,-19.0,1.1309721,1014.0,NW,47.603657,0.0,0.0
2014,6,18,20,76.60778,17.0,28.0,1004.0,SE,18.78,0.0,0.0
2010,11,16,12,177.0,0.0,3.0,1023.0,SE,140.03635,0.0,0.0
2014,3,17,3,150.06857,-5.0,4.0,1011.0,NW,3.58,0.0,0.0
2012,8,25,20,85.0,17.0,24.0,1011.0,SE,15.658072,0.0,0.0
2014,1,18,17,105.0,-19.0,3.0,1031.0,SE,16.54,0.0,0.0
2011,9,8,1,35.0,17.0,18.0,1011.0,NW,1.79,0.0,0.0
2014,4,2,10,42.0,0.0,19.0,1018.0,SE,9.39,0.0,0.0
2011,12,22,8,24.0,-16.0,-2.0,1032.0,NW,21.90807,0.0,0.0
2010,8,26,11,59.0,17.111475,28.0,1015.0,NW,14.75,0.0,0.0
2011,2,23,3,475.89728,-5.7258058,-4.0,1020.0,NW,3.13,0.0,0.0
2011,7,10,5,95.28702,20.0,23.0,1006.0,SE,3.13,0.0,0.0
2010,12,14,12,20.0,-15.0,6.0,1025.0,NE,7.590182,0.0,0.0
2012,1,11,3,184.0,-8.0,-3.0,1027.0,cv,1.78,0.0,0.0
2010,11,30,8,157.0,-1.0,1.0,1019.0,NW,6.26,0.0,0.0
2012,4,15,1,66.0,7.0,19.0,1008.0,SE,56.85278,0.0,0.0
2011,5,10,17,36.0,-6.0,23.0,1010.0,NW,119.77631,0.0,0.0
2012,6,15,20,17.0,11.0,21.0,1009.0,NW,5.81,0.0,0.0
2011,7,15,0,73.0,21.0,24.0,1005.1377,SE,4.92,0.0,0.0
2014,3,20,12,11.0,-16.0,16.0,1027.0,NW,46.18358,0.0,0.0
2011,1,16,14,21.0,-19.0,-1.0,1031.0,NW,139.0538,0.0,0.0
2014,8,21,6,131.0,20.919687,23.0,1009.0,SE,2.67,0.0,0.0
2013,3,17,4,129.52133,0.0,6.0,1008.0,NW,12.060852,0.0,0.0
2013,9,25,7,19.0,-1.0,12.0,1022.6657,NW,15.191435,0.0,0.0
2013,12,18,1,27.0,-19.0,0.0,1024.0,NW,7.16,0.0,0.0
