year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2014,3,4,12,271.86856,-5.0,6.0,1021.0,NW,2.67,0.0,0.0
2011,2,13,7,53.086742,-6.0,-7.0,1029.0,SE,59.40746,6.8367114,0.0
2013,3,14,16,12.414708,-21.0,12.0,1017.0,NW,71.15672,0.0,0.0
2013,10,12,8,126.01388,7.0,13.0,1018.0,cv,1.78,0.0,0.0
2012,10,11,4,120.828026,7.0,12.0,1014.0,SE,4.92,0.0,1.0
2014,7,18,18,85.0,23.0,32.0,1005.0,SE,3.13,0.0,0.0
2010,11,11,0,498.27765,-1.0,0.52473754,1020.0,NW,0.89,0.0,0.0
2014,12,16,5,173.24838,-11.0,-5.0,1030.0,NW,3.13,0.0,0.0
2010,4,11,2,54.0,1.0,5.0,1020.0,cv,1.78,0.0,0.0
2013,5,2,14,77.01673,6.0,19.0,1013.0,SE,32.625595,0.0,0.0
2012,7,5,20,109.0,23.0,25.0,1003.0,NW,4.02,0.0,0.0
2012,11,5,21,39.95645,-3.0,7.0,1024.0,NW,459.39874,0.0,0.0
2013,7,23,20,57.45177,19.0,26.0,1000.0,SE,27.534292,0.0,0.0
2014,12,10,0,12.0,-18.0,-4.0,1032.0,NW,78.56878,0.0,0.0
2011,12,6,17,23.0,-16.0,0.77568126,1029.0,NW,390.88757,0.0,0.0
2011,8,8,10,85.0,23.0,28.0,1002.0,cv,0.89,0.0,0.0
2013,9,14,7,28.0,7.0,20.0,1010.0,NW,27.275166,0.0,0.0
2013,7,15,3,50.0,21.0,23.0,995.25793,NE,0.89,0.0,8.647636
2010,7,31,10,271.0576,23.0,26.0,1008.0,SE,48.51567,0.0,0.0
2011,8,17,22,70.0,21.0,24.0,1008.0,SE,30.40328,0.0,0.0
2012,9,26,12,28.0,8.0,24.0,1020.0,SE,3.13,0.0,0.0
2011,5,13,4,35.0,-6.0,18.0,1011.0,NW,125.11437,0.0,0.0
2012,10,11,6,93.0,4.0,4.0,1018.0,NW,4.92,0.0,0.0
2012,7,10,7,26.0,21.0,24.0,1004.0,cv,0.89,0.0,0.0
2014,3,29,19,50.0,0.0,17.0,1010.0,NE,0.89,0.0,0.0
2013,3,12,1,247.92456,0.0,5.0,1007.0,cv,0.89,0.0,0.0
2013,9,1,1,105.0,19.0,21.0,1008.0,NW,6.71,0.0,2.0
2010,5,20,14,59.0,1.0,32.0,1004.0,SE,8.05,0.0,0.0
2013,4,28,4,17.0,-14.0,10.0,1014.0,NW,115.35068,0.0,0.0
2013,11,3,1,243.33325,1.0,6.0,1024.0,cv,0.89,0.0,0.0
2013,7,11,7,60.0,22.0,24.0,1006.0,SE,51.598614,0.0,0.0
2014,6,1,18,38.590107,15.0,26.0,1007.0,cv,1.79,0.0,0.0
2010,8,16,20,100.031845,23.0,29.0,1002.0,SE,26.971056,0.0,0.0
2011,5,25,15,22.0,6.0,27.0,1010.0,NW,242.20049,0.0,0.0
2011,7,14,1,67.47768,20.0,25.0,1003.0,NW,13.86,0.0,0.0
2013,12,7,7,37.0,-17.0,-10.0,1027.0,NE,3.13,0.0,0.0
2011,10,10,20,21.0,4.0,11.0,1027.0,NW,8.95,0.0,0.0
2013,6,29,2,80.0,20.0,22.069513,1003.0,SE,35.626984,0.0,0.0
2013,3,29,21,65.0,-7.0,5.0,1021.0,SE,15.2,0.0,0.0
2013,8,1,7,26.0,20.162647,23.0,1002.0,NE,0.89,0.0,0.0
2012,5,6,0,68.0,11.0,16.0,1006.0,NE,1.79,0.0,0.0
2011,10,4,13,60.891613,11.0,18.0,1021.0,cv,1.78,0.0,0.0
2012,8,15,7,75.0,19.0,20.0,1009.0,NW,6.26,0.0,0.0
2011,2,16,12,12.131405,-22.0,-1.0,1030.0,NW,17.88,0.0,0.0
2012,5,31,16,63.0,11.0,28.0,1005.0,SE,35.76113,0.0,0.0
2011,11,21,15,32.0,-12.0,10.506724,1024.0,NW,33.526398,0.0,0.0
2014,5,15,5,131.0,10.0,14.0,1004.0,NW,1.79,0.0,0.0
2013,8,18,11,18.0,15.0,30.0,1008.0,cv,0.89,0.0,0.0
2012,9,27,0,210.99132,13.0,16.0,1018.0,NE,1.78,0.0,0.0
2010,1,11,11,19.595713,-20.0,-6.0,1036.0,NW,72.57535,0.0,0.0
2011,1,24,3,24.0,-18.985449,-5.0,1030.0,NW,39.24622,0.0,0.0
2011,8,4,16,101.06168,21.0,30.0,1005.0,SE,18.323103,0.0,0.0
2012,5,5,1,94.0,11.0,16.0,1013.4349,NE,0.89,0.0,0.0
2014,5,4,23,52.0,4.0,13.0,1007.0,NW,7.6,0.0,0.0
2011,12,28,18,17.0,-16.0,-1.0,1032.0,NW,128.44019,0.0,0.0
2012,3,9,7,117.0,-1.0,0.0,1024.5942,NE,0.89,0.0,3.0
2010,9,8,4,159.0,17.0,18.0,1015.0,NE,1.79,0.0,0.0
2013,3,21,5,157.21803,-2.0,2.0,1010.0,NW,6.249294,0.0,0.0
2010,2,20,2,129.0,-10.0,-4.0,1014.0,cv,0.89,0.0,0.0
2010,12,17,14,105.0,-19.0,8.0,1012.0,SE,12.52,0.0,0.0
2010,5,31,8,75.51912,12.0,20.0,1017.0,SE,8.5,0.0,0.0
2012,11,14,3,113.0,-5.0,-1.0,1024.0,cv,1.79,0.0,0.0
2012,8,16,17,42.0,19.0,30.0,1007.0,SE,24.59,0.0,0.0
2012,3,30,22,59.599693,-5.0,6.0,1023.0,SE,55.267494,0.0,0.0
