Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3.0,153.0136,0.0,0.0,9.0,559.16626,0.0,0.0010517661,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,True,False
3.0,63.060127,0.0,0.0,44.880596,836.67816,0.009541188,0.026706103,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
5.0,114.648575,1.0,97.50378,39.0,2975.0933,0.0,0.009529341,0.0,0.0,Jul,2,2,1,8,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,149.71872,0.0,0.00954833,0.0,0.0,Dec,3,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,483.1188,0.0,0.02,0.0,0.0,Nov,3,2,7,2,Returning_Visitor,True,False
2.0,37.165154,3.0,22.48812,61.452694,2060.2607,0.012682696,0.027195048,7.5456343,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
2.0,43.809616,0.0,0.0,13.0,422.6974,0.0,0.018181818,0.0,0.0,Dec,2,2,9,8,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,21.0,498.2095,0.0125,0.05,0.0,0.0,Nov,4,1,2,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,8.0,549.1106,0.04122131,0.08530131,0.0,0.0,Dec,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,203.32434,0.044977345,0.071407706,0.0,0.0,Nov,2,2,1,13,Returning_Visitor,False,False
8.0,276.7774,2.0,54.010136,38.59858,1028.7968,0.0,0.010015253,0.0,0.0,Mar,1,1,4,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,5.0,28.982708,0.0989722,0.15877189,0.0,0.0,May,3,2,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,71.59854,0.06105445,0.07138468,0.0,0.0,Nov,3,2,9,3,Returning_Visitor,False,False
6.0,117.94106,2.0,44.989502,49.0,2229.356,0.0017960045,0.012499353,0.0,0.0,Dec,2,2,3,4,Returning_Visitor,False,False
4.0,119.221436,0.0,0.0,56.0,2416.8906,0.0015460011,0.015384615,2.602351,0.0,May,2,2,3,13,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,13.0,630.51526,0.023228392,0.04,0.0,0.0,June,1,1,1,4,Returning_Visitor,False,False
2.7480195,168.03877,0.0,0.0,18.0,1196.9562,0.005590866,0.03333333,0.0,0.0,May,3,2,9,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,73.473015,1406.5422,0.0,0.0048479326,0.0,0.0,Dec,3,2,3,2,New_Visitor,False,False
1.0,5.3036356,0.0,0.0,8.0,60.302982,0.050899643,0.08872498,0.0,0.8,May,1,1,3,2,Returning_Visitor,False,False
2.0,48.794567,0.0,0.0,37.0,1539.311,0.0055876668,0.008959995,24.157358,0.0,Jul,2,2,1,2,New_Visitor,True,True
0.0,0.0,0.0,0.0,19.0,423.69034,0.020481294,0.043286484,0.0,0.0,May,3,2,3,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,26.268723,1644.8151,0.0,0.021451516,0.0,0.0,Jul,2,2,3,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,24.0,913.2875,0.0405798,0.07936886,0.0,0.8,May,3,2,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,18.05636,1169.9127,0.029397903,0.055600155,0.0,0.0,Nov,1,1,4,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,12.0,1982.373,0.082916126,0.12280363,0.0,0.0,May,2,2,2,1,Returning_Visitor,False,False
3.0,61.598083,0.0,0.0,11.0,264.66647,0.0,0.023237566,0.0,0.0,Mar,2,2,6,2,Returning_Visitor,False,False
5.0,134.75438,0.0,0.0,37.682423,3061.995,0.004531406,0.022222223,10.778467,0.0,Nov,2,2,3,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,9.0,190.93307,0.00717827,0.029991101,0.0,0.0,Nov,1,1,4,2,Returning_Visitor,False,False
8.0,126.02843,1.0,9.642326,78.77201,3003.01,9.353694e-05,0.016666668,0.0,0.0,Nov,2,2,6,2,Returning_Visitor,False,False
3.0,44.677685,0.0,0.0,9.0,647.0495,0.0,0.032220863,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,1072.958,0.0,0.022222223,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,19.0,687.1288,0.0,0.026190748,0.0,0.0,Mar,2,4,6,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,80.97728,0.0,0.06032035,0.0,0.0,Nov,2,2,7,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,17.0,555.45264,0.006666667,0.038691692,10.74569,0.0,Jul,1,1,2,4,Returning_Visitor,False,False
