Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,10.446395,242.53957,0.0,0.025,0.0,0.0,May,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,14.92075,0.04,0.14500752,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,102.640495,0.035583984,0.06666667,0.0,0.0,Nov,2,2,7,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,92.85658,0.0,0.04262483,0.0,0.0,Dec,2,2,3,8,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,61.540936,0.06666667,0.09031375,0.0,0.0,Nov,3,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,120.22825,0.0,0.05,0.0,0.0,Nov,4,1,3,2,Returning_Visitor,False,False
3.0,46.859634,2.0,60.86615,25.304335,1025.6799,0.012223039,0.019021397,27.575436,0.0,Dec,1,2,1,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,6.0,161.59967,0.012740486,0.04,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,True,False
2.0,20.727434,0.0,0.0,17.0,331.53912,0.0,0.021002697,0.0,0.0,May,1,1,1,4,Returning_Visitor,False,False
3.0,61.0408,0.0,0.0,7.0,281.67288,0.0,0.011073134,0.0,0.0,Aug,3,2,2,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,22.263683,379.36273,0.0,0.028571429,0.0,0.0,Dec,1,1,1,1,Returning_Visitor,False,False
4.0,100.41858,2.0,34.990128,56.0,2748.5596,0.007409594,0.021837372,22.851974,0.0,Aug,2,4,9,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.0,308.06683,0.0,0.021429831,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,25.0,658.74054,0.02297462,0.05,0.0,0.0,Dec,2,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,26.0,1046.2651,0.023275226,0.05,0.0,0.6,May,2,4,1,1,Returning_Visitor,False,False
6.0,55.58067,0.0,0.0,26.0,802.502,0.0,0.014341878,0.0,0.0,Dec,2,2,7,1,Returning_Visitor,False,False
2.0,58.726006,0.0,0.0,44.0,1158.1211,0.0042234417,0.012014118,0.0,0.0,Dec,1,1,1,2,Returning_Visitor,False,False
6.127663,97.83816,0.0,0.0,73.4438,2513.4414,0.0045433,0.023003737,16.243134,0.0,Nov,2,2,4,8,Returning_Visitor,False,False
4.0,47.58902,0.0,0.0,7.0,116.2759,0.0,0.02539085,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,26.578367,899.55566,0.018048503,0.0409961,0.0,0.0,Nov,2,2,7,1,Returning_Visitor,False,False
4.0,39.2354,0.0,0.0,65.24022,2255.739,0.004100758,0.01887846,0.0,0.0,Nov,2,2,7,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,546.8837,0.0,0.034009628,0.0,0.0,May,2,5,1,3,Returning_Visitor,False,False
5.0,185.7797,0.0,0.0,46.0,1596.6289,0.0,0.0064863386,53.450573,0.0,Nov,2,2,4,2,Returning_Visitor,True,True
5.0,152.77951,0.0,0.0,13.197293,471.27667,0.0,0.0125,0.0,0.0,Dec,2,2,1,3,New_Visitor,True,False
0.0,0.0,0.0,0.0,21.811897,426.40628,0.023799727,0.054987106,0.0,0.0,Dec,4,1,3,1,Returning_Visitor,True,False
3.254053,90.354515,0.0,0.0,26.0,645.44324,0.0,0.011524595,17.381561,0.0,May,1,8,1,4,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,33.091152,1494.0396,0.0070479806,0.028695349,0.0,0.4,May,2,5,8,1,Returning_Visitor,False,False
5.0,102.080185,0.0,0.0,49.514187,1630.6909,0.006666667,0.023619134,0.0,0.0,Nov,1,1,2,8,Returning_Visitor,True,True
4.0,54.716793,0.0,0.0,24.967184,364.93692,0.0062443465,0.016683105,0.0,0.0,May,3,2,1,4,Returning_Visitor,False,False
5.0,64.35818,0.0,0.0,40.327507,1123.3281,0.009421956,0.037205562,23.63947,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
3.0,69.86556,0.0,0.0,2.0,27.32451,0.0,0.03894244,0.0,0.0,Dec,1,1,4,8,New_Visitor,False,False
0.0,0.0,0.0,0.0,28.0,1190.8723,0.026858672,0.05,0.0,0.0,Aug,2,4,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,11.627675,277.98502,0.0,0.014285714,0.0,0.0,Dec,3,2,3,2,New_Visitor,True,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,500.0882,0.041558307,0.09428483,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,False
3.0,53.594387,0.0,0.0,64.94302,2232.3914,0.0,0.007904037,12.688732,0.0,Nov,3,2,1,2,Returning_Visitor,True,True
2.0,13.41585,0.0,0.0,24.057966,991.2,0.022638423,0.03892487,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.133479,70.87956,0.0,0.037956025,0.0,0.6,May,2,2,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,37.081676,937.60693,0.0069700866,0.027263263,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,46.908688,1472.0756,0.009252921,0.025,0.0,0.0,Jul,2,2,7,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,640.85,0.02,0.044979908,0.0,0.0,Mar,2,2,7,13,Returning_Visitor,False,False
4.552393,77.81558,0.0,0.0,29.0,1021.1776,0.0,0.016204277,0.0,0.0,Sep,2,2,9,11,Returning_Visitor,False,False
3.0,50.243603,0.0,0.0,18.0,494.31296,0.0,0.017438997,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,False
0.0,0.0,1.0,27.840408,36.63939,1462.054,0.0022692657,0.008854417,29.570354,0.0,Dec,2,2,1,2,Returning_Visitor,False,True
3.0,42.8214,0.0,0.0,32.0,693.95197,0.0,0.018181818,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,18.715971,610.84357,0.0,0.008333333,78.78698,0.0,Dec,2,2,1,2,New_Visitor,False,True
0.0,0.0,0.0,0.0,24.0,1577.7252,0.018181818,0.040301446,0.0,0.0,Nov,2,2,6,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,681.97943,0.007524412,0.015384615,0.0,0.0,Nov,1,1,3,6,Returning_Visitor,False,False
3.0,41.117397,0.0,0.0,28.0,588.3232,0.0,0.009899699,15.255697,0.0,Nov,1,1,2,2,Returning_Visitor,True,True
0.0,0.0,3.0,29.07169,39.0,1286.6716,0.0,0.010322487,0.0,0.0,Dec,1,1,1,2,Returning_Visitor,False,False
2.0,44.570564,0.0,0.0,18.0,594.47156,0.0,0.027120374,0.0,0.0,Dec,2,6,4,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,8.979603,332.00232,0.0,0.029910112,0.0,0.0,May,2,2,3,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,10.0,438.38718,0.014681988,0.06972764,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,3.0,65.91754,0.0,0.04876866,0.0,0.0,Mar,3,2,1,3,Returning_Visitor,True,False
2.0,41.001747,1.0,39.88809,36.0,1089.7172,0.0,0.010291844,0.0,0.0,Dec,2,5,3,2,Returning_Visitor,False,False
3.0,34.03267,0.0,0.0,19.46748,441.63422,0.007348934,0.03333333,0.0,0.0,Jul,3,2,1,3,Returning_Visitor,True,False
