Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3.0,84.58833,0.0,0.0,10.0,238.70715,0.0,0.021782247,0.0,0.0,May,2,2,3,1,New_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,4,1,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,21.0,622.07367,0.009732592,0.031259466,0.0,0.0,Nov,1,1,3,10,Returning_Visitor,False,False
5.0,101.83344,0.0,0.0,8.0,156.65877,0.0,0.028057514,0.0,0.0,Dec,4,1,4,8,Returning_Visitor,False,False
2.0,147.91193,0.0,0.0,20.082094,822.1445,0.018128369,0.040553752,0.0,0.0,Nov,3,2,1,10,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,6.0,123.6264,0.0,0.027986454,0.0,0.0,Mar,2,2,4,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.950945,186.45839,0.0,0.02,0.0,0.0,Mar,3,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,255.32924,0.0,0.025,0.0,0.0,Dec,2,2,7,13,Returning_Visitor,False,False
0.0,0.0,1.0,84.253395,28.0,1029.4381,0.0,0.012017973,0.0,0.0,Nov,2,2,2,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,18.768366,317.11926,0.0,0.02830117,0.0,0.0,Nov,2,4,7,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,19.0,752.0434,0.0,0.04,0.0,0.0,Jul,2,2,4,10,Returning_Visitor,False,False
2.0,26.148947,0.0,0.0,17.192247,463.74353,0.010594524,0.03333333,18.181005,0.0,Sep,4,1,1,1,Returning_Visitor,False,False
3.0,42.25379,0.0,0.0,70.52044,2733.1309,0.0,0.005222802,32.498425,0.0,Dec,2,4,3,2,Returning_Visitor,False,False
3.0,84.99158,0.0,0.0,18.948462,1003.65015,0.0,0.02613601,0.0,0.0,Nov,2,2,7,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,31.0,935.43555,0.009539593,0.026272485,0.0,0.0,Nov,1,2,2,2,Returning_Visitor,True,False
7.0,164.50566,0.0,0.0,8.980058,177.89989,0.0,0.028571429,0.0,0.0,Oct,3,2,9,2,Returning_Visitor,True,False
3.0,83.83625,0.0,0.0,34.280666,1384.7578,0.0,0.011996652,44.3602,0.0,Dec,1,1,1,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,11.0,325.15134,0.0,0.03333333,0.0,0.0,May,2,2,6,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,23.931074,1066.2427,0.0,0.00565182,19.894766,0.0,Nov,2,2,2,2,New_Visitor,True,True
5.0,124.083496,2.0,102.48538,43.0,1029.6364,0.006411602,0.015433319,0.0,0.0,Dec,3,2,1,1,Returning_Visitor,False,False
4.0,77.70002,0.0,0.0,23.0,645.01953,0.0,0.013333333,0.0,0.0,Oct,4,1,7,8,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,347.81836,0.0,0.037916515,0.0,0.0,Dec,2,6,3,6,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,10.0,185.0472,0.03333333,0.07279949,0.0,0.0,Dec,1,1,3,3,Returning_Visitor,False,False
0.0,0.0,1.0,27.918234,66.548744,2782.262,0.008551555,0.027266838,0.0,0.0,Jul,2,2,1,2,Returning_Visitor,False,False
8.0,152.77254,3.0,107.91702,53.0,1682.2308,0.0070784288,0.03062911,0.0,0.0,Dec,2,2,3,1,Returning_Visitor,True,False
4.0,78.34592,0.0,0.0,30.0,1051.4692,0.008167026,0.020393807,0.0,0.0,Dec,1,1,7,3,Returning_Visitor,False,False
4.0,73.28665,0.0,0.0,9.0,312.44144,0.0,0.015968304,0.0,0.0,Dec,2,2,7,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,111.169136,0.0,0.05,0.0,0.0,Dec,1,1,7,8,Returning_Visitor,False,False
1.0,0.0,0.0,0.0,22.0,430.1802,0.0,0.027230792,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,10.0,228.67485,0.0,0.041474845,0.0,0.0,Nov,1,1,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,148.87483,0.0,0.03623356,0.0,0.0,Dec,2,4,3,1,Returning_Visitor,False,False
4.0,100.54095,0.0,0.0,16.0,436.29,0.008333333,0.031136453,0.0,0.0,Dec,2,4,1,1,Returning_Visitor,False,False
1.0,28.48678,0.0,0.0,64.09458,2566.7412,0.003158188,0.011764706,9.504617,0.0,Dec,2,2,1,1,Returning_Visitor,True,True
3.0,62.272156,1.0,0.0,16.0,397.2156,0.00609899,0.03175304,0.0,0.0,Dec,1,2,1,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,48.0,1822.6075,0.0052466514,0.02371987,0.0,0.0,Dec,3,2,3,2,Returning_Visitor,True,False
4.0,85.636116,1.0,44.668114,28.107786,945.16693,0.0,0.016154258,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,29.0,1263.9268,0.0063081016,0.03447303,0.0,0.0,Dec,2,4,6,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,74.12808,0.0,0.06260273,0.0,0.0,May,2,4,6,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,244.5479,0.0326593,0.076671295,0.0,0.0,Dec,1,1,6,2,Returning_Visitor,False,False
8.0,166.32137,3.0,118.29638,82.664474,2613.846,0.007692308,0.026614433,8.835399,0.0,Dec,2,2,1,3,Returning_Visitor,False,False
