Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,219.70345,1966.3982,0.1,0.032089103,0.0,0.0,Oct,1,8,1,13,Returning_Visitor,False,False
6.0,2865.5215,0.0,0.0,33.41684,792.4216,0.2,0.2,0.0,0.0,Nov,2,12,8,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,123.071396,1473.0465,0.0,0.2,0.0,0.0,June,1,8,3,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,568.0506,0.08684064,0.016666668,0.0,0.0,Sep,2,12,6,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,129.82037,1397.2351,0.1480874,0.02530022,0.0,0.0,Sep,3,12,3,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,166.72527,622.33765,0.0,0.03333333,0.0,0.0,June,2,5,6,13,Returning_Visitor,True,False
8.0,2851.5664,0.0,0.0,34.0,682.33673,0.1,0.2,79.19678,0.0,Sep,2,12,1,20,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,118.5653,1355.8398,0.08269908,0.029758053,0.0,0.0,Dec,2,12,6,20,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,1.0,1378.2095,0.0,0.018292392,0.0,0.0,Sep,3,12,2,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,744.7482,0.12654762,0.2,0.0,0.0,Nov,2,12,1,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,41.538082,143.5247,0.1,0.2,0.0,0.0,Nov,2,12,2,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,226.48763,1134.0411,0.0,0.02319661,0.0,0.0,Oct,2,12,1,13,Returning_Visitor,False,False
6.0,2539.1094,22.706486,2549.375,57.673492,1174.0275,0.07701764,0.2,64.042015,0.0,Nov,2,12,6,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,117.9968,0.0,0.0,0.2,0.0,0.0,Nov,2,8,2,20,New_Visitor,True,False
6.0,2673.1482,0.0,0.0,6.0,268.46948,0.09268152,0.2,0.0,0.0,Sep,1,8,3,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,116.27512,1649.9916,0.19653454,0.03333333,0.0,0.0,Nov,1,8,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,186.49736,566.276,0.0,0.031128736,0.0,0.0,June,2,12,6,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,21.0,780.666,0.0,0.2,82.6765,1.0,Dec,3,12,8,3,Returning_Visitor,False,True
4.0,1939.6188,21.41077,2549.375,5.0,573.7558,0.06666667,0.2,0.0,0.0,Sep,3,12,1,3,Returning_Visitor,False,False
4.0,1864.6154,21.8695,2549.375,63.28633,1195.8439,0.07977623,0.2,76.70814,0.0,June,2,12,3,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,160.07869,1106.7402,0.100860745,0.029755414,0.0,0.0,Nov,1,8,8,20,Returning_Visitor,False,False
5.0,2145.117,0.0,0.0,1.0,900.2402,0.16835508,0.2,0.0,0.0,Oct,2,12,2,3,Returning_Visitor,False,False
2.0,1610.4617,0.0,0.0,52.50927,577.16895,0.0,0.16528589,0.0,0.0,Sep,2,12,3,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,78.79303,1517.5018,0.17139415,0.032207232,0.0,0.0,Sep,3,12,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,166.14261,1226.6519,0.1161838,0.02135768,0.0,0.0,Sep,1,8,1,3,Returning_Visitor,False,False
4.0,2242.9087,0.0,0.0,135.1341,1832.0016,0.0,0.2,0.0,0.0,Sep,2,12,1,20,Returning_Visitor,False,False
4.0,2753.5322,0.0,0.0,135.6225,35.22889,0.067263626,0.013583011,0.0,0.0,June,3,12,1,20,Returning_Visitor,True,False
4.0,1757.5311,20.578627,0.0,3.0,154.0606,0.0,0.06334533,0.0,0.0,Nov,2,12,1,13,Returning_Visitor,False,False
4.0,2495.9363,0.0,0.0,52.0,720.595,0.06666667,0.2,0.0,0.0,Nov,1,8,6,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,78.371414,540.0195,0.08140253,0.016666668,0.0,0.0,Dec,2,12,8,20,Returning_Visitor,True,False
4.0,2084.845,0.0,0.0,168.38521,1993.404,0.0,0.03440766,0.0,0.0,Sep,2,12,2,20,New_Visitor,False,False
0.0,0.0,0.0,0.0,251.40718,1184.698,0.0,0.014285714,0.0,0.0,June,2,12,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,81.11813,1650.2222,0.16867177,0.03333333,0.0,0.0,Dec,2,12,8,13,Returning_Visitor,False,False
5.0,1997.4646,7.752135,0.0,156.10461,1462.7524,0.06666667,0.029589836,0.0,0.0,Dec,3,12,1,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,122.03348,0.0,0.1,0.02816377,0.0,0.0,Oct,1,8,3,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,209.99187,697.7751,0.0,0.017660327,0.0,0.0,Dec,3,12,3,5,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,18.0,403.02466,0.07730325,0.018316764,0.0,0.0,Nov,1,8,7,20,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,45.0,2097.2131,0.2,0.030141179,0.0,0.0,Dec,3,12,1,3,Returning_Visitor,False,False
4.0,1764.6362,0.0,0.0,1.0,803.1181,0.08261804,0.011910822,0.0,0.0,Nov,2,12,3,13,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,191.5854,777.4123,0.17156404,0.036648918,0.0,0.0,Sep,2,12,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,229.09515,1958.8214,0.0,0.014201676,0.0,0.0,June,2,12,1,20,Returning_Visitor,False,False
5.0,1974.2963,0.0,0.0,46.769085,1294.7706,0.12315846,0.08091977,0.0,0.0,June,2,12,1,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,154.59178,900.6203,0.1669156,0.033406984,0.0,0.0,Dec,3,12,1,20,Returning_Visitor,False,False
5.0,2282.6328,0.0,0.0,22.545021,620.4785,0.06666667,0.1481693,0.0,0.0,Oct,3,12,1,3,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,36.0,560.648,0.08292421,0.014746153,0.0,0.0,June,1,8,1,13,Returning_Visitor,False,False
4.0,1907.6226,0.0,0.0,11.0,974.8572,0.0,0.1,0.0,0.0,Nov,1,12,1,3,Returning_Visitor,False,False
4.0,1800.8463,0.0,0.0,53.0,629.4866,0.0869703,0.2,0.0,0.0,June,2,12,1,13,Returning_Visitor,False,False
8.0,2719.509,22.18983,2549.375,34.142345,577.4154,0.2,0.06666667,79.45499,0.0,Dec,2,12,1,3,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,39.68323,0.0,0.1,0.025,0.0,0.0,Nov,2,12,6,20,Returning_Visitor,False,False
12.820788,3047.9448,0.0,0.0,49.65471,1211.8165,0.2,0.0989205,67.73194,0.0,Sep,1,8,3,20,Returning_Visitor,False,False
5.0,1916.2158,0.0,0.0,57.522423,945.6815,0.092601866,0.2,71.13668,0.0,Dec,2,12,3,3,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,153.8654,1691.9069,0.07998232,0.014806811,0.0,0.0,June,3,12,1,3,Returning_Visitor,False,False
14.759364,3007.3455,22.159283,2549.375,78.693535,726.9315,0.1,0.037350353,70.78605,0.0,Dec,2,12,6,3,Returning_Visitor,False,False
8.0,2738.0117,0.0,0.0,35.351677,790.5313,0.2,0.04948676,0.0,0.0,Nov,2,12,8,13,Returning_Visitor,False,False
7.0,2724.093,21.21325,2549.375,50.0,857.4788,0.17714916,0.029433906,0.0,0.0,June,2,12,1,20,Returning_Visitor,False,False
8.0,2573.3733,0.0,0.0,1.0,929.97314,0.0,0.008740676,0.0,0.0,Sep,2,12,1,20,New_Visitor,True,False
8.745484,2749.28,21.265362,2549.375,46.00486,867.4534,0.2,0.065613836,0.0,0.0,Nov,2,12,1,20,New_Visitor,False,False
0.0,0.0,0.0,0.0,254.39859,1689.7343,0.0,0.2,0.0,0.0,Nov,1,5,1,20,Returning_Visitor,False,False
5.0,2165.9084,0.0,0.0,233.59476,1780.9062,0.0,0.03333333,0.0,0.0,Nov,2,12,1,20,New_Visitor,False,True
3.0,1417.7671,0.0,0.0,118.4911,1551.1932,0.0,0.0051574865,0.0,0.0,Nov,1,12,6,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,176.54247,1792.8488,0.1,0.026384085,0.0,0.0,Dec,3,12,3,13,Returning_Visitor,False,False
9.0,2780.897,0.0,0.0,0.0,551.61975,0.09702846,0.063016325,0.0,0.0,Oct,2,12,3,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,228.08131,1222.2766,0.0,0.03333333,0.0,0.0,Dec,2,12,6,20,Returning_Visitor,False,False
5.0,2889.6597,0.0,0.0,92.07104,502.6917,0.0,0.18500967,0.0,0.0,Oct,1,8,2,20,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,140.36021,1608.5815,0.0,0.0315683,0.0,0.0,Sep,3,12,1,20,Returning_Visitor,False,False
5.0,2181.5198,20.852192,2549.375,37.0,576.9814,0.06666667,0.014795778,0.0,0.0,Nov,2,12,6,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,39.713142,904.73047,0.0,0.022222223,0.0,0.0,Nov,2,12,8,20,New_Visitor,False,False
9.664556,2906.974,0.0,0.0,50.0,1177.6803,0.09906897,0.2,75.497734,0.0,Sep,2,12,1,13,Returning_Visitor,False,False
5.0,2479.6243,0.0,0.0,35.585396,1177.571,0.08520645,0.2,0.0,0.0,Sep,2,12,3,20,Returning_Visitor,False,False
4.0,1637.1449,0.0,0.0,56.0,2660.648,0.0,0.019858396,0.0,0.0,Dec,2,12,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,38.40017,954.85846,0.0,0.005168467,100.27876,0.0,Sep,2,12,1,20,New_Visitor,False,True
10.935608,3044.5188,22.57751,2549.375,19.0,795.02234,0.1,0.019881861,90.723755,0.0,Sep,3,12,8,20,Returning_Visitor,False,False
